Apr 28, 2026  11:34:33 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   6.47E-009, 
  1.10,   9.28E-009, 
  1.20,   3.00E-008, 
  1.30,   1.58E-007, 
  1.40,   6.06E-008, 
  1.50,   4.38E-008, 
  1.60,   4.75E-008, 
  1.70,   1.00E-007, 
  1.80,   2.17E-007, 
  1.90,   2.81E-007, 
  2.00,   3.27E-007, 
  2.10,   3.68E-007, 
  2.20,   3.15E-007, 
  2.30,   2.01E-007, 
  2.40,   3.23E-008, 
  2.50,   8.41E-009, 
  2.60,   2.86E-009, 
  2.70,   9.73E-010, 
  2.80,   4.96E-010, 
  2.90,   5.55E-010, 
  3.00,   8.01E-010, 
  3.10,   1.01E-009, 
  3.20,   1.02E-009, 
  3.30,   6.45E-010, 
  3.40,  -1.46E-010, 
  3.50,  -9.85E-010, 
  3.60,  -1.19E-009, 
  3.70,  -1.38E-009, 
  3.80,  -1.45E-009, 
  3.90,  -1.44E-009, 
  4.00,  -1.49E-009, 
  4.10,  -1.49E-009, 
  4.20,  -1.46E-009, 
  4.30,  -1.40E-009, 
  4.40,  -1.37E-009, 
  4.50,  -1.28E-009, 
  4.60,  -1.22E-009, 
  4.70,  -1.14E-009, 
  4.80,  -9.83E-010, 
  4.90,  -9.01E-010, 
  5.00,  -9.20E-010, 
  5.10,  -8.11E-010, 
  5.20,  -7.56E-010, 
  5.30,  -7.58E-010, 
  5.40,  -7.04E-010, 
  5.50,  -3.52E-010, 
  5.60,  -5.04E-010, 
  5.70,  -5.10E-010, 
  5.80,  -7.56E-010, 
  5.90,  -4.00E-010, 
  6.00,  -4.07E-010, 
  6.10,  -4.29E-010, 
  6.20,  -4.23E-010, 
  6.30,  -5.28E-010, 
  6.40,  -8.57E-010, 
  6.50,  -7.02E-010, 
  6.60,  -3.74E-010, 
  6.70,  -3.93E-010, 
  6.80,  -4.10E-010, 
  6.90,  -4.33E-010, 
  7.00,  -3.82E-010, 
  7.10,  -3.87E-010, 
  7.20,  -3.95E-010, 
  7.30,  -3.53E-010, 
  7.40,  -3.62E-010, 
  7.50,  -3.10E-010, 
  7.60,  -3.19E-010, 
