Apr 28, 2026  11:31:08 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   9.58E-011, 
  1.10,   2.72E-010, 
  1.20,   2.07E-009, 
  1.30,   1.60E-008, 
  1.40,   1.02E-008, 
  1.50,   5.92E-009, 
  1.60,   5.67E-009, 
  1.70,   9.78E-009, 
  1.80,   2.02E-008, 
  1.90,   2.92E-008, 
  2.00,   3.54E-008, 
  2.10,   3.34E-008, 
  2.20,   2.98E-008, 
  2.30,   2.14E-008, 
  2.40,   9.24E-009, 
  2.50,   4.23E-009, 
  2.60,   2.19E-009, 
  2.70,   1.16E-009, 
  2.80,   7.49E-010, 
  2.90,   4.69E-010, 
  3.00,   3.41E-010, 
  3.10,   2.46E-010, 
  3.20,   1.15E-010, 
  3.30,   6.62E-011, 
  3.40,  -7.71E-012, 
  3.50,  -8.87E-011, 
  3.60,  -1.65E-010, 
  3.70,  -1.43E-010, 
  3.80,  -2.05E-010, 
  3.90,  -1.79E-010, 
  4.00,  -1.45E-010, 
  4.10,  -1.91E-010, 
  4.20,  -2.53E-010, 
  4.30,  -2.19E-010, 
  4.40,  -2.11E-010, 
  4.50,  -2.03E-010, 
  4.60,  -1.63E-010, 
  4.70,  -1.77E-010, 
  4.80,  -1.87E-010, 
  4.90,  -2.24E-010, 
  5.00,  -2.46E-010, 
  5.10,  -1.93E-010, 
  5.20,  -2.05E-010, 
  5.30,  -1.39E-010, 
  5.40,  -1.63E-010, 
  5.50,  -2.73E-010, 
  5.60,  -3.84E-010, 
  5.70,  -5.00E-010, 
  5.80,  -1.60E-010, 
  5.90,  -1.80E-010, 
  6.00,  -1.95E-010, 
  6.10,  -1.84E-010, 
  6.20,  -2.06E-010, 
  6.30,  -1.72E-010, 
  6.40,  -1.98E-010, 
  6.50,  -2.06E-010, 
  6.60,  -1.58E-010, 
  6.70,  -1.67E-010, 
  6.80,  -1.70E-010, 
  6.90,  -2.49E-010, 
  7.00,  -2.60E-010, 
  7.10,  -1.99E-010, 
  7.20,  -1.50E-010, 
  7.30,  -2.04E-010, 
  7.40,  -2.56E-010, 
  7.50,  -4.96E-010, 
  7.60,  -5.17E-010, 
