Apr 28, 2026  10:14:31 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   9.58E-010, 
  1.10,   1.25E-009, 
  1.20,   5.01E-009, 
  1.30,   1.09E-007, 
  1.40,   1.35E-007, 
  1.50,   4.20E-008, 
  1.60,   2.52E-008, 
  1.70,   3.11E-008, 
  1.80,   6.73E-008, 
  1.90,   1.14E-007, 
  2.00,   1.38E-007, 
  2.10,   1.43E-007, 
  2.20,   1.30E-007, 
  2.30,   1.09E-007, 
  2.40,   6.02E-008, 
  2.50,   1.96E-008, 
  2.60,   8.13E-009, 
  2.70,   4.12E-009, 
  2.80,   2.32E-009, 
  2.90,   1.71E-009, 
  3.00,   1.40E-009, 
  3.10,   1.27E-009, 
  3.20,   9.07E-010, 
  3.30,   8.81E-010, 
  3.40,   4.66E-010, 
  3.50,   2.63E-011, 
  3.60,   1.14E-010, 
  3.70,   3.98E-011, 
  3.80,  -1.29E-010, 
  3.90,   1.29E-010, 
  4.00,   1.47E-010, 
  4.10,   2.83E-011, 
  4.20,   2.96E-011, 
  4.30,   4.95E-011, 
  4.40,  -1.09E-011, 
  4.50,  -1.49E-010, 
  4.60,  -2.51E-011, 
  4.70,  -3.21E-012, 
  4.80,  -2.04E-010, 
  4.90,  -4.18E-010, 
  5.00,  -1.50E-010, 
  5.10,  -9.51E-011, 
  5.20,   5.46E-011, 
  5.30,  -5.21E-011, 
  5.40,  -1.03E-010, 
  5.50,  -4.81E-010, 
  5.60,  -1.68E-010, 
  5.70,  -3.22E-010, 
  5.80,  -4.41E-010, 
  5.90,  -2.77E-010, 
  6.00,  -9.96E-011, 
  6.10,  -1.66E-010, 
  6.20,  -3.21E-010, 
  6.30,   3.02E-011, 
  6.40,  -1.20E-010, 
  6.50,  -4.65E-010, 
  6.60,  -3.81E-010, 
  6.70,  -1.42E-010, 
  6.80,  -3.12E-010, 
  6.90,  -1.82E-010, 
  7.00,   1.29E-010, 
  7.10,  -1.00E-010, 
  7.20,  -2.87E-010, 
  7.30,  -1.23E-010, 
  7.40,  -1.07E-010, 
  7.50,  -9.00E-011, 
  7.60,  -1.30E-010, 
  7.70,  -1.25E-010, 
  7.80,  -1.83E-010, 
  7.90,  -8.29E-011, 
  8.00,  -8.35E-012, 
  8.10,   8.35E-012, 
  8.20,  -8.03E-011, 
  8.30,  -5.14E-011, 
  8.40,  -8.16E-011, 
  8.50,  -1.46E-010, 
  8.60,  -1.02E-010, 
  8.70,   1.74E-011, 
  8.80,  -1.94E-010, 
  8.90,  -4.39E-010, 
  9.00,  -9.19E-011, 
  9.10,  -1.41E-010, 
  9.20,  -3.00E-010, 
  9.30,  -2.01E-010, 
  9.40,  -1.21E-010, 
  9.50,  -2.25E-010, 
  9.60,  -1.64E-010, 
  9.70,  -6.43E-012, 
  9.80,  -4.82E-011, 
  9.90,  -2.26E-010, 
 10.00,  -5.46E-011, 
 10.10,  -2.89E-010, 
 10.20,  -4.36E-010, 
 10.30,  -2.40E-010, 
 10.40,  -7.07E-011, 
 10.50,   4.05E-011, 
 10.60,   8.35E-012, 
 10.70,  -1.96E-010, 
 10.80,  -9.25E-011, 
 10.90,  -2.55E-010, 
 11.00,  -8.74E-011, 
 11.10,  -1.80E-011, 
 11.20,  -3.17E-010, 
 11.30,  -3.50E-010, 
 11.40,  -2.11E-010, 
 11.50,  -1.36E-010, 
 11.60,   7.39E-010, 
 11.70,   4.19E-009, 
 11.80,   8.09E-009, 
 11.90,   1.13E-008, 
 12.00,   1.36E-008, 
 12.10,   1.48E-008, 
 12.20,   1.34E-008, 
 12.30,   9.82E-009, 
 12.40,   4.38E-009, 
 12.50,   1.91E-009, 
 12.60,   1.29E-009, 
 12.70,   2.36E-009, 
 12.80,   3.92E-009, 
 12.90,   5.17E-009, 
 13.00,   6.69E-009, 
 13.10,   7.17E-009, 
 13.20,   6.90E-009, 
 13.30,   5.46E-009, 
 13.40,   2.88E-009, 
 13.50,   2.15E-009, 
 13.60,   4.65E-009, 
 13.70,   1.97E-008, 
 13.80,   3.86E-008, 
 13.90,   5.10E-008, 
 14.00,   5.68E-008, 
 14.10,   5.92E-008, 
 14.20,   5.30E-008, 
 14.30,   3.39E-008, 
 14.40,   1.36E-008, 
 14.50,   6.60E-009, 
 14.60,   5.99E-009, 
 14.70,   1.58E-008, 
 14.80,   3.17E-008, 
 14.90,   4.31E-008, 
 15.00,   4.92E-008, 
 15.10,   5.18E-008, 
 15.20,   4.77E-008, 
 15.30,   3.45E-008, 
 15.40,   1.50E-008, 
 15.50,   8.95E-009, 
 15.60,   1.46E-008, 
 15.70,   5.62E-008, 
 15.80,   1.09E-007, 
 15.90,   1.35E-007, 
 16.00,   1.42E-007, 
 16.10,   1.43E-007, 
 16.20,   1.26E-007, 
 16.30,   7.24E-008, 
 16.40,   2.76E-008, 
 16.50,   2.30E-008, 
 16.60,   6.92E-008, 
 16.70,   3.11E-007, 
 16.80,   4.50E-007, 
 16.90,   5.08E-007, 
 17.00,   5.13E-007, 
 17.10,   5.01E-007, 
 17.20,   4.26E-007, 
 17.30,   1.69E-007, 
 17.40,   5.26E-008, 
 17.50,   6.74E-008, 
 17.60,   3.33E-007, 
 17.70,   1.31E-006, 
 17.80,   1.69E-006, 
 17.90,   1.86E-006, 
 18.00,   1.84E-006, 
 18.10,   1.76E-006, 
 18.20,   1.52E-006, 
 18.30,   4.04E-007, 
 18.40,   4.67E-008, 
 18.50,   1.82E-008, 
 18.60,   1.03E-008, 
 18.70,   1.17E-008, 
 18.80,   1.57E-008, 
 18.90,   1.88E-008, 
 19.00,   1.94E-008, 
 19.10,   2.02E-008, 
