Apr 28, 2026  11:12:56 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,  -4.23E-009, 
  1.10,  -3.29E-009, 
  1.20,   5.00E-009, 
  1.30,   6.97E-008, 
  1.40,   3.08E-008, 
  1.50,   1.55E-008, 
  1.60,   8.78E-009, 
  1.70,   5.01E-009, 
  1.80,   5.24E-009, 
  1.90,   6.86E-009, 
  2.00,   9.77E-009, 
  2.10,   1.31E-008, 
  2.20,   1.37E-008, 
  2.30,   1.09E-008, 
  2.40,   2.83E-009, 
  2.50,  -1.15E-009, 
  2.60,  -2.64E-009, 
  2.70,  -3.29E-009, 
  2.80,  -3.46E-009, 
  2.90,  -3.43E-009, 
  3.00,  -3.23E-009, 
  3.10,  -3.09E-009, 
  3.20,  -2.94E-009, 
  3.30,  -2.87E-009, 
  3.40,  -2.76E-009, 
  3.50,  -2.75E-009, 
  3.60,  -2.72E-009, 
  3.70,  -2.72E-009, 
  3.80,  -2.71E-009, 
  3.90,  -2.62E-009, 
  4.00,  -2.56E-009, 
  4.10,  -2.48E-009, 
  4.20,  -2.40E-009, 
  4.30,  -2.25E-009, 
  4.40,  -2.09E-009, 
  4.50,  -2.04E-009, 
  4.60,  -1.93E-009, 
  4.70,  -1.76E-009, 
  4.80,  -1.62E-009, 
  4.90,  -1.42E-009, 
  5.00,  -1.37E-009, 
  5.10,  -1.30E-009, 
  5.20,  -1.20E-009, 
  5.30,  -1.10E-009, 
  5.40,  -1.04E-009, 
  5.50,  -1.05E-009, 
  5.60,  -9.96E-010, 
  5.70,  -9.61E-010, 
  5.80,  -8.57E-010, 
  5.90,  -8.38E-010, 
  6.00,  -7.81E-010, 
  6.10,  -5.09E-010, 
  6.20,  -5.40E-010, 
  6.30,  -8.14E-010, 
  6.40,  -8.38E-010, 
  6.50,  -8.32E-010, 
  6.60,  -8.50E-010, 
  6.70,  -8.55E-010, 
  6.80,  -8.52E-010, 
  6.90,  -7.85E-010, 
  7.00,  -7.83E-010, 
  7.10,  -7.07E-010, 
  7.20,  -7.23E-010, 
  7.30,  -7.31E-010, 
  7.40,  -5.46E-010, 
  7.50,  -3.57E-010, 
