Apr 28, 2026  11:10:47 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   2.77E-010, 
  1.10,   3.68E-010, 
  1.20,   2.65E-009, 
  1.30,   1.67E-008, 
  1.40,   9.91E-009, 
  1.50,   6.00E-009, 
  1.60,   6.49E-009, 
  1.70,   1.25E-008, 
  1.80,   2.57E-008, 
  1.90,   3.53E-008, 
  2.00,   4.23E-008, 
  2.10,   3.87E-008, 
  2.20,   3.43E-008, 
  2.30,   2.36E-008, 
  2.40,   9.80E-009, 
  2.50,   4.53E-009, 
  2.60,   2.45E-009, 
  2.70,   1.49E-009, 
  2.80,   9.68E-010, 
  2.90,   6.86E-010, 
  3.00,   5.49E-010, 
  3.10,   3.93E-010, 
  3.20,   3.61E-010, 
  3.30,   2.08E-010, 
  3.40,   1.02E-010, 
  3.50,   3.60E-011, 
  3.60,  -1.48E-011, 
  3.70,  -3.02E-011, 
  3.80,  -1.25E-010, 
  3.90,  -1.91E-010, 
  4.00,  -1.83E-010, 
  4.10,  -1.71E-010, 
  4.20,  -1.97E-010, 
  4.30,  -1.29E-010, 
  4.40,  -1.02E-010, 
  4.50,  -9.45E-011, 
  4.60,  -1.05E-010, 
  4.70,  -5.85E-011, 
  4.80,  -8.29E-011, 
  4.90,  -8.10E-011, 
  5.00,  -6.68E-011, 
  5.10,  -7.78E-011, 
  5.20,  -7.52E-011, 
  5.30,  -1.74E-010, 
  5.40,  -1.92E-010, 
  5.50,  -2.22E-010, 
  5.60,  -1.83E-010, 
  5.70,  -1.53E-010, 
  5.80,  -1.86E-010, 
  5.90,  -2.05E-010, 
  6.00,  -1.77E-010, 
  6.10,  -1.59E-010, 
  6.20,  -1.84E-010, 
  6.30,  -2.15E-010, 
  6.40,  -2.05E-010, 
  6.50,  -1.99E-010, 
  6.60,  -1.81E-010, 
  6.70,  -1.54E-010, 
  6.80,  -1.35E-010, 
  6.90,  -1.25E-010, 
  7.00,  -1.65E-010, 
  7.10,  -2.01E-010, 
  7.20,  -1.76E-010, 
  7.30,  -2.22E-010, 
  7.40,  -2.58E-010, 
  7.50,  -2.16E-010, 
  7.60,  -1.02E-010, 
