Apr 28, 2026  10:23:45 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,  -1.09E-008, 
  1.10,  -9.73E-009, 
  1.20,  -7.37E-009, 
  1.30,  -1.26E-009, 
  1.40,   5.46E-009, 
  1.50,   4.44E-009, 
  1.60,   1.26E-009, 
  1.70,  -1.96E-009, 
  1.80,  -2.80E-009, 
  1.90,  -1.80E-009, 
  2.00,  -3.89E-010, 
  2.10,   1.97E-009, 
  2.20,   4.01E-009, 
  2.30,   4.95E-009, 
  2.40,   2.87E-009, 
  2.50,  -1.69E-009, 
  2.60,  -3.96E-009, 
  2.70,  -4.82E-009, 
  2.80,  -4.37E-009, 
  2.90,  -4.02E-009, 
  3.00,  -2.84E-009, 
  3.10,  -2.68E-009, 
  3.20,  -2.62E-009, 
  3.30,  -2.56E-009, 
  3.40,  -2.65E-009, 
  3.50,  -2.59E-009, 
  3.60,  -2.51E-009, 
  3.70,  -2.54E-009, 
  3.80,  -2.33E-009, 
  3.90,  -1.67E-009, 
  4.00,  -1.31E-009, 
  4.10,  -1.18E-009, 
  4.20,  -1.02E-009, 
  4.30,  -1.03E-009, 
  4.40,  -1.43E-009, 
  4.50,  -1.65E-009, 
  4.60,  -1.95E-009, 
  4.70,  -1.93E-009, 
  4.80,  -1.75E-009, 
  4.90,  -1.61E-009, 
  5.00,  -1.57E-009, 
  5.10,  -1.64E-009, 
  5.20,  -1.33E-009, 
  5.30,  -1.19E-009, 
  5.40,  -1.13E-009, 
  5.50,  -1.10E-009, 
  5.60,  -1.01E-009, 
  5.70,  -1.09E-009, 
  5.80,  -9.97E-010, 
  5.90,  -8.98E-010, 
  6.00,  -1.04E-009, 
  6.10,  -1.25E-009, 
  6.20,  -1.00E-009, 
  6.30,  -1.02E-009, 
  6.40,  -1.02E-009, 
  6.50,  -9.78E-010, 
  6.60,  -9.41E-010, 
  6.70,  -1.06E-009, 
  6.80,  -1.02E-009, 
  6.90,  -1.12E-009, 
  7.00,  -9.71E-010, 
  7.10,  -9.91E-010, 
  7.20,  -1.01E-009, 
  7.30,  -9.84E-010, 
  7.40,  -1.02E-009, 
  7.50,  -8.38E-010, 
  7.60,  -8.71E-010, 
  7.70,  -9.71E-010, 
  7.80,  -1.04E-009, 
  7.90,  -9.74E-010, 
  8.00,  -8.55E-010, 
  8.10,  -8.32E-010, 
  8.20,  -7.95E-010, 
  8.30,  -5.78E-010, 
  8.40,  -5.01E-010, 
  8.50,  -6.95E-010, 
  8.60,  -6.02E-010, 
  8.70,  -6.65E-010, 
  8.80,  -7.98E-010, 
  8.90,  -8.21E-010, 
  9.00,  -9.21E-010, 
  9.10,  -8.38E-010, 
  9.20,  -8.21E-010, 
  9.30,  -8.05E-010, 
  9.40,  -3.77E-010, 
  9.50,  -3.50E-010, 
  9.60,  -7.38E-010, 
  9.70,  -7.88E-010, 
  9.80,  -7.11E-010, 
  9.90,  -8.31E-010, 
 10.00,  -7.48E-010, 
 10.10,  -8.84E-010, 
 10.20,  -9.64E-010, 
 10.30,  -9.11E-010, 
 10.40,  -7.31E-010, 
 10.50,  -8.11E-010, 
 10.60,  -9.77E-010, 
 10.70,  -1.04E-009, 
 10.80,  -8.80E-010, 
 10.90,  -7.21E-010, 
 11.00,  -6.18E-010, 
 11.10,  -7.74E-010, 
 11.20,  -7.58E-010, 
 11.30,  -6.88E-010, 
 11.40,  -7.21E-010, 
 11.50,  -5.57E-010, 
 11.60,  -3.46E-010, 
 11.70,   5.83E-010, 
 11.80,   1.90E-009, 
 11.90,   3.09E-009, 
 12.00,   3.76E-009, 
 12.10,   4.50E-009, 
 12.20,   4.49E-009, 
 12.30,   3.06E-009, 
 12.40,   1.24E-009, 
 12.50,   4.63E-010, 
 12.60,  -2.01E-010, 
 12.70,   1.52E-010, 
 12.80,   7.85E-010, 
 12.90,   1.12E-009, 
 13.00,   1.71E-009, 
 13.10,   2.03E-009, 
 13.20,   2.08E-009, 
 13.30,   1.39E-009, 
 13.40,   7.30E-010, 
 13.50,   8.30E-010, 
 13.60,   2.57E-009, 
 13.70,   1.25E-008, 
 13.80,   2.56E-008, 
 13.90,   3.66E-008, 
 14.00,   4.44E-008, 
 14.10,   4.80E-008, 
 14.20,   4.65E-008, 
 14.30,   3.19E-008, 
 14.40,   1.22E-008, 
 14.50,   5.38E-009, 
 14.60,   3.11E-009, 
 14.70,   4.91E-009, 
 14.80,   9.50E-009, 
 14.90,   1.36E-008, 
 15.00,   1.69E-008, 
 15.10,   1.92E-008, 
 15.20,   1.95E-008, 
 15.30,   1.59E-008, 
 15.40,   7.76E-009, 
 15.50,   4.26E-009, 
 15.60,   5.49E-009, 
 15.70,   1.82E-008, 
 15.80,   3.58E-008, 
 15.90,   4.91E-008, 
 16.00,   5.77E-008, 
 16.10,   6.25E-008, 
 16.20,   6.06E-008, 
 16.30,   4.08E-008, 
 16.40,   1.63E-008, 
 16.50,   1.02E-008, 
 16.60,   1.94E-008, 
 16.70,   7.92E-008, 
 16.80,   1.49E-007, 
 16.90,   1.86E-007, 
 17.00,   2.06E-007, 
 17.10,   2.16E-007, 
 17.20,   2.04E-007, 
 17.30,   1.10E-007, 
 17.40,   3.48E-008, 
 17.50,   2.92E-008, 
 17.60,   9.52E-008, 
 17.70,   4.53E-007, 
 17.80,   6.95E-007, 
 17.90,   8.03E-007, 
 18.00,   8.87E-007, 
 18.10,   8.94E-007, 
 18.20,   8.32E-007, 
 18.30,   3.22E-007, 
 18.40,   4.61E-008, 
 18.50,   1.68E-008, 
 18.60,   8.48E-009, 
 18.70,   6.36E-009, 
 18.80,   6.45E-009, 
 18.90,   7.49E-009, 
