Apr 28, 2026  10:32:35 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.11E-010, 
  1.10,   2.89E-010, 
  1.20,   2.66E-009, 
  1.30,   3.26E-008, 
  1.40,   2.91E-008, 
  1.50,   1.36E-008, 
  1.60,   9.77E-009, 
  1.70,   1.33E-008, 
  1.80,   2.77E-008, 
  1.90,   4.25E-008, 
  2.00,   5.32E-008, 
  2.10,   5.47E-008, 
  2.20,   5.13E-008, 
  2.30,   4.21E-008, 
  2.40,   2.11E-008, 
  2.50,   8.34E-009, 
  2.60,   3.66E-009, 
  2.70,   1.86E-009, 
  2.80,   1.23E-009, 
  2.90,   8.22E-010, 
  3.00,   6.48E-010, 
  3.10,   4.35E-010, 
  3.20,   5.91E-010, 
  3.30,   4.54E-010, 
  3.40,   4.15E-010, 
  3.50,   2.70E-010, 
  3.60,   3.41E-011, 
  3.70,  -1.80E-010, 
  3.80,  -2.46E-010, 
  3.90,  -1.68E-010, 
  4.00,  -1.79E-010, 
  4.10,   6.43E-012, 
  4.20,  -5.59E-011, 
  4.30,  -1.19E-010, 
  4.40,  -2.86E-010, 
  4.50,  -2.81E-010, 
  4.60,  -3.08E-010, 
  4.70,  -3.31E-010, 
  4.80,  -4.04E-010, 
  4.90,  -3.59E-010, 
  5.00,  -2.86E-010, 
  5.10,  -2.47E-010, 
  5.20,  -1.69E-010, 
  5.30,  -1.12E-010, 
  5.40,  -6.68E-011, 
  5.50,  -6.23E-011, 
  5.60,  -5.59E-011, 
  5.70,   4.11E-011, 
  5.80,  -1.77E-010, 
  5.90,  -5.66E-011, 
  6.00,  -9.45E-011, 
  6.10,  -1.41E-010, 
  6.20,  -3.03E-010, 
  6.30,  -2.92E-010, 
  6.40,  -2.64E-010, 
  6.50,  -2.86E-010, 
  6.60,  -3.31E-010, 
  6.70,  -2.86E-010, 
  6.80,  -2.69E-010, 
  6.90,  -2.13E-010, 
  7.00,  -1.36E-010, 
  7.10,  -9.51E-011, 
  7.20,  -1.36E-010, 
  7.30,  -1.97E-010, 
  7.40,  -2.08E-010, 
  7.50,  -1.19E-010, 
  7.60,  -2.69E-010, 
  7.70,  -3.14E-010, 
  7.80,  -3.95E-010, 
  7.90,  -3.79E-010, 
  8.00,  -4.59E-010, 
  8.10,  -5.03E-010, 
  8.20,  -3.81E-010, 
  8.30,  -3.37E-010, 
  8.40,  -3.64E-010, 
  8.50,  -2.81E-010, 
  8.60,  -4.53E-010, 
  8.70,  -3.42E-010, 
  8.80,  -1.30E-010, 
  8.90,  -1.33E-010, 
  9.00,  -1.25E-010, 
  9.10,  -3.44E-010, 
  9.20,  -3.08E-010, 
  9.30,  -4.15E-010, 
  9.40,  -4.25E-010, 
  9.50,  -4.20E-010, 
  9.60,  -4.31E-010, 
  9.70,  -2.98E-010, 
  9.80,  -3.64E-010, 
  9.90,  -4.76E-010, 
 10.00,  -4.06E-010, 
 10.10,  -3.37E-010, 
 10.20,  -3.42E-010, 
 10.30,  -3.48E-010, 
 10.40,  -3.14E-010, 
 10.50,  -3.19E-010, 
 10.60,  -1.69E-010, 
 10.70,  -9.19E-011, 
 10.80,  -3.08E-010, 
 10.90,  -3.53E-010, 
 11.00,  -3.75E-010, 
 11.10,  -3.70E-010, 
 11.20,  -2.58E-010, 
 11.30,  -1.41E-011, 
 11.40,  -1.16E-010, 
 11.50,  -1.36E-010, 
 11.60,   4.57E-010, 
 11.70,   2.25E-009, 
 11.80,   4.10E-009, 
 11.90,   5.55E-009, 
 12.00,   6.43E-009, 
 12.10,   7.03E-009, 
 12.20,   6.04E-009, 
 12.30,   3.72E-009, 
 12.40,   1.61E-009, 
 12.50,   8.71E-010, 
 12.60,   4.65E-010, 
 12.70,   7.10E-010, 
 12.80,   1.02E-009, 
 12.90,   1.25E-009, 
 13.00,   1.69E-009, 
 13.10,   1.65E-009, 
 13.20,   1.44E-009, 
 13.30,   9.91E-010, 
 13.40,   8.12E-010, 
 13.50,   1.18E-009, 
 13.60,   4.33E-009, 
 13.70,   1.59E-008, 
 13.80,   2.73E-008, 
 13.90,   3.50E-008, 
 14.00,   3.92E-008, 
 14.10,   3.95E-008, 
 14.20,   3.39E-008, 
 14.30,   1.81E-008, 
 14.40,   7.65E-009, 
 14.50,   3.84E-009, 
 14.60,   2.48E-009, 
 14.70,   4.29E-009, 
 14.80,   6.72E-009, 
 14.90,   8.30E-009, 
 15.00,   9.78E-009, 
 15.10,   1.01E-008, 
 15.20,   9.44E-009, 
 15.30,   6.16E-009, 
 15.40,   3.41E-009, 
 15.50,   2.93E-009, 
 15.60,   7.50E-009, 
 15.70,   2.58E-008, 
 15.80,   4.39E-008, 
 15.90,   5.48E-008, 
 16.00,   5.88E-008, 
 16.10,   5.77E-008, 
 16.20,   5.01E-008, 
 16.30,   2.66E-008, 
 16.40,   1.29E-008, 
 16.50,   1.21E-008, 
 16.60,   3.98E-008, 
 16.70,   1.47E-007, 
 16.80,   2.09E-007, 
 16.90,   2.32E-007, 
 17.00,   2.36E-007, 
 17.10,   2.23E-007, 
 17.20,   1.79E-007, 
 17.30,   6.59E-008, 
 17.40,   2.97E-008, 
 17.50,   3.84E-008, 
 17.60,   1.98E-007, 
 17.70,   6.62E-007, 
 17.80,   8.17E-007, 
 17.90,   8.68E-007, 
 18.00,   8.69E-007, 
 18.10,   7.91E-007, 
 18.20,   6.06E-007, 
 18.30,   1.25E-007, 
 18.40,   2.87E-008, 
 18.50,   1.29E-008, 
 18.60,   7.82E-009, 
 18.70,   7.37E-009, 
 18.80,   8.27E-009, 
 18.90,   8.95E-009, 
 19.00,   8.79E-009, 
 19.10,   8.60E-009, 
