Apr 28, 2026  11:50:06 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   6.96E-009, 
  1.10,   9.60E-009, 
  1.20,   2.84E-008, 
  1.30,   1.33E-007, 
  1.40,   5.53E-008, 
  1.50,   4.26E-008, 
  1.60,   4.77E-008, 
  1.70,   1.03E-007, 
  1.80,   2.17E-007, 
  1.90,   2.76E-007, 
  2.00,   3.22E-007, 
  2.10,   3.57E-007, 
  2.20,   3.05E-007, 
  2.30,   1.89E-007, 
  2.40,   3.06E-008, 
  2.50,   8.19E-009, 
  2.60,   2.82E-009, 
  2.70,   8.92E-010, 
  2.80,   3.23E-010, 
  2.90,   2.45E-010, 
  3.00,   4.64E-010, 
  3.10,   7.44E-010, 
  3.20,   7.61E-010, 
  3.30,   4.29E-010, 
  3.40,  -2.70E-010, 
  3.50,  -1.09E-009, 
  3.60,  -1.40E-009, 
  3.70,  -1.52E-009, 
  3.80,  -1.60E-009, 
  3.90,  -1.64E-009, 
  4.00,  -1.67E-009, 
  4.10,  -1.68E-009, 
  4.20,  -1.59E-009, 
  4.30,  -1.54E-009, 
  4.40,  -1.47E-009, 
  4.50,  -1.38E-009, 
  4.60,  -1.31E-009, 
  4.70,  -1.19E-009, 
  4.80,  -1.09E-009, 
  4.90,  -9.83E-010, 
  5.00,  -9.02E-010, 
  5.10,  -8.32E-010, 
  5.20,  -7.90E-010, 
  5.30,  -7.61E-010, 
  5.40,  -7.75E-010, 
  5.50,  -7.93E-010, 
  5.60,  -7.99E-010, 
  5.70,  -3.75E-010, 
  5.80,  -4.06E-010, 
  5.90,  -4.32E-010, 
  6.00,  -7.06E-010, 
  6.10,  -7.33E-010, 
  6.20,  -3.43E-010, 
  6.30,  -4.20E-010, 
  6.40,  -4.82E-010, 
  6.50,  -4.42E-010, 
  6.60,  -7.31E-010, 
  6.70,  -8.12E-010, 
  6.80,  -7.77E-010, 
  6.90,  -4.36E-010, 
  7.00,  -4.16E-010, 
  7.10,  -3.95E-010, 
  7.20,  -3.80E-010, 
  7.30,  -4.70E-010, 
  7.40,  -5.27E-010, 
  7.50,  -5.17E-010, 
  7.60,  -5.04E-010, 
