Apr 28, 2026  12:06:07 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.05E-008, 
  1.10,   1.39E-008, 
  1.20,   3.85E-008, 
  1.30,   1.88E-007, 
  1.40,   7.60E-008, 
  1.50,   6.28E-008, 
  1.60,   7.62E-008, 
  1.70,   1.72E-007, 
  1.80,   3.67E-007, 
  1.90,   4.78E-007, 
  2.00,   5.62E-007, 
  2.10,   6.39E-007, 
  2.20,   5.44E-007, 
  2.30,   3.37E-007, 
  2.40,   4.71E-008, 
  2.50,   1.15E-008, 
  2.60,   5.75E-009, 
  2.70,   7.45E-009, 
  2.80,   2.00E-008, 
  2.90,   3.56E-008, 
  3.00,   4.59E-008, 
  3.10,   5.32E-008, 
  3.20,   4.79E-008, 
  3.30,   3.72E-008, 
  3.40,   1.39E-008, 
  3.50,   5.06E-009, 
  3.60,   1.99E-009, 
  3.70,   6.84E-010, 
  3.80,   2.46E-010, 
  3.90,   2.22E-010, 
  4.00,   2.54E-010, 
  4.10,   3.73E-010, 
  4.20,   3.84E-010, 
  4.30,   3.15E-010, 
  4.40,  -2.14E-010, 
  4.50,  -7.40E-010, 
  4.60,  -9.27E-010, 
  4.70,  -1.01E-009, 
  4.80,  -1.02E-009, 
  4.90,  -1.00E-009, 
  5.00,  -9.95E-010, 
  5.10,  -9.35E-010, 
  5.20,  -9.29E-010, 
  5.30,  -8.90E-010, 
  5.40,  -8.34E-010, 
  5.50,  -7.90E-010, 
  5.60,  -4.43E-010, 
  5.70,  -4.60E-010, 
  5.80,  -5.02E-010, 
  5.90,  -5.25E-010, 
  6.00,  -8.50E-010, 
  6.10,  -5.40E-010, 
  6.20,  -4.51E-010, 
  6.30,  -6.86E-010, 
  6.40,  -8.10E-010, 
  6.50,  -5.06E-010, 
  6.60,  -4.38E-010, 
  6.70,  -4.83E-010, 
  6.80,  -5.10E-010, 
  6.90,  -7.98E-010, 
  7.00,  -4.35E-010, 
  7.10,  -4.53E-010, 
  7.20,  -4.91E-010, 
  7.30,  -4.99E-010, 
  7.40,  -4.24E-010, 
  7.50,  -4.51E-010, 
  7.60,  -6.37E-010, 
  7.70,  -5.98E-010, 
