Apr 28, 2026  12:04:19 PM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 791 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 80, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   8.35E-011, 
  1.10,   2.47E-010, 
  1.20,   2.04E-009, 
  1.30,   1.73E-008, 
  1.40,   1.18E-008, 
  1.50,   7.36E-009, 
  1.60,   8.70E-009, 
  1.70,   1.82E-008, 
  1.80,   4.15E-008, 
  1.90,   5.85E-008, 
  2.00,   7.15E-008, 
  2.10,   6.34E-008, 
  2.20,   5.47E-008, 
  2.30,   3.69E-008, 
  2.40,   1.35E-008, 
  2.50,   5.89E-009, 
  2.60,   3.05E-009, 
  2.70,   1.84E-009, 
  2.80,   1.30E-009, 
  2.90,   1.04E-009, 
  3.00,   7.96E-010, 
  3.10,   5.94E-010, 
  3.20,   4.71E-010, 
  3.30,   4.09E-010, 
  3.40,   2.66E-010, 
  3.50,   5.53E-011, 
  3.60,   4.43E-011, 
  3.70,  -3.41E-011, 
  3.80,  -7.39E-011, 
  3.90,  -3.92E-011, 
  4.00,  -3.47E-011, 
  4.10,  -6.43E-012, 
  4.20,  -1.99E-011, 
  4.30,  -6.62E-011, 
  4.40,  -8.68E-011, 
  4.50,  -8.55E-011, 
  4.60,  -8.10E-011, 
  4.70,  -7.07E-011, 
  4.80,  -3.60E-011, 
  4.90,  -1.64E-010, 
  5.00,  -1.26E-010, 
  5.10,  -1.30E-010, 
  5.20,  -9.83E-011, 
  5.30,  -1.61E-010, 
  5.40,  -2.04E-010, 
  5.50,  -4.20E-010, 
  5.60,  -1.14E-010, 
  5.70,  -1.31E-010, 
  5.80,  -9.77E-011, 
  5.90,  -8.42E-011, 
  6.00,  -1.05E-010, 
  6.10,  -1.30E-010, 
  6.20,  -7.90E-011, 
  6.30,  -1.00E-010, 
  6.40,  -9.70E-011, 
  6.50,  -1.84E-010, 
  6.60,  -1.66E-010, 
  6.70,  -1.85E-010, 
  6.80,  -1.13E-010, 
  6.90,  -8.29E-011, 
  7.00,  -1.25E-010, 
  7.10,  -1.57E-010, 
  7.20,  -1.74E-010, 
  7.30,  -1.19E-010, 
  7.40,  -1.15E-010, 
  7.50,  -1.09E-010, 
  7.60,  -2.70E-011, 
