Apr 28, 2026  10:38:11 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   1.67E-011, 
  1.10,   3.53E-010, 
  1.20,   2.82E-009, 
  1.30,   2.07E-008, 
  1.40,   1.31E-008, 
  1.50,   7.53E-009, 
  1.60,   7.55E-009, 
  1.70,   1.45E-008, 
  1.80,   3.09E-008, 
  1.90,   4.46E-008, 
  2.00,   5.46E-008, 
  2.10,   5.34E-008, 
  2.20,   4.89E-008, 
  2.30,   3.66E-008, 
  2.40,   1.58E-008, 
  2.50,   6.83E-009, 
  2.60,   3.19E-009, 
  2.70,   1.44E-009, 
  2.80,   8.79E-010, 
  2.90,   6.14E-010, 
  3.00,   1.61E-010, 
  3.10,   2.63E-010, 
  3.20,   3.35E-010, 
  3.30,   2.23E-010, 
  3.40,   1.43E-010, 
  3.50,  -2.10E-010, 
  3.60,  -5.14E-012, 
  3.70,  -1.80E-011, 
  3.80,  -1.37E-010, 
  3.90,  -5.78E-011, 
  4.00,  -4.50E-012, 
  4.10,  -7.84E-011, 
  4.20,  -2.44E-010, 
  4.30,  -2.99E-010, 
  4.40,  -2.58E-010, 
  4.50,  -1.71E-010, 
  4.60,  -2.99E-010, 
  4.70,  -2.38E-010, 
  4.80,  -2.92E-010, 
  4.90,  -3.01E-010, 
  5.00,  -2.15E-010, 
  5.10,  -1.47E-010, 
  5.20,  -1.30E-010, 
  5.30,  -1.36E-010, 
  5.40,  -9.51E-011, 
  5.50,  -1.57E-010, 
  5.60,   5.72E-011, 
  5.70,  -1.34E-010, 
  5.80,  -3.62E-010, 
  5.90,  -4.04E-010, 
  6.00,  -4.57E-010, 
  6.10,  -2.28E-010, 
  6.20,  -1.81E-010, 
  6.30,  -2.65E-010, 
  6.40,  -2.09E-010, 
  6.50,  -3.79E-010, 
  6.60,  -3.90E-010, 
  6.70,  -3.55E-010, 
  6.80,  -3.06E-010, 
  6.90,  -2.54E-010, 
  7.00,  -8.61E-011, 
  7.10,  -1.36E-010, 
  7.20,  -2.99E-010, 
  7.30,  -3.45E-010, 
  7.40,  -2.51E-011, 
  7.50,  -6.23E-011, 
  7.60,  -3.86E-012, 
  7.70,   3.02E-011, 
  7.80,   5.72E-011, 
  7.90,  -8.55E-011, 
  8.00,  -2.83E-011, 
  8.10,  -5.53E-011, 
  8.20,  -2.22E-010, 
  8.30,  -1.97E-010, 
  8.40,  -2.15E-010, 
  8.50,  -3.22E-010, 
  8.60,  -2.72E-010, 
  8.70,  -2.94E-010, 
  8.80,  -1.61E-010, 
  8.90,  -8.55E-011, 
  9.00,  -1.16E-010, 
  9.10,  -2.31E-010, 
  9.20,  -3.84E-010, 
  9.30,  -4.82E-010, 
  9.40,  -4.01E-010, 
  9.50,  -3.17E-010, 
  9.60,  -3.78E-010, 
  9.70,  -2.37E-010, 
  9.80,  -2.03E-010, 
  9.90,  -2.99E-010, 
 10.00,  -2.44E-010, 
 10.10,  -1.75E-010, 
 10.20,  -3.05E-010, 
 10.30,  -4.29E-010, 
 10.40,  -3.28E-010, 
 10.50,  -1.38E-010, 
 10.60,  -1.67E-010, 
 10.70,  -1.23E-010, 
 10.80,  -2.31E-011, 
 10.90,  -9.45E-011, 
 11.00,  -2.18E-010, 
 11.10,  -3.95E-010, 
 11.20,  -1.68E-010, 
 11.30,  -3.73E-011, 
 11.40,   0.00E+000, 
 11.50,   2.19E-011, 
 11.60,   6.65E-010, 
 11.70,   2.62E-009, 
 11.80,   4.30E-009, 
 11.90,   5.52E-009, 
 12.00,   5.88E-009, 
 12.10,   5.78E-009, 
 12.20,   5.05E-009, 
 12.30,   2.88E-009, 
 12.40,   1.23E-009, 
 12.50,   6.90E-010, 
 12.60,   6.17E-010, 
 12.70,   7.78E-010, 
 12.80,   1.19E-009, 
 12.90,   1.49E-009, 
 13.00,   1.68E-009, 
 13.10,   1.57E-009, 
 13.20,   1.40E-009, 
 13.30,   1.13E-009, 
 13.40,   6.96E-010, 
 13.50,   1.31E-009, 
 13.60,   6.52E-009, 
 13.70,   1.93E-008, 
 13.80,   2.99E-008, 
 13.90,   3.68E-008, 
 14.00,   3.98E-008, 
 14.10,   3.79E-008, 
 14.20,   3.03E-008, 
 14.30,   1.38E-008, 
 14.40,   5.90E-009, 
 14.50,   3.04E-009, 
 14.60,   2.81E-009, 
 14.70,   4.97E-009, 
 14.80,   7.87E-009, 
 14.90,   9.68E-009, 
 15.00,   1.06E-008, 
 15.10,   1.07E-008, 
 15.20,   9.26E-009, 
 15.30,   5.63E-009, 
 15.40,   3.20E-009, 
 15.50,   3.33E-009, 
 15.60,   1.01E-008, 
 15.70,   2.86E-008, 
 15.80,   4.39E-008, 
 15.90,   5.16E-008, 
 16.00,   5.52E-008, 
 16.10,   5.24E-008, 
 16.20,   4.18E-008, 
 16.30,   1.98E-008, 
 16.40,   1.06E-008, 
 16.50,   1.29E-008, 
 16.60,   5.45E-008, 
 16.70,   1.52E-007, 
 16.80,   1.99E-007, 
 16.90,   2.13E-007, 
 17.00,   2.16E-007, 
 17.10,   1.94E-007, 
 17.20,   1.38E-007, 
 17.30,   4.52E-008, 
 17.40,   2.65E-008, 
 17.50,   4.30E-008, 
 17.60,   2.58E-007, 
 17.70,   6.31E-007, 
 17.80,   7.43E-007, 
 17.90,   7.59E-007, 
 18.00,   7.70E-007, 
 18.10,   6.69E-007, 
 18.20,   4.09E-007, 
 18.30,   7.03E-008, 
 18.40,   2.17E-008, 
 18.50,   1.05E-008, 
 18.60,   6.70E-009, 
 18.70,   6.76E-009, 
 18.80,   7.29E-009, 
 18.90,   7.65E-009, 
 19.00,   7.92E-009, 
 19.10,   7.50E-009, 
