Apr 28, 2026  10:46:47 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   6.48E-010, 
  1.10,   7.51E-010, 
  1.20,   3.40E-009, 
  1.30,   1.70E-008, 
  1.40,   1.02E-008, 
  1.50,   6.22E-009, 
  1.60,   7.30E-009, 
  1.70,   1.45E-008, 
  1.80,   3.00E-008, 
  1.90,   4.24E-008, 
  2.00,   5.26E-008, 
  2.10,   5.10E-008, 
  2.20,   4.55E-008, 
  2.30,   3.25E-008, 
  2.40,   1.36E-008, 
  2.50,   5.71E-009, 
  2.60,   2.62E-009, 
  2.70,   1.21E-009, 
  2.80,   7.31E-010, 
  2.90,   4.80E-010, 
  3.00,   4.05E-010, 
  3.10,   2.31E-010, 
  3.20,   3.21E-012, 
  3.30,   2.96E-011, 
  3.40,  -4.29E-010, 
  3.50,  -3.79E-010, 
  3.60,  -2.37E-010, 
  3.70,  -4.24E-010, 
  3.80,  -3.52E-010, 
  3.90,  -3.39E-010, 
  4.00,  -2.64E-010, 
  4.10,  -3.18E-010, 
  4.20,  -1.03E-010, 
  4.30,  -1.96E-010, 
  4.40,  -2.26E-010, 
  4.50,  -2.11E-010, 
  4.60,  -3.12E-010, 
  4.70,  -2.92E-010, 
  4.80,  -2.88E-010, 
  4.90,  -2.96E-010, 
  5.00,  -4.24E-010, 
  5.10,  -4.18E-010, 
  5.20,  -4.46E-010, 
  5.30,  -5.46E-010, 
  5.40,  -4.13E-010, 
  5.50,  -5.08E-010, 
  5.60,  -5.30E-010, 
  5.70,  -3.77E-010, 
  5.80,  -5.47E-010, 
  5.90,  -4.01E-010, 
  6.00,  -4.56E-010, 
  6.10,  -4.91E-010, 
  6.20,  -1.99E-010, 
  6.30,  -9.38E-011, 
  6.40,  -5.52E-010, 
  6.50,  -5.71E-010, 
  6.60,  -5.19E-010, 
  6.70,  -5.96E-010, 
  6.80,  -3.56E-010, 
  6.90,  -2.62E-010, 
  7.00,  -2.99E-010, 
  7.10,  -2.34E-010, 
  7.20,  -3.44E-010, 
  7.30,  -4.41E-010, 
  7.40,  -3.93E-010, 
  7.50,  -3.50E-010, 
  7.60,  -3.21E-010, 
  7.70,  -3.84E-010, 
  7.80,  -5.66E-010, 
  7.90,  -3.96E-010, 
  8.00,  -5.04E-010, 
  8.10,  -3.44E-010, 
  8.20,  -4.11E-010, 
  8.30,  -3.34E-010, 
  8.40,  -3.06E-010, 
  8.50,  -4.98E-010, 
  8.60,  -4.07E-010, 
  8.70,  -2.26E-010, 
  8.80,  -3.39E-010, 
  8.90,  -4.07E-010, 
  9.00,  -3.79E-010, 
  9.10,  -5.41E-010, 
  9.20,  -4.18E-010, 
  9.30,  -9.90E-011, 
  9.40,  -3.52E-010, 
  9.50,  -4.01E-010, 
  9.60,  -2.66E-010, 
  9.70,  -1.36E-010, 
  9.80,   1.86E-011, 
  9.90,  -3.12E-010, 
 10.00,  -4.13E-010, 
 10.10,  -3.37E-010, 
 10.20,  -3.57E-010, 
 10.30,  -4.13E-010, 
 10.40,  -3.62E-010, 
 10.50,  -4.07E-010, 
 10.60,  -4.12E-010, 
 10.70,  -3.12E-010, 
 10.80,  -5.24E-010, 
 10.90,  -5.74E-010, 
 11.00,  -5.97E-010, 
 11.10,  -6.47E-010, 
 11.20,  -6.41E-010, 
 11.30,  -5.19E-010, 
 11.40,  -2.87E-010, 
 11.50,  -1.70E-010, 
 11.60,   5.15E-010, 
 11.70,   1.85E-009, 
 11.80,   2.91E-009, 
 11.90,   3.79E-009, 
 12.00,   4.65E-009, 
 12.10,   4.47E-009, 
 12.20,   3.56E-009, 
 12.30,   1.88E-009, 
 12.40,   1.01E-009, 
 12.50,   5.85E-010, 
 12.60,   2.35E-010, 
 12.70,   3.69E-010, 
 12.80,   6.29E-010, 
 12.90,   7.51E-010, 
 13.00,   8.91E-010, 
 13.10,   9.24E-010, 
 13.20,   5.66E-010, 
 13.30,   4.18E-010, 
 13.40,   5.13E-010, 
 13.50,   1.28E-009, 
 13.60,   7.96E-009, 
 13.70,   2.15E-008, 
 13.80,   3.25E-008, 
 13.90,   3.87E-008, 
 14.00,   4.20E-008, 
 14.10,   3.91E-008, 
 14.20,   2.94E-008, 
 14.30,   1.25E-008, 
 14.40,   5.32E-009, 
 14.50,   2.82E-009, 
 14.60,   2.41E-009, 
 14.70,   4.21E-009, 
 14.80,   5.68E-009, 
 14.90,   6.85E-009, 
 15.00,   7.48E-009, 
 15.10,   7.18E-009, 
 15.20,   5.99E-009, 
 15.30,   3.38E-009, 
 15.40,   2.27E-009, 
 15.50,   3.05E-009, 
 15.60,   1.25E-008, 
 15.70,   3.29E-008, 
 15.80,   4.83E-008, 
 15.90,   5.56E-008, 
 16.00,   5.92E-008, 
 16.10,   5.51E-008, 
 16.20,   4.16E-008, 
 16.30,   1.84E-008, 
 16.40,   1.09E-008, 
 16.50,   1.63E-008, 
 16.60,   7.90E-008, 
 16.70,   1.84E-007, 
 16.80,   2.31E-007, 
 16.90,   2.38E-007, 
 17.00,   2.45E-007, 
 17.10,   2.16E-007, 
 17.20,   1.35E-007, 
 17.30,   4.22E-008, 
 17.40,   2.96E-008, 
 17.50,   6.18E-008, 
 17.60,   4.14E-007, 
 17.70,   7.74E-007, 
 17.80,   9.14E-007, 
 17.90,   8.83E-007, 
 18.00,   9.18E-007, 
 18.10,   7.77E-007, 
 18.20,   3.90E-007, 
 18.30,   5.97E-008, 
 18.40,   1.99E-008, 
 18.50,   9.66E-009, 
 18.60,   7.17E-009, 
 18.70,   7.46E-009, 
 18.80,   8.10E-009, 
 18.90,   8.67E-009, 
 19.00,   8.74E-009, 
