Apr 28, 2026  10:40:37 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,  -1.10E-008, 
  1.10,  -1.02E-008, 
  1.20,  -9.03E-009, 
  1.30,  -7.08E-009, 
  1.40,  -6.15E-009, 
  1.50,  -5.45E-009, 
  1.60,  -5.45E-009, 
  1.70,  -5.75E-009, 
  1.80,  -5.28E-009, 
  1.90,  -4.25E-009, 
  2.00,  -2.31E-009, 
  2.10,  -1.12E-009, 
  2.20,  -5.73E-010, 
  2.30,  -7.50E-010, 
  2.40,  -2.77E-009, 
  2.50,  -4.79E-009, 
  2.60,  -4.44E-009, 
  2.70,  -4.13E-009, 
  2.80,  -2.78E-009, 
  2.90,  -2.67E-009, 
  3.00,  -2.63E-009, 
  3.10,  -2.60E-009, 
  3.20,  -2.33E-009, 
  3.30,  -2.19E-009, 
  3.40,  -2.16E-009, 
  3.50,  -2.24E-009, 
  3.60,  -2.16E-009, 
  3.70,  -2.12E-009, 
  3.80,  -2.13E-009, 
  3.90,  -2.13E-009, 
  4.00,  -2.08E-009, 
  4.10,  -1.96E-009, 
  4.20,  -1.92E-009, 
  4.30,  -2.07E-009, 
  4.40,  -1.95E-009, 
  4.50,  -1.73E-009, 
  4.60,  -1.61E-009, 
  4.70,  -1.64E-009, 
  4.80,  -1.28E-009, 
  4.90,  -1.11E-009, 
  5.00,  -1.07E-009, 
  5.10,  -1.08E-009, 
  5.20,  -7.80E-010, 
  5.30,  -8.49E-010, 
  5.40,  -8.35E-010, 
  5.50,  -8.79E-010, 
  5.60,  -1.04E-009, 
  5.70,  -1.16E-009, 
  5.80,  -1.04E-009, 
  5.90,  -1.00E-009, 
  6.00,  -9.32E-010, 
  6.10,  -8.98E-010, 
  6.20,  -8.23E-010, 
  6.30,  -6.99E-010, 
  6.40,  -7.16E-010, 
  6.50,  -6.96E-010, 
  6.60,  -7.33E-010, 
  6.70,  -7.79E-010, 
  6.80,  -6.96E-010, 
  6.90,  -5.42E-010, 
  7.00,  -6.23E-010, 
  7.10,  -5.69E-010, 
  7.20,  -6.96E-010, 
  7.30,  -7.83E-010, 
  7.40,  -8.99E-010, 
  7.50,  -7.66E-010, 
  7.60,  -6.00E-010, 
  7.70,  -4.99E-010, 
  7.80,  -3.16E-010, 
  7.90,  -4.16E-010, 
  8.00,  -6.76E-010, 
  8.10,  -7.06E-010, 
  8.20,  -6.76E-010, 
  8.30,  -5.60E-010, 
  8.40,  -6.43E-010, 
  8.50,  -7.86E-010, 
  8.60,  -7.72E-010, 
  8.70,  -8.82E-010, 
  8.80,  -8.43E-010, 
  8.90,  -7.33E-010, 
  9.00,  -4.93E-010, 
  9.10,  -5.26E-010, 
  9.20,  -6.73E-010, 
  9.30,  -6.73E-010, 
  9.40,  -5.76E-010, 
  9.50,  -6.23E-010, 
  9.60,  -6.83E-010, 
  9.70,  -5.66E-010, 
  9.80,  -6.43E-010, 
  9.90,  -5.86E-010, 
 10.00,  -6.59E-010, 
 10.10,  -7.86E-010, 
 10.20,  -7.33E-010, 
 10.30,  -6.39E-010, 
 10.40,  -5.26E-010, 
 10.50,  -2.71E-010, 
 10.60,  -3.35E-010, 
 10.70,  -3.05E-010, 
 10.80,  -2.71E-010, 
 10.90,  -9.90E-011, 
 11.00,  -2.75E-010, 
 11.10,  -3.76E-010, 
 11.20,  -4.83E-010, 
 11.30,  -5.76E-010, 
 11.40,  -6.30E-010, 
 11.50,  -5.36E-010, 
 11.60,  -4.43E-011, 
 11.70,   9.78E-010, 
 11.80,   1.52E-009, 
 11.90,   2.19E-009, 
 12.00,   2.79E-009, 
 12.10,   2.81E-009, 
 12.20,   2.51E-009, 
 12.30,   1.23E-009, 
 12.40,   4.52E-010, 
 12.50,   3.28E-011, 
 12.60,   4.02E-010, 
 12.70,   7.29E-010, 
 12.80,   1.02E-009, 
 12.90,   1.35E-009, 
 13.00,   1.32E-009, 
 13.10,   1.50E-009, 
 13.20,   1.44E-009, 
 13.30,   1.37E-009, 
 13.40,   2.18E-009, 
 13.50,   6.70E-009, 
 13.60,   3.61E-008, 
 13.70,   8.95E-008, 
 13.80,   1.26E-007, 
 13.90,   1.47E-007, 
 14.00,   1.57E-007, 
 14.10,   1.48E-007, 
 14.20,   1.00E-007, 
 14.30,   3.15E-008, 
 14.40,   1.20E-008, 
 14.50,   6.14E-009, 
 14.60,   5.27E-009, 
 14.70,   7.74E-009, 
 14.80,   9.72E-009, 
 14.90,   1.20E-008, 
 15.00,   1.41E-008, 
 15.10,   1.44E-008, 
 15.20,   1.28E-008, 
 15.30,   7.21E-009, 
 15.40,   4.12E-009, 
 15.50,   5.27E-009, 
 15.60,   1.89E-008, 
 15.70,   4.33E-008, 
 15.80,   6.17E-008, 
 15.90,   7.39E-008, 
 16.00,   8.03E-008, 
 16.10,   7.69E-008, 
 16.20,   5.52E-008, 
 16.30,   2.18E-008, 
 16.40,   1.00E-008, 
 16.50,   8.86E-009, 
 16.60,   3.00E-008, 
 16.70,   6.99E-008, 
 16.80,   9.85E-008, 
 16.90,   1.14E-007, 
 17.00,   1.25E-007, 
 17.10,   1.20E-007, 
 17.20,   8.47E-008, 
 17.30,   3.06E-008, 
 17.40,   1.72E-008, 
 17.50,   2.60E-008, 
 17.60,   1.39E-007, 
 17.70,   3.06E-007, 
 17.80,   3.70E-007, 
 17.90,   4.02E-007, 
 18.00,   4.27E-007, 
 18.10,   3.99E-007, 
 18.20,   2.50E-007, 
 18.30,   5.16E-008, 
 18.40,   1.74E-008, 
 18.50,   8.28E-009, 
 18.60,   5.19E-009, 
 18.70,   4.37E-009, 
 18.80,   4.06E-009, 
 18.90,   4.13E-009, 
