Apr 28, 2026  10:41:57 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,   2.75E-009, 
  1.10,   3.24E-009, 
  1.20,   5.11E-009, 
  1.30,   9.18E-009, 
  1.40,   8.56E-009, 
  1.50,   9.11E-009, 
  1.60,   9.02E-009, 
  1.70,   9.87E-009, 
  1.80,   1.36E-008, 
  1.90,   1.77E-008, 
  2.00,   2.08E-008, 
  2.10,   2.38E-008, 
  2.20,   2.27E-008, 
  2.30,   1.61E-008, 
  2.40,   6.21E-009, 
  2.50,   1.96E-009, 
  2.60,   1.83E-010, 
  2.70,  -5.16E-010, 
  2.80,  -8.48E-010, 
  2.90,  -1.09E-009, 
  3.00,  -8.82E-010, 
  3.10,  -9.66E-010, 
  3.20,  -8.54E-010, 
  3.30,  -7.23E-010, 
  3.40,  -8.60E-010, 
  3.50,  -9.10E-010, 
  3.60,  -9.88E-010, 
  3.70,  -9.83E-010, 
  3.80,  -8.98E-010, 
  3.90,  -8.99E-010, 
  4.00,  -8.21E-010, 
  4.10,  -8.64E-010, 
  4.20,  -8.25E-010, 
  4.30,  -8.20E-010, 
  4.40,  -9.20E-010, 
  4.50,  -8.80E-010, 
  4.60,  -8.47E-010, 
  4.70,  -1.01E-009, 
  4.80,  -8.60E-010, 
  4.90,  -6.83E-010, 
  5.00,  -7.69E-010, 
  5.10,  -6.95E-010, 
  5.20,  -6.43E-010, 
  5.30,  -7.05E-010, 
  5.40,  -7.69E-010, 
  5.50,  -5.33E-010, 
  5.60,  -4.17E-010, 
  5.70,  -4.56E-010, 
  5.80,  -4.16E-010, 
  5.90,  -4.61E-010, 
  6.00,  -4.17E-010, 
  6.10,  -6.74E-010, 
  6.20,  -6.83E-010, 
  6.30,  -4.28E-010, 
  6.40,  -4.35E-010, 
  6.50,  -5.44E-010, 
  6.60,  -3.22E-010, 
  6.70,  -5.34E-010, 
  6.80,  -5.03E-010, 
  6.90,  -4.92E-010, 
  7.00,  -6.11E-010, 
  7.10,  -5.25E-010, 
  7.20,  -4.20E-010, 
  7.30,  -3.16E-010, 
  7.40,  -2.44E-010, 
  7.50,  -3.88E-010, 
  7.60,  -3.38E-010, 
  7.70,  -5.71E-010, 
  7.80,  -6.47E-010, 
  7.90,  -8.37E-010, 
  8.00,  -7.41E-010, 
  8.10,  -6.29E-010, 
  8.20,  -5.99E-010, 
  8.30,  -5.48E-010, 
  8.40,  -3.73E-010, 
  8.50,  -3.88E-010, 
  8.60,  -3.57E-010, 
  8.70,  -4.42E-010, 
  8.80,  -6.27E-010, 
  8.90,  -6.25E-010, 
  9.00,  -5.29E-010, 
  9.10,  -5.82E-010, 
  9.20,  -4.66E-010, 
  9.30,  -4.97E-010, 
  9.40,  -5.62E-010, 
  9.50,  -6.36E-010, 
  9.60,  -5.17E-010, 
  9.70,  -6.23E-010, 
  9.80,  -6.24E-010, 
  9.90,  -6.83E-010, 
 10.00,  -6.03E-010, 
 10.10,  -7.05E-010, 
 10.20,  -5.04E-010, 
 10.30,  -5.49E-010, 
 10.40,  -3.62E-010, 
 10.50,  -2.60E-010, 
 10.60,  -3.55E-010, 
 10.70,  -4.94E-010, 
 10.80,  -4.32E-010, 
 10.90,  -5.67E-010, 
 11.00,  -6.59E-010, 
 11.10,  -6.85E-010, 
 11.20,  -6.91E-010, 
 11.30,  -7.29E-010, 
 11.40,  -5.69E-010, 
 11.50,  -2.96E-010, 
 11.60,   7.57E-010, 
 11.70,   2.05E-009, 
 11.80,   2.92E-009, 
 11.90,   3.79E-009, 
 12.00,   4.28E-009, 
 12.10,   4.40E-009, 
 12.20,   3.48E-009, 
 12.30,   1.65E-009, 
 12.40,   6.06E-010, 
 12.50,   1.04E-010, 
 12.60,   2.59E-010, 
 12.70,   5.89E-010, 
 12.80,   9.08E-010, 
 12.90,   1.16E-009, 
 13.00,   1.49E-009, 
 13.10,   1.88E-009, 
 13.20,   1.70E-009, 
 13.30,   1.82E-009, 
 13.40,   3.57E-009, 
 13.50,   1.13E-008, 
 13.60,   5.62E-008, 
 13.70,   1.28E-007, 
 13.80,   1.59E-007, 
 13.90,   1.78E-007, 
 14.00,   1.82E-007, 
 14.10,   1.67E-007, 
 14.20,   1.00E-007, 
 14.30,   2.91E-008, 
 14.40,   1.18E-008, 
 14.50,   6.66E-009, 
 14.60,   6.56E-009, 
 14.70,   9.80E-009, 
 14.80,   1.28E-008, 
 14.90,   1.51E-008, 
 15.00,   1.68E-008, 
 15.10,   1.69E-008, 
 15.20,   1.41E-008, 
 15.30,   7.50E-009, 
 15.40,   5.16E-009, 
 15.50,   8.17E-009, 
 15.60,   3.09E-008, 
 15.70,   7.02E-008, 
 15.80,   9.37E-008, 
 15.90,   1.06E-007, 
 16.00,   1.11E-007, 
 16.10,   1.04E-007, 
 16.20,   6.70E-008, 
 16.30,   2.46E-008, 
 16.40,   1.54E-008, 
 16.50,   2.72E-008, 
 16.60,   1.26E-007, 
 16.70,   2.51E-007, 
 16.80,   2.89E-007, 
 16.90,   3.17E-007, 
 17.00,   3.14E-007, 
 17.10,   2.95E-007, 
 17.20,   1.61E-007, 
 17.30,   4.57E-008, 
 17.40,   4.12E-008, 
 17.50,   1.20E-007, 
 17.60,   6.60E-007, 
 17.70,   1.10E-006, 
 17.80,   1.19E-006, 
 17.90,   1.32E-006, 
 18.00,   1.24E-006, 
 18.10,   1.17E-006, 
 18.20,   4.82E-007, 
 18.30,   5.75E-008, 
 18.40,   2.07E-008, 
 18.50,   1.03E-008, 
 18.60,   8.02E-009, 
 18.70,   8.84E-009, 
 18.80,   9.95E-009, 
 18.90,   1.06E-008, 
 19.00,   1.11E-008, 
