Apr 28, 2026  10:47:58 AM
Residual Gas Analyzer Software 
Software Version, 3.214.004

Analog Scan Setup:

Data Points in Scan, 1491 
Units, Torr 
Noise Floor, 4 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 150, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.56E-004 
Filament Current, 1.00, mAmps


  1.00,  -2.83E-010, 
  1.10,  -1.16E-010, 
  1.20,   3.06E-009, 
  1.30,   1.13E-008, 
  1.40,   6.65E-009, 
  1.50,   4.98E-009, 
  1.60,   6.88E-009, 
  1.70,   1.57E-008, 
  1.80,   3.15E-008, 
  1.90,   4.29E-008, 
  2.00,   5.11E-008, 
  2.10,   4.88E-008, 
  2.20,   4.24E-008, 
  2.30,   2.85E-008, 
  2.40,   1.16E-008, 
  2.50,   4.65E-009, 
  2.60,   2.21E-009, 
  2.70,   8.45E-010, 
  2.80,   3.88E-010, 
  2.90,   2.92E-010, 
  3.00,   2.40E-010, 
  3.10,  -2.29E-010, 
  3.20,  -1.13E-010, 
  3.30,  -1.99E-010, 
  3.40,  -4.55E-010, 
  3.50,  -4.70E-010, 
  3.60,  -5.28E-010, 
  3.70,  -6.97E-010, 
  3.80,  -6.92E-010, 
  3.90,  -5.85E-010, 
  4.00,  -5.47E-010, 
  4.10,  -3.10E-010, 
  4.20,  -4.04E-010, 
  4.30,  -5.24E-010, 
  4.40,  -4.31E-010, 
  4.50,  -4.88E-010, 
  4.60,  -4.97E-010, 
  4.70,  -4.38E-010, 
  4.80,  -4.34E-010, 
  4.90,  -3.09E-010, 
  5.00,  -2.51E-010, 
  5.10,  -5.29E-010, 
  5.20,  -5.91E-010, 
  5.30,  -3.59E-010, 
  5.40,  -4.18E-010, 
  5.50,  -5.62E-010, 
  5.60,  -5.80E-010, 
  5.70,  -5.64E-010, 
  5.80,  -5.55E-010, 
  5.90,  -4.13E-010, 
  6.00,  -5.26E-010, 
  6.10,  -5.80E-010, 
  6.20,  -3.41E-010, 
  6.30,  -4.78E-010, 
  6.40,  -5.39E-010, 
  6.50,  -3.71E-010, 
  6.60,  -4.20E-010, 
  6.70,  -3.91E-010, 
  6.80,  -4.10E-010, 
  6.90,  -3.08E-010, 
  7.00,  -5.06E-010, 
  7.10,  -6.52E-010, 
  7.20,  -5.29E-010, 
  7.30,  -5.06E-010, 
  7.40,  -4.74E-010, 
  7.50,  -4.47E-010, 
  7.60,  -2.33E-010, 
  7.70,  -1.84E-010, 
  7.80,  -4.62E-010, 
  7.90,  -6.01E-010, 
  8.00,  -4.99E-010, 
  8.10,  -5.40E-010, 
  8.20,  -3.97E-010, 
  8.30,  -3.33E-010, 
  8.40,  -3.84E-010, 
  8.50,  -4.57E-010, 
  8.60,  -4.43E-010, 
  8.70,  -6.08E-010, 
  8.80,  -4.94E-010, 
  8.90,  -3.65E-010, 
  9.00,  -4.81E-010, 
  9.10,  -5.28E-010, 
  9.20,  -6.14E-010, 
  9.30,  -4.71E-010, 
  9.40,  -4.01E-010, 
  9.50,  -6.58E-010, 
  9.60,  -5.97E-010, 
  9.70,  -2.63E-010, 
  9.80,  -4.89E-010, 
  9.90,  -4.83E-010, 
 10.00,  -3.63E-010, 
 10.10,  -6.80E-010, 
 10.20,  -4.90E-010, 
 10.30,  -6.36E-010, 
 10.40,  -6.47E-010, 
 10.50,  -6.70E-010, 
 10.60,  -6.58E-010, 
 10.70,  -7.47E-010, 
 10.80,  -7.11E-010, 
 10.90,  -6.07E-010, 
 11.00,  -5.80E-010, 
 11.10,  -2.38E-010, 
 11.20,  -2.71E-010, 
 11.30,  -4.90E-010, 
 11.40,  -2.96E-010, 
 11.50,  -1.39E-010, 
 11.60,   6.63E-010, 
 11.70,   2.10E-009, 
 11.80,   2.88E-009, 
 11.90,   3.68E-009, 
 12.00,   4.34E-009, 
 12.10,   4.04E-009, 
 12.20,   3.06E-009, 
 12.30,   1.41E-009, 
 12.40,   4.43E-010, 
 12.50,  -1.38E-010, 
 12.60,   1.50E-010, 
 12.70,   2.66E-010, 
 12.80,   2.56E-010, 
 12.90,   5.19E-010, 
 13.00,   7.26E-010, 
 13.10,   7.58E-010, 
 13.20,   6.39E-010, 
 13.30,   3.68E-010, 
 13.40,   4.00E-010, 
 13.50,   1.81E-009, 
 13.60,   9.55E-009, 
 13.70,   2.27E-008, 
 13.80,   3.24E-008, 
 13.90,   3.79E-008, 
 14.00,   4.07E-008, 
 14.10,   3.72E-008, 
 14.20,   2.57E-008, 
 14.30,   1.02E-008, 
 14.40,   4.72E-009, 
 14.50,   2.70E-009, 
 14.60,   2.60E-009, 
 14.70,   4.23E-009, 
 14.80,   5.62E-009, 
 14.90,   6.64E-009, 
 15.00,   7.21E-009, 
 15.10,   6.82E-009, 
 15.20,   5.57E-009, 
 15.30,   3.06E-009, 
 15.40,   2.11E-009, 
 15.50,   3.33E-009, 
 15.60,   1.41E-008, 
 15.70,   3.35E-008, 
 15.80,   4.70E-008, 
 15.90,   5.32E-008, 
 16.00,   5.53E-008, 
 16.10,   5.10E-008, 
 16.20,   3.54E-008, 
 16.30,   1.52E-008, 
 16.40,   1.00E-008, 
 16.50,   1.80E-008, 
 16.60,   8.78E-008, 
 16.70,   1.81E-007, 
 16.80,   2.20E-007, 
 16.90,   2.23E-007, 
 17.00,   2.27E-007, 
 17.10,   1.97E-007, 
 17.20,   1.10E-007, 
 17.30,   3.56E-008, 
 17.40,   2.85E-008, 
 17.50,   7.04E-008, 
 17.60,   4.52E-007, 
 17.70,   7.46E-007, 
 17.80,   8.50E-007, 
 17.90,   8.27E-007, 
 18.00,   8.34E-007, 
 18.10,   6.98E-007, 
 18.20,   2.92E-007, 
 18.30,   4.68E-008, 
 18.40,   1.71E-008, 
 18.50,   8.66E-009, 
 18.60,   6.58E-009, 
 18.70,   6.78E-009, 
 18.80,   7.76E-009, 
 18.90,   8.18E-009, 
 19.00,   8.08E-009, 
