  "Wellenlänge [nm]", "Intensität [mV]"
  497.0000,0.0033
  497.0200,0.0038
  497.0400,0.0063
  497.0600,0.0093
  497.0800,0.0053
  497.1000,0.0055
  497.1200,0.0013
  497.1400,0.0043
  497.1600,0.0033
  497.1800,0.0028
  497.2000,0.0058
  497.2200,0.0075
  497.2400,0.0053
  497.2600, 0.009
  497.2800,0.0118
  497.3000,  0.01
  497.3200,0.0103
  497.3400,0.0088
  497.3600, 0.012
  497.3800,0.0125
  497.4000, 0.013
  497.4200,0.0133
  497.4400,0.0143
  497.4600,0.0143
  497.4800,0.0138
  497.5000,0.0203
  497.5200,0.0203
  497.5400,0.0303
  497.5600, 0.044
  497.5800,0.0725
  497.6000,0.1075
  497.6200,0.1503
  497.6400,0.2198
  497.6600,0.3098
  497.6800,0.4295
  497.7000,0.4993
  497.7200, 0.515
  497.7400, 0.478
  497.7600,0.3943
  497.7800,0.3035
  497.8000, 0.242
  497.8200,0.1928
  497.8400, 0.149
  497.8600,0.1243
  497.8800,0.1115
  497.9000, 0.094
  497.9200, 0.089
  497.9400, 0.085
  497.9600,0.0765
  497.9800,0.0893
  498.0000,0.1228
  498.0200,0.1833
  498.0400,0.2648
  498.0600,0.3933
  498.0800,0.5878
  498.1000,  0.79
  498.1200,0.9718
  498.1400,0.9955
  498.1600, 0.884
  498.1800,0.7243
  498.2000,0.5855
  498.2200,0.4615
  498.2400,0.3768
  498.2600,0.2693
  498.2800, 0.216
  498.3000, 0.181
  498.3200,0.1523
  498.3400,0.1243
  498.3600,0.0925
  498.3800,0.0628
  498.4000,0.0468
  498.4200,0.0315
  498.4400, 0.028
  498.4600,0.0195
  498.4800,0.0145
  498.5000,0.0128
  498.5200,  0.01
  498.5400,0.0065
  498.5600, 0.003
  498.5800, 0.003
  498.6000,0.0063
  498.6200,0.0025
  498.6400,0.0015
  498.6600, 0.003
  498.6800, 0.004
  498.7000,0.0028
  498.7200,0.0025
  498.7400,0.0003
  498.7600, 0.004
  498.7800,0.0018
  498.8000,0.0038
  498.8200,0.0038
  498.8400,0.0038
  498.8600,0.0055
  498.8800,0.0043
  498.9000,0.0055
  498.9200,0.0065
  498.9400,0.0045
  498.9600, 0.002
  498.9800, 0.003
  499.0000,0.0055
