  "Wellenlänge [nm]", "Intensität [mV]"
  400.0000,0
  401.0000,0
  402.0000,0
  403.0000,0
  404.0000,0
  405.0000,0
  406.0000,0
  407.0000,0
  408.0000,0
  409.0000,0.01
  410.0000,0.01
  411.0000,0.02
  412.0000,0.02
  413.0000,0.02
  414.0000,0.02
  415.0000,0.06
  416.0000,0.07
  417.0000,0.07
  418.0000,0.08
  419.0000,0.13
  420.0000,0.15
  421.0000,0.18
  422.0000,0.22
  423.0000,0.27
  424.0000,0.33
  425.0000,0.41
  426.0000,0.47
  427.0000,0.58
  428.0000, 0.7
  429.0000,0.78
  430.0000,0.93
  431.0000,1.08
  432.0000,1.27
  433.0000,1.46
  434.0000,1.68
  435.0000,1.91
  436.0000, 2.2
  437.0000,2.46
  438.0000,2.81
  439.0000,3.16
  440.0000,3.57
  441.0000,4.02
  442.0000,4.55
  443.0000,5.17
  444.0000,5.76
  445.0000,6.36
  446.0000,7.07
  447.0000, 7.9
  448.0000,8.81
  449.0000,9.76
  450.0000,10.91
  451.0000,12.17
  452.0000,13.55
  453.0000,14.97
  454.0000,16.71
  455.0000,18.56
  456.0000,20.51
  457.0000,22.83
  458.0000,25.35
  459.0000,27.71
  460.0000,30.31
  461.0000,32.75
  462.0000,35.42
  463.0000,37.93
  464.0000,40.36
  465.0000,42.46
  466.0000,44.15
  467.0000,45.46
  468.0000,46.4
  469.0000,46.83
  470.0000,46.75
  471.0000,46.47
  472.0000,45.47
  473.0000,44.02
  474.0000,41.92
  475.0000,39.53
  476.0000,37.12
  477.0000,35.03
  478.0000,32.91
  479.0000,30.98
  480.0000,29.3
  481.0000,27.65
  482.0000,26.07
  483.0000,24.81
  484.0000,23.47
  485.0000,22.36
  486.0000,21.3
  487.0000,20.21
  488.0000,19.17
  489.0000,18.15
  490.0000,17.25
  491.0000,16.31
  492.0000,15.48
  493.0000,14.61
  494.0000,13.81
  495.0000,13.11
  496.0000,12.46
  497.0000,11.86
  498.0000,11.26
  499.0000,10.73
  500.0000,10.35
  501.0000,  10
  502.0000,9.63
  503.0000,9.28
  504.0000,9.06
  505.0000,8.85
  506.0000,8.61
  507.0000,8.37
  508.0000,8.22
  509.0000,8.12
  510.0000,7.93
  511.0000,7.82
  512.0000, 7.8
  513.0000,7.73
  514.0000,7.63
  515.0000,7.56
  516.0000, 7.5
  517.0000,7.48
  518.0000,7.51
  519.0000,7.55
  520.0000,7.48
  521.0000,7.51
  522.0000,7.55
  523.0000,7.57
  524.0000,7.57
  525.0000,7.68
  526.0000,7.71
  527.0000,7.76
  528.0000,7.76
  529.0000, 7.8
  530.0000, 7.8
  531.0000, 7.8
  532.0000,7.86
  533.0000,7.83
  534.0000,7.86
  535.0000,7.86
  536.0000, 7.9
  537.0000,7.88
  538.0000,7.88
  539.0000,7.86
  540.0000,7.88
  541.0000, 7.9
  542.0000,7.92
  543.0000,7.86
  544.0000,7.87
  545.0000,7.88
  546.0000,7.88
  547.0000,7.88
  548.0000,7.83
  549.0000,7.82
  550.0000, 7.8
  551.0000,7.82
  552.0000, 7.8
  553.0000,7.76
  554.0000,7.71
  555.0000, 7.7
  556.0000, 7.7
  557.0000,7.65
  558.0000,7.61
  559.0000,7.58
  560.0000,7.55
  561.0000, 7.5
  562.0000,7.51
  563.0000,7.45
  564.0000,7.42
  565.0000, 7.4
  566.0000,7.31
  567.0000, 7.3
  568.0000,7.25
  569.0000, 7.2
  570.0000,7.11
  571.0000,7.07
  572.0000,7.05
  573.0000,6.98
  574.0000,6.95
  575.0000,6.88
  576.0000,6.81
  577.0000,6.76
  578.0000,6.73
  579.0000,6.63
  580.0000,6.61
  581.0000, 6.5
  582.0000,6.42
  583.0000,6.43
  584.0000,6.31
  585.0000,6.21
  586.0000,6.15
  587.0000,6.07
  588.0000,6.01
  589.0000,6.01
  590.0000,5.95
  591.0000,5.87
  592.0000,5.77
  593.0000,5.71
  594.0000,5.62
  595.0000,5.55
  596.0000,5.51
  597.0000,5.45
  598.0000,5.36
  599.0000,5.31
  600.0000, 5.2
  601.0000,5.12
  602.0000,5.06
  603.0000,5
  604.0000, 4.9
  605.0000,4.81
  606.0000,4.81
  607.0000,4.75
  608.0000,4.63
  609.0000,4.55
  610.0000,4.48
  611.0000,4.38
  612.0000,4.32
  613.0000,4.25
  614.0000,4.17
  615.0000,4.11
  616.0000,4.01
  617.0000,3.96
  618.0000,3.88
  619.0000,3.81
  620.0000,3.72
  621.0000,3.66
  622.0000,3.57
  623.0000, 3.5
  624.0000,3.43
  625.0000,3.35
  626.0000,3.26
  627.0000,3.22
  628.0000,3.12
  629.0000,3.07
  630.0000,3
  631.0000,2.95
  632.0000,2.85
  633.0000,2.78
  634.0000,2.72
  635.0000,2.65
  636.0000,2.57
  637.0000,2.52
  638.0000,2.46
  639.0000,2.41
  640.0000,2.33
  641.0000,2.28
  642.0000,2.22
  643.0000,2.15
  644.0000, 2.1
  645.0000,2.07
  646.0000,2
  647.0000,1.95
  648.0000, 1.9
  649.0000,1.83
  650.0000,1.81
  651.0000,1.77
  652.0000,1.71
  653.0000,1.65
  654.0000,1.62
  655.0000,1.58
  656.0000,1.51
  657.0000,1.47
  658.0000,1.43
  659.0000, 1.4
  660.0000,1.35
  661.0000,1.31
  662.0000,1.25
  663.0000,1.22
  664.0000,1.21
  665.0000,1.18
  666.0000,1.13
  667.0000,1.12
  668.0000,1.06
  669.0000,1.03
  670.0000,1
  671.0000,0.97
  672.0000,0.95
  673.0000, 0.9
  674.0000,0.87
  675.0000,0.85
  676.0000,0.83
  677.0000,0.81
  678.0000,0.76
  679.0000,0.72
  680.0000,0.71
  681.0000, 0.7
  682.0000, 0.7
  683.0000,0.65
  684.0000,0.62
  685.0000, 0.6
  686.0000,0.58
  687.0000,0.57
  688.0000,0.56
  689.0000,0.52
  690.0000,0.51
  691.0000,0.47
  692.0000,0.47
  693.0000,0.46
  694.0000,0.45
  695.0000,0.43
  696.0000, 0.4
  697.0000, 0.4
  698.0000, 0.4
  699.0000,0.37
  700.0000,0.35
  701.0000,0.33
  702.0000,0.35
  703.0000,0.32
  704.0000,0.31
  705.0000,0.28
  706.0000,0.27
  707.0000,0.27
  708.0000,0.27
  709.0000,0.25
  710.0000,0.26
  711.0000,0.22
  712.0000,0.22
  713.0000,0.21
  714.0000,0.21
  715.0000,0.21
  716.0000, 0.2
  717.0000, 0.2
  718.0000,0.18
  719.0000,0.18
  720.0000,0.16
  721.0000,0.16
  722.0000,0.15
  723.0000,0.15
  724.0000,0.13
  725.0000,0.13
  726.0000,0.13
  727.0000,0.12
  728.0000,0.12
  729.0000,0.12
  730.0000,0.12
  731.0000,0.12
  732.0000, 0.1
  733.0000, 0.1
  734.0000, 0.1
  735.0000,0.08
  736.0000,0.08
  737.0000,0.08
  738.0000,0.08
  739.0000,0.07
  740.0000,0.08
  741.0000,0.08
  742.0000,0.07
  743.0000,0.07
  744.0000,0.06
  745.0000,0.06
  746.0000,0.06
  747.0000,0.06
  748.0000,0.06
  749.0000,0.03
  750.0000,0.03
