  "Wellenlänge [nm]", "Intensität [mV]"
  480.0000,0
  481.0000,0
  482.0000,0
  483.0000,0
  484.0000,0
  485.0000,0
  486.0000,0
  487.0000,0
  488.0000,-0.003
  489.0000,0
  490.0000,0
  491.0000,0
  492.0000,0
  493.0000,-0.003
  494.0000,0
  495.0000,-0.003
  496.0000,-0.003
  497.0000,0
  498.0000,0
  499.0000,0
  500.0000,0
  501.0000,0
  502.0000,0
  503.0000,0
  504.0000,0
  505.0000,0
  506.0000, 0.003
  507.0000, 0.003
  508.0000,0
  509.0000, 0.005
  510.0000, 0.005
  511.0000, 0.005
  512.0000, 0.005
  513.0000, 0.008
  514.0000, 0.013
  515.0000, 0.013
  516.0000, 0.018
  517.0000,  0.02
  518.0000,  0.03
  519.0000, 0.038
  520.0000, 0.043
  521.0000, 0.053
  522.0000, 0.065
  523.0000, 0.083
  524.0000, 0.103
  525.0000, 0.118
  526.0000, 0.143
  527.0000,  0.17
  528.0000, 0.203
  529.0000, 0.243
  530.0000, 0.288
  531.0000, 0.343
  532.0000, 0.393
  533.0000, 0.463
  534.0000, 0.563
  535.0000, 0.655
  536.0000, 0.775
  537.0000, 0.885
  538.0000, 1.028
  539.0000, 1.175
  540.0000,  1.35
  541.0000,  1.56
  542.0000,  1.77
  543.0000,  1.95
  544.0000, 2.198
  545.0000, 2.385
  546.0000,  2.61
  547.0000, 2.813
  548.0000,  3.06
  549.0000, 3.273
  550.0000, 3.488
  551.0000, 3.738
  552.0000,  3.93
  553.0000, 4.108
  554.0000, 4.283
  555.0000, 4.428
  556.0000, 4.455
  557.0000, 4.495
  558.0000, 4.503
  559.0000, 4.378
  560.0000,  4.16
  561.0000,  3.87
  562.0000, 3.575
  563.0000, 3.288
  564.0000,  3.05
  565.0000, 2.858
  566.0000, 2.708
  567.0000, 2.545
  568.0000, 2.393
  569.0000,  2.25
  570.0000, 2.088
  571.0000, 1.915
  572.0000,  1.76
  573.0000, 1.593
  574.0000, 1.443
  575.0000,  1.28
  576.0000, 1.168
  577.0000, 1.075
  578.0000, 0.955
  579.0000, 0.868
  580.0000, 0.793
  581.0000, 0.725
  582.0000, 0.663
  583.0000, 0.615
  584.0000, 0.553
  585.0000, 0.493
  586.0000, 0.453
  587.0000,   0.4
  588.0000, 0.365
  589.0000, 0.325
  590.0000,  0.29
  591.0000, 0.253
  592.0000, 0.238
  593.0000, 0.215
  594.0000, 0.188
  595.0000, 0.168
  596.0000, 0.143
  597.0000, 0.138
  598.0000,  0.12
  599.0000, 0.108
  600.0000, 0.095
  601.0000,  0.09
  602.0000, 0.078
  603.0000, 0.068
  604.0000, 0.065
  605.0000, 0.063
  606.0000,  0.05
  607.0000, 0.043
  608.0000, 0.043
  609.0000,  0.04
  610.0000, 0.033
  611.0000,  0.03
  612.0000, 0.025
  613.0000, 0.025
  614.0000, 0.025
  615.0000, 0.018
  616.0000, 0.015
  617.0000, 0.018
  618.0000, 0.008
  619.0000, 0.013
  620.0000, 0.013
  621.0000, 0.013
  622.0000, 0.008
  623.0000, 0.008
  624.0000, 0.008
  625.0000, 0.005
  626.0000, 0.008
  627.0000, 0.005
  628.0000, 0.005
  629.0000, 0.008
  630.0000, 0.008
