  "Wellenlänge [nm]", "Intensität [mV]"
  500.0000,0
  501.0000,0
  502.0000,0
  503.0000,0
  504.0000,0
  505.0000,0
  506.0000,0
  507.0000,-0.003
  508.0000,0
  509.0000,0
  510.0000,0
  511.0000,0
  512.0000,0
  513.0000,0
  514.0000,0
  515.0000,0
  516.0000,0
  517.0000,0
  518.0000,-0.003
  519.0000,0
  520.0000,0
  521.0000,0
  522.0000,0
  523.0000,0
  524.0000,0
  525.0000,0
  526.0000,-0.003
  527.0000,0
  528.0000,0
  529.0000,0
  530.0000,0
  531.0000,0
  532.0000,0
  533.0000,0
  534.0000,0
  535.0000, 0.003
  536.0000, 0.003
  537.0000, 0.003
  538.0000, 0.005
  539.0000, 0.005
  540.0000, 0.008
  541.0000, 0.013
  542.0000, 0.018
  543.0000, 0.015
  544.0000,  0.02
  545.0000,  0.03
  546.0000, 0.038
  547.0000,  0.04
  548.0000, 0.053
  549.0000, 0.063
  550.0000,  0.07
  551.0000,  0.09
  552.0000, 0.113
  553.0000,  0.13
  554.0000, 0.158
  555.0000, 0.195
  556.0000, 0.233
  557.0000, 0.275
  558.0000,  0.32
  559.0000, 0.375
  560.0000, 0.443
  561.0000, 0.518
  562.0000, 0.605
  563.0000, 0.693
  564.0000,  0.79
  565.0000, 0.925
  566.0000, 1.053
  567.0000, 1.203
  568.0000, 1.385
  569.0000, 1.573
  570.0000,  1.81
  571.0000,  2.07
  572.0000, 2.283
  573.0000, 2.568
  574.0000, 2.813
  575.0000, 3.058
  576.0000, 3.293
  577.0000, 3.485
  578.0000, 3.625
  579.0000, 3.783
  580.0000, 3.868
  581.0000, 3.983
  582.0000,  4.06
  583.0000, 4.128
  584.0000, 4.198
  585.0000, 4.253
  586.0000,  4.29
  587.0000,  4.24
  588.0000, 4.185
  589.0000, 4.135
  590.0000, 3.998
  591.0000,  3.92
  592.0000, 3.735
  593.0000, 3.545
  594.0000, 3.433
  595.0000,  3.23
  596.0000, 3.068
  597.0000, 2.955
  598.0000, 2.818
  599.0000, 2.675
  600.0000, 2.533
  601.0000,  2.41
  602.0000, 2.273
  603.0000, 2.153
  604.0000, 2.058
  605.0000, 1.945
  606.0000, 1.828
  607.0000, 1.685
  608.0000, 1.598
  609.0000,  1.51
  610.0000, 1.393
  611.0000, 1.323
  612.0000, 1.273
  613.0000, 1.173
  614.0000, 1.113
  615.0000,  1.04
  616.0000, 1.003
  617.0000, 0.918
  618.0000, 0.853
  619.0000, 0.805
  620.0000, 0.755
  621.0000, 0.728
  622.0000, 0.675
  623.0000,  0.63
  624.0000,   0.6
  625.0000, 0.565
  626.0000, 0.533
  627.0000, 0.493
  628.0000, 0.465
  629.0000, 0.425
  630.0000, 0.405
  631.0000, 0.383
  632.0000, 0.368
  633.0000,  0.34
  634.0000,  0.32
  635.0000, 0.303
  636.0000, 0.275
  637.0000, 0.255
  638.0000, 0.255
  639.0000,  0.23
  640.0000, 0.225
  641.0000, 0.213
  642.0000, 0.195
  643.0000, 0.188
  644.0000, 0.175
  645.0000, 0.163
  646.0000, 0.153
  647.0000, 0.143
  648.0000, 0.125
  649.0000,  0.13
  650.0000,  0.12
  651.0000, 0.113
  652.0000, 0.113
  653.0000,   0.1
  654.0000, 0.095
  655.0000, 0.088
  656.0000, 0.083
  657.0000, 0.078
  658.0000, 0.075
  659.0000, 0.068
  660.0000, 0.068
  661.0000, 0.063
  662.0000, 0.053
  663.0000, 0.058
  664.0000, 0.055
  665.0000, 0.055
  666.0000,  0.05
  667.0000, 0.045
  668.0000, 0.043
  669.0000, 0.038
  670.0000, 0.038
  671.0000, 0.033
  672.0000,  0.04
  673.0000,  0.03
  674.0000, 0.028
  675.0000,  0.03
  676.0000, 0.028
  677.0000,  0.03
  678.0000, 0.025
  679.0000, 0.025
  680.0000, 0.025
  681.0000, 0.025
  682.0000, 0.018
  683.0000, 0.018
  684.0000, 0.018
  685.0000, 0.015
  686.0000, 0.018
  687.0000, 0.013
  688.0000, 0.015
  689.0000, 0.013
  690.0000, 0.015
  691.0000, 0.013
  692.0000, 0.008
  693.0000, 0.013
  694.0000, 0.013
  695.0000, 0.008
  696.0000, 0.008
  697.0000, 0.008
  698.0000, 0.008
  699.0000, 0.013
  700.0000, 0.008
