  "Wellenlänge [nm]", "Intensität [mV]"
  750.0000,0.001
  751.0000,0.001
  752.0000,-0.0005
  753.0000, -0.001
  754.0000,-0.0015
  755.0000,    0
  756.0000,    0
  757.0000,-0.0005
  758.0000, 0.0005
  759.0000, 0.0005
  760.0000,    0
  761.0000, 0.0005
  762.0000,    0
  763.0000,-0.0005
  764.0000,    0
  765.0000,-0.0025
  766.0000, -0.001
  767.0000, 0.0025
  768.0000,    0
  769.0000, 0.0005
  770.0000,    0
  771.0000,-0.0005
  772.0000, -0.003
  773.0000, -0.001
  774.0000,    0
  775.0000, 0.0005
  776.0000,    0
  777.0000, -0.003
  778.0000,    0
  779.0000, 0.0025
  780.0000, -0.001
  781.0000,-0.0005
  782.0000,-0.0005
  783.0000, 0.0025
  784.0000, 0.0025
  785.0000,    0
  786.0000, 0.0015
  787.0000,0.001
  788.0000, 0.0015
  789.0000, 0.0015
  790.0000, 0.0015
  791.0000, 0.0025
  792.0000,    0
  793.0000, 0.0055
  794.0000,    0
  795.0000, 0.0005
  796.0000,0.003
  797.0000, 0.0005
  798.0000, 0.0025
  799.0000,0.003
  800.0000,0.005
  801.0000, 0.0025
  802.0000, 0.0035
  803.0000,0.004
  804.0000, 0.0025
  805.0000,0.005
  806.0000, 0.0035
  807.0000, 0.0025
  808.0000, 0.0015
  809.0000,0.004
  810.0000, 0.0035
  811.0000, 0.0055
  812.0000,0.003
  813.0000, 0.0075
  814.0000, 0.0085
  815.0000, 0.0085
  816.0000, 0.0085
  817.0000, 0.0075
  818.0000, 0.01
  819.0000,0.011
  820.0000, 0.0085
  821.0000,0.009
  822.0000,0.011
  823.0000,0.016
  824.0000,0.015
  825.0000, 0.0135
  826.0000, 0.0125
  827.0000, 0.0135
  828.0000,0.016
  829.0000,0.018
  830.0000, 0.0215
  831.0000, 0.0225
  832.0000,0.021
  833.0000,0.025
  834.0000,0.023
  835.0000, 0.0285
  836.0000, 0.0275
  837.0000, 0.0275
  838.0000,0.025
  839.0000, 0.0305
  840.0000, 0.03
  841.0000, 0.0335
  842.0000,0.041
  843.0000,0.038
  844.0000,0.038
  845.0000,0.038
  846.0000,0.041
  847.0000, 0.0405
  848.0000, 0.0455
  849.0000, 0.0435
  850.0000,0.044
  851.0000,0.046
  852.0000, 0.05
  853.0000,0.048
  854.0000,0.048
  855.0000,0.049
  856.0000,0.049
  857.0000,0.054
  858.0000, 0.0515
  859.0000,0.053
  860.0000, 0.0505
  861.0000,0.051
  862.0000,0.051
  863.0000, 0.0555
  864.0000, 0.05
  865.0000,0.051
  866.0000, 0.0455
  867.0000,0.048
  868.0000,0.046
  869.0000, 0.0465
  870.0000, 0.0455
  871.0000, 0.0465
  872.0000, 0.0435
  873.0000, 0.0425
  874.0000,0.046
  875.0000, 0.0475
  876.0000,0.049
  877.0000, 0.0425
  878.0000,0.041
  879.0000, 0.0425
  880.0000,0.039
  881.0000, 0.04
  882.0000, 0.0375
  883.0000,0.043
  884.0000, 0.0455
  885.0000, 0.0465
  886.0000,0.068
  887.0000,0.094
  888.0000, 0.1515
  889.0000, 0.21
  890.0000, 0.2955
  891.0000,0.375
  892.0000, 0.48
  893.0000,0.562
  894.0000,0.647
  895.0000, 0.7175
  896.0000, 0.7815
  897.0000,0.817
  898.0000,0.827
  899.0000,0.866
  900.0000,0.857
  901.0000,0.836
  902.0000, 0.8455
  903.0000,0.834
  904.0000,0.808
  905.0000,0.791
  906.0000, 0.7565
  907.0000, 0.7425
  908.0000, 0.6915
  909.0000, 0.6595
  910.0000, 0.6395
  911.0000,0.614
  912.0000, 0.5745
  913.0000, 0.5515
  914.0000,0.524
  915.0000,0.496
  916.0000, 0.4715
  917.0000, 0.4475
  918.0000,0.417
  919.0000,0.397
  920.0000,0.362
  921.0000, 0.3465
  922.0000, 0.3315
  923.0000,0.302
  924.0000, 0.2855
  925.0000, 0.27
  926.0000, 0.2595
  927.0000, 0.2455
  928.0000, 0.2205
  929.0000, 0.2145
  930.0000, 0.2025
  931.0000, 0.1845
  932.0000,0.173
  933.0000, 0.1605
  934.0000,0.151
  935.0000, 0.1475
  936.0000, 0.1325
  937.0000,0.124
  938.0000, 0.1165
  939.0000, 0.1175
  940.0000, 0.11
  941.0000, 0.0985
  942.0000,0.093
  943.0000,0.089
  944.0000, 0.0825
  945.0000, 0.08
  946.0000,0.071
  947.0000, 0.0675
  948.0000,0.068
  949.0000,0.065
  950.0000, 0.0585
  951.0000, 0.0555
  952.0000,0.051
  953.0000, 0.0485
  954.0000, 0.0425
  955.0000,0.041
  956.0000,0.035
  957.0000,0.036
  958.0000,0.034
  959.0000,0.028
  960.0000, 0.0305
  961.0000,0.025
  962.0000, 0.0255
  963.0000, 0.0205
  964.0000, 0.0165
  965.0000, 0.0215
  966.0000,0.011
  967.0000, 0.0135
  968.0000,0.014
  969.0000, 0.0135
  970.0000,0.011
  971.0000, 0.0105
  972.0000, 0.0105
  973.0000, 0.0065
  974.0000, 0.0085
  975.0000,0.009
  976.0000, 0.0055
  977.0000, 0.0065
  978.0000, 0.0065
  979.0000, 0.0025
  980.0000,0.006
  981.0000, 0.0035
  982.0000,0.003
  983.0000,0.001
  984.0000, 0.0035
  985.0000,    0
  986.0000, 0.0025
  987.0000, 0.0015
  988.0000, 0.0005
  989.0000, 0.0015
  990.0000,    0
  991.0000, 0.0015
  992.0000, 0.0005
  993.0000, 0.0025
  994.0000, 0.0025
  995.0000,0.001
  996.0000,0.001
  997.0000,-0.0015
  998.0000,-0.0005
  999.0000, -0.001
 1000.0000, 0.0025
