  "Wellenlänge [nm]", "Intensität [mV]"
  550.0000,      0
  551.0000, -0.003
  552.0000,      0
  553.0000,-0.0005
  554.0000,-0.0005
  555.0000, -0.001
  556.0000,      0
  557.0000,      0
  558.0000,      0
  559.0000,-0.0005
  560.0000,      0
  561.0000, 0.0025
  562.0000,      0
  563.0000,      0
  564.0000, 0.0025
  565.0000, 0.0005
  566.0000,  0.001
  567.0000, 0.0015
  568.0000, 0.0015
  569.0000, 0.0005
  570.0000,-0.0005
  571.0000,-0.0005
  572.0000,      0
  573.0000, 0.0005
  574.0000,-0.0005
  575.0000,      0
  576.0000,  0.001
  577.0000,      0
  578.0000,      0
  579.0000,      0
  580.0000,      0
  581.0000,      0
  582.0000,      0
  583.0000,      0
  584.0000,  0.001
  585.0000, 0.0005
  586.0000,-0.0005
  587.0000, -0.001
  588.0000,      0
  589.0000,      0
  590.0000,      0
  591.0000,      0
  592.0000, 0.0015
  593.0000, -0.003
  594.0000,  0.001
  595.0000,      0
  596.0000,  0.001
  597.0000, 0.0005
  598.0000,      0
  599.0000,      0
  600.0000,      0
  601.0000, 0.0005
  602.0000,  0.003
  603.0000,      0
  604.0000,      0
  605.0000, 0.0025
  606.0000, 0.0035
  607.0000, 0.0055
  608.0000, 0.0065
  609.0000, 0.0085
  610.0000,  0.013
  611.0000,  0.021
  612.0000, 0.0355
  613.0000,  0.045
  614.0000,  0.071
  615.0000, 0.1105
  616.0000,   0.16
  617.0000,  0.235
  618.0000, 0.3545
  619.0000, 0.4985
  620.0000,  0.591
  621.0000, 0.6135
  622.0000,  0.604
  623.0000, 0.6125
  624.0000, 0.6445
  625.0000, 0.6715
  626.0000, 0.7065
  627.0000, 0.7185
  628.0000, 0.7235
  629.0000,  0.704
  630.0000, 0.6535
  631.0000, 0.6015
  632.0000,  0.529
  633.0000, 0.4555
  634.0000, 0.4165
  635.0000, 0.3815
  636.0000,  0.325
  637.0000, 0.2925
  638.0000,  0.267
  639.0000, 0.2375
  640.0000,  0.215
  641.0000, 0.1885
  642.0000, 0.1785
  643.0000,  0.158
  644.0000, 0.1455
  645.0000,  0.131
  646.0000, 0.1215
  647.0000,  0.103
  648.0000,  0.088
  649.0000, 0.0815
  650.0000, 0.0715
  651.0000, 0.0685
  652.0000, 0.0615
  653.0000, 0.0515
  654.0000, 0.0475
  655.0000, 0.0375
  656.0000,  0.035
  657.0000,  0.034
  658.0000, 0.0265
  659.0000, 0.0285
  660.0000, 0.0225
  661.0000, 0.0215
  662.0000,  0.023
  663.0000, 0.0215
  664.0000,  0.019
  665.0000, 0.0175
  666.0000,  0.013
  667.0000, 0.0175
  668.0000,   0.01
  669.0000, 0.0105
  670.0000,  0.009
  671.0000,  0.009
  672.0000, 0.0085
  673.0000, 0.0075
  674.0000, 0.0075
  675.0000,  0.004
  676.0000, 0.0075
  677.0000, 0.0085
  678.0000,  0.004
  679.0000, 0.0015
  680.0000,  0.004
  681.0000,  0.003
  682.0000,  0.001
  683.0000,  0.003
  684.0000,  0.003
  685.0000,  0.003
  686.0000,  0.001
  687.0000, 0.0035
  688.0000,  0.003
  689.0000,  0.003
  690.0000,  0.001
  691.0000,-0.0005
  692.0000, -0.001
  693.0000,      0
  694.0000, 0.0005
  695.0000,  0.003
  696.0000, 0.0025
  697.0000,-0.0005
  698.0000, 0.0025
  699.0000, 0.0005
  700.0000, 0.0015
  701.0000, 0.0065
  702.0000, 0.0035
  703.0000, 0.0025
  704.0000,      0
  705.0000,-0.0005
  706.0000, 0.0025
  707.0000,      0
  708.0000,-0.0015
  709.0000, 0.0015
  710.0000, 0.0035
  711.0000, 0.0025
  712.0000,  0.004
  713.0000,      0
  714.0000, 0.0025
  715.0000,      0
  716.0000,      0
  717.0000,  0.003
  718.0000,  0.001
  719.0000, 0.0015
  720.0000,  0.004
  721.0000, 0.0035
  722.0000, 0.0035
  723.0000, 0.0015
  724.0000, 0.0025
