  "Wellenlänge [nm]", "Intensität [mV]"
  550.0000,-0.0105
  551.0000, -0.019
  552.0000,-0.0185
  553.0000,-0.0085
  554.0000, -0.009
  555.0000, -0.001
  556.0000, 0.0005
  557.0000,-0.0025
  558.0000,  0.001
  559.0000, -0.001
  560.0000, 0.0005
  561.0000, -0.001
  562.0000,-0.0005
  563.0000,      0
  564.0000, 0.0005
  565.0000, 0.0005
  566.0000, 0.0015
  567.0000,      0
  568.0000,  0.003
  569.0000,  0.003
  570.0000, 0.0035
  571.0000, 0.0025
  572.0000, 0.0015
  573.0000, 0.0015
  574.0000,      0
  575.0000, 0.0025
  576.0000, -0.008
  577.0000,-0.0035
  578.0000, -0.009
  579.0000,-0.0105
  580.0000,-0.0075
  581.0000, -0.009
  582.0000,-0.0175
  583.0000, -0.013
  584.0000, -0.019
  585.0000,-0.0125
  586.0000,-0.0205
  587.0000,-0.0215
  588.0000, -0.013
  589.0000, -0.009
  590.0000,-0.0085
  591.0000,-0.0165
  592.0000,-0.0115
  593.0000, -0.005
  594.0000,-0.0065
  595.0000,-0.0025
  596.0000, -0.001
  597.0000,-0.0015
  598.0000,-0.0035
  599.0000,-0.0055
  600.0000, 0.0005
  601.0000,      0
  602.0000,      0
  603.0000,-0.0015
  604.0000,-0.0015
  605.0000,  0.001
  606.0000,      0
  607.0000,-0.0005
  608.0000, -0.006
  609.0000,-0.0085
  610.0000,-0.1075
  611.0000, -0.135
  612.0000,-0.0825
  613.0000,-0.0335
  614.0000,-0.0155
  615.0000,-0.0115
  616.0000, -0.014
  617.0000,-0.0025
  618.0000, 0.0015
  619.0000,  0.013
  620.0000, 0.0125
  621.0000, 0.0075
  622.0000, 0.0125
  623.0000,  0.021
  624.0000,  0.025
  625.0000, 0.0255
  626.0000, 0.0335
  627.0000,  0.045
  628.0000, 0.0575
  629.0000,  0.061
  630.0000,  0.068
  631.0000, 0.0685
  632.0000,  0.088
  633.0000,  0.103
  634.0000,  0.116
  635.0000, 0.1235
  636.0000,  0.145
  637.0000,  0.158
  638.0000, 0.1825
  639.0000,  0.191
  640.0000, 0.2095
  641.0000,  0.227
  642.0000,  0.248
  643.0000,  0.272
  644.0000, 0.3035
  645.0000,  0.352
  646.0000,  0.385
  647.0000,  0.422
  648.0000, 0.4525
  649.0000, 0.4845
  650.0000, 0.5135
  651.0000,  0.531
  652.0000,  0.507
  653.0000, 0.4835
  654.0000, 0.4595
  655.0000, 0.4095
  656.0000,  0.357
  657.0000,  0.324
  658.0000,  0.276
  659.0000,  0.228
  660.0000,  0.187
  661.0000,  0.149
  662.0000,  0.125
  663.0000, 0.1015
  664.0000,   0.08
  665.0000,  0.069
  666.0000,  0.056
  667.0000, 0.0435
  668.0000,  0.036
  669.0000,  0.029
  670.0000, 0.0285
  671.0000,  0.024
  672.0000, 0.0175
  673.0000,  0.011
  674.0000,  0.011
  675.0000,  0.004
  676.0000, 0.0065
  677.0000, 0.0055
  678.0000,  0.008
  679.0000, 0.0035
  680.0000, 0.0055
  681.0000,  0.003
  682.0000, 0.0065
  683.0000,  0.001
  684.0000,  0.004
  685.0000, 0.0035
  686.0000, 0.0015
  687.0000,-0.0005
  688.0000, -0.001
  689.0000,      0
  690.0000,      0
  691.0000,      0
  692.0000,-0.0005
  693.0000, 0.0025
  694.0000, 0.0025
  695.0000,  0.001
  696.0000, 0.0005
  697.0000, -0.001
  698.0000,      0
  699.0000,  0.001
  700.0000, 0.0025
  701.0000, -0.001
  702.0000,      0
  703.0000,  0.004
  704.0000, 0.0015
  705.0000, 0.0035
  706.0000,-0.0005
  707.0000,-0.0015
  708.0000,  0.001
  709.0000,-0.0035
  710.0000,      0
  711.0000,-0.0055
  712.0000, -0.004
  713.0000,      0
  714.0000,      0
  715.0000,-0.0005
  716.0000,  0.004
  717.0000, 0.0015
  718.0000,      0
  719.0000, 0.0005
  720.0000, -0.003
  721.0000,-0.0015
  722.0000, 0.0035
  723.0000,  0.001
  724.0000, 0.0035
  725.0000, 0.0035
  726.0000, 0.0005
  727.0000, 0.0005
  728.0000, 0.0025
  729.0000,-0.0005
  730.0000,      0
  731.0000,-0.0005
  732.0000,  0.001
  733.0000, 0.0005
  734.0000,-0.0025
  735.0000,-0.0005
  736.0000,-0.0015
  737.0000,      0
  738.0000,      0
  739.0000,  0.001
  740.0000,      0
  741.0000, 0.0005
  742.0000,      0
  743.0000,-0.0005
  744.0000,-0.0015
  745.0000,-0.0005
  746.0000,-0.0005
  747.0000, 0.0025
  748.0000,-0.0025
  749.0000,-0.0015
  750.0000,  0.003
