0_x	0_y
1.149720	1.906087
2.596683	2.103400
4.010760	1.478575
5.227524	2.399370
6.575831	3.155737
7.924137	3.418821
9.634184	4.175188
10.850948	4.010760
12.166369	3.846332
13.646218	3.385935
15.290494	3.912104
16.507258	3.780561
17.691136	4.175188
19.532726	4.043646
20.716604	4.043646
21.768941	4.142302
23.478988	4.076531
24.925951	4.240959
26.340028	3.879218
28.017190	3.944989
29.069526	4.471157
30.154749	3.846332
31.897681	3.912104
33.245988	3.977875
34.692950	3.649019
35.745287	3.484592
37.225135	3.484592
38.869411	3.057080
40.151947	3.353050
40.875428	3.320164
42.618361	3.122851
43.868010	3.418821
45.347859	3.385935
46.893478	6.411403
48.110243	3.977875
49.359892	3.254393
50.905512	3.681905
52.188047	4.208073
53.569239	4.668470
54.851774	5.589265
56.265851	5.622151
57.548387	6.707373
58.830922	8.877817
60.409427	11.870399
61.856390	16.277059
63.138925	18.513275
64.487231	23.018591
65.802652	28.313160
67.085187	36.041257
68.301951	42.684132
69.617372	49.294121
70.801251	57.548387
72.182442	63.665093
73.530749	72.116671
74.747513	79.154172
76.424674	85.073565
77.641438	91.946639
78.891088	98.885482
80.239394	104.278707
81.489044	111.414864
82.870236	116.643661
84.119885	122.497282
85.566848	130.093836
87.046696	133.777013
88.296346	139.696405
89.907736	146.174851
91.058730	150.713051
92.242608	157.125725
93.294945	163.439743
94.873449	167.879286
96.024443	174.291960
97.339863	180.079809
98.721055	184.256268
100.168018	190.734712
101.286125	196.127934
102.667317	201.258072
103.982737	206.651294
105.298158	212.373371
106.810892	217.043112
107.994770	223.718867
109.211534	227.928210
110.658497	232.893920
111.776605	239.471018
113.420880	243.417277
114.440331	248.317215
115.788637	255.157396
117.202714	258.873456
118.485249	264.200905
119.702014	269.758552
121.116091	273.836351
122.661710	279.657081
123.911359	285.181842
124.996581	290.213320
126.542200	294.619974
127.824735	300.901099
129.041499	304.946012
130.324034	310.273458
131.770997	315.633790
132.889104	319.448504
134.237410	325.137689
135.815915	330.333593
136.966908	333.885222
138.282328	338.489187
139.597749	343.520662
140.913169	346.973635
142.097047	350.985661
143.346697	355.622510
144.596346	359.502993
145.813110	364.402925
147.128531	368.809575
148.378180	373.150454
149.627829	378.149042
148.147981	374.663184
146.109080	368.283408
144.530575	362.528454
143.083613	356.970813
141.274910	351.248744
139.663520	345.033393
137.821931	339.442865
136.506511	334.312733
135.092434	328.459121
133.217959	322.671279
131.770997	316.719010
130.291149	311.654648
128.548217	305.965462
126.838170	300.243390
125.424093	294.784401
123.944245	288.996557
122.365740	282.912744
120.918778	276.861816
119.471815	271.534368
117.564455	265.549210
116.479233	259.991563
114.834957	253.874862
113.092025	247.462192
111.677948	241.575690
110.099443	236.478439
108.751137	230.197310
107.304175	223.817524
105.725670	217.700821
104.212936	211.518348
102.700202	205.664729
101.384782	199.021858
99.608964	192.609186
98.260658	186.919994
96.813695	180.737519
95.136534	173.831563
93.689571	168.504111
92.341265	161.729697
90.960073	155.876076
89.447339	150.285539
88.033262	142.754758
86.454757	136.901137
85.040680	131.442142
83.462175	123.286534
82.113869	117.926196
80.699792	111.151780
79.318600	103.423684
77.740095	97.504291
76.391789	89.973508
75.010597	81.686357
73.399207	75.865620
71.853587	67.019416
70.505281	60.047686
69.288517	53.536353
67.677126	43.802239
66.526133	36.698967
64.914743	31.568826
63.566437	24.860180
61.955046	19.499840
60.672511	16.079746
59.357090	13.810645
58.074555	12.396568
