0_x,0_y
0.492009,3.122851
1.708774,3.747676
3.254393,5.030211
4.832898,4.306730
6.148319,4.240959
7.529511,4.569814
9.009359,3.649019
10.489208,3.155737
11.607315,4.109417
13.120049,2.333599
14.632783,2.892652
16.112632,3.451706
17.263625,2.136285
18.907901,2.498026
20.091779,2.563797
21.637399,1.314147
23.084362,2.103400
24.498439,2.202056
25.879631,1.544346
27.326594,2.662454
28.740671,3.912104
29.957436,3.188622
31.009772,3.879218
32.489621,4.076531
34.068126,3.944989
35.186233,4.109417
36.501654,3.977875
37.915731,4.175188
39.625778,4.306730
40.974085,4.109417
42.223734,4.405386
43.440499,4.668470
44.920347,4.438272
46.433081,4.405386
47.781387,4.339615
48.899495,4.964440
50.741084,4.635585
51.859192,4.997326
53.108841,5.030211
54.555804,5.556380
55.673912,5.852349
57.153760,7.003342
58.436296,9.009359
59.587289,10.423437
60.968481,12.922736
62.218130,16.408601
63.862406,25.846746
65.243598,26.405799
66.789217,32.654048
67.874440,39.000954
68.926776,47.057906
70.505281,53.075956
71.689160,60.968481
73.333436,67.611355
74.451543,75.010597
75.865620,82.705808
77.378354,89.052713
78.397805,95.136534
79.943425,102.404233
81.094418,108.060541
82.705808,114.308789
83.856801,120.885892
85.270879,126.246231
86.388986,131.869653
87.507094,138.249443
89.085599,143.346697
90.466790,148.904348
91.716440,155.185480
93.163403,160.184078
94.117083,166.103469
95.695587,172.154402
96.978123,176.922800
98.556627,182.579107
99.641849,188.301185
100.694186,193.135354
102.206920,199.449370
103.620997,204.743935
105.232387,209.150592
106.186067,216.023661
107.534373,221.153799
109.375962,225.363142
110.395413,232.400638
111.677948,235.656301
112.894712,241.805888
114.275904,248.744726
115.591324,252.099046
116.610775,258.741914
117.991967,263.740508
119.307387,266.930400
120.820121,273.671924
121.971114,278.637632
123.385191,281.860409
124.700612,288.634817
126.081803,292.317990
127.462995,297.316582
128.745530,303.466166
129.732095,307.576850
131.244829,311.687533
132.626020,317.541147
133.908555,321.553174
135.125319,325.828284
136.605167,331.517469
138.019244,334.707359
139.071580,339.212667
140.650085,344.868966
141.636650,348.453480
142.919185,354.307091
144.234606,359.634535
145.550026,362.298256
146.898332,368.118981
147.819126,373.183339
149.331860,376.833624
148.180867,377.951729
146.832561,372.163891
144.859430,365.882770
143.609781,361.278807
141.669536,354.668831
140.123917,348.289053
138.413870,343.750860
137.229992,336.844914
135.223976,330.070509
133.809899,324.151125
132.231394,318.297513
130.817317,312.937181
129.205927,306.919140
127.298567,301.328610
125.884490,294.915943
124.305985,289.752923
122.859023,284.030850
121.510717,277.947036
119.340273,271.731681
118.090623,266.075378
116.512119,259.827135
115.130927,254.335259
113.782621,248.185673
112.302773,242.036087
110.625612,236.182469
109.310191,230.295966
107.698801,224.277921
105.922983,218.753157
104.837761,212.176058
103.029057,206.717065
101.779408,200.238622
100.069361,194.023262
98.655284,188.366956
97.274092,182.447565
95.728473,175.804693
94.314396,169.720875
92.966090,163.867255
91.321814,158.539802
90.039279,151.206334
88.395003,144.892316
87.013811,139.137351
85.402421,132.626020
83.955458,126.377773
82.475610,119.142960
81.258845,111.973918
79.713226,106.251838
78.134721,99.214338
76.819300,90.861416
75.240796,84.580283
73.958260,77.049499
