0_x,0_y
0.130269,3.353050
1.248376,2.432255
2.432255,3.254393
4.076531,2.761110
5.128868,2.267828
6.312746,2.596683
7.693938,1.938972
8.746275,2.004743
9.699955,2.826881
11.179803,1.643003
12.462339,2.958423
13.350248,3.714790
14.797211,3.681905
16.046860,4.142302
17.362281,4.405386
18.546160,4.273844
19.861581,4.306730
20.913917,4.142302
22.229338,4.175188
23.709187,4.734242
24.662867,4.504043
25.780974,4.734242
27.096395,4.767127
28.280274,4.602699
29.332611,4.536928
30.648031,4.997326
32.127880,5.063097
33.048674,5.490608
34.265439,5.852349
35.317775,5.589265
36.863395,5.819464
37.981502,5.918120
39.296923,4.240959
40.415031,4.536928
41.697566,4.635585
42.717017,4.800013
44.032438,5.063097
45.084775,5.161753
46.433081,5.523494
47.485418,6.542945
48.800838,6.049662
49.688747,8.022794
50.872626,8.220107
52.089390,9.502642
53.569239,10.686521
54.720232,9.305329
55.838340,11.015376
57.153760,12.528110
58.502067,13.416019
59.422861,14.501241
60.573854,17.428052
61.889275,18.710588
62.974497,20.683719
64.092605,24.202470
65.177827,27.260823
66.197278,30.976887
67.479813,35.284890
68.959662,56.364508
70.110655,46.235768
71.031449,50.576656
72.313985,56.200080
73.629405,62.514100
74.747513,68.367722
76.062934,76.062934
77.213927,82.574266
78.364920,87.638636
79.351485,93.722456
80.666906,100.858613
81.916556,106.317609
82.903121,112.697399
84.054114,118.583906
85.237993,123.582504
86.487643,130.291149
87.868834,136.046113
88.888285,141.570879
90.137935,147.852012
91.025844,153.738518
92.275494,157.816321
93.689571,164.163224
95.004992,168.372569
95.794244,172.976540
97.109665,178.665732
98.293543,182.546222
99.411651,188.136757
100.463987,194.352117
101.779408,197.311812
102.765973,203.494286
104.048508,208.164027
105.133730,211.518348
106.482037,216.944455
107.665915,222.074592
108.948450,225.593340
109.935016,231.578500
111.217551,235.557645
112.467200,240.030072
113.651079,245.752147
114.834957,249.895718
116.018836,253.677550
117.071172,259.629823
118.024852,263.937821
119.307387,268.081392
120.392609,273.474611
121.543602,277.782609
122.628824,281.991950
123.878474,287.253627
125.029467,291.594510
126.180460,295.803851
127.298567,300.933984
127.824735,304.025219
126.180460,299.552795
124.930810,293.238784
123.253649,286.727459
121.905343,281.005386
120.261067,275.414854
119.077189,269.857208
117.432913,264.431103
116.281920,258.511716
114.670530,253.052725
113.420880,247.955475
112.039689,241.871659
110.658497,236.642866
109.014221,231.216760
107.600144,225.428913
106.317609,219.937035
105.002188,214.214959
103.851195,208.953279
102.108263,203.658714
100.957270,197.837980
99.411651,192.181674
98.162001,185.440146
96.945237,181.099260
95.761358,175.410067
94.018426,169.490676
92.768776,163.768598
91.552012,158.046520
90.302363,151.962700
88.921171,145.681568
87.539979,140.189688
86.224559,133.185074
84.909138,126.509315
83.231976,120.129525
82.475610,113.289338
80.666906,106.679350
79.548798,100.463987
78.266263,92.571463
76.753529,85.566848
75.602536,79.088401
74.517314,71.557618
73.070351,64.684544
71.886473,58.206097
70.768365,51.333023
69.091204,46.202882
67.841554,41.105627
66.624790,41.368711
65.342255,31.733254
64.026834,28.115846
62.777184,24.465554
61.593305,35.778173
59.981915,20.453520
59.028235,17.658251
57.910127,16.901884
56.265851,15.126066
54.884660,14.271042
53.733666,13.416019
52.648444,10.850948
51.300138,11.640201
49.853175,9.601299
48.800838,8.022794
47.584074,7.891251
46.334424,7.134885
45.084775,6.181204
43.440499,6.575831
42.486819,5.457723
41.138512,4.405386
39.987519,5.095982
38.507671,3.944989
37.619762,4.076531
35.942600,6.082548
34.923149,3.616134
33.805041,3.418821
32.522506,4.635585
31.272856,3.385935
30.023207,3.681905
28.510473,4.865784
27.491022,2.991309
26.307143,4.372501
25.057493,4.240959
23.774958,3.320164
22.327995,4.865784
21.505857,4.339615
19.993123,3.649019
18.776359,4.997326
17.658251,4.536928
16.540143,4.734242
15.126066,4.800013
13.810645,3.912104
12.363682,3.550363
11.311346,4.800013
9.995925,3.451706
8.812046,3.550363
7.529511,4.010760
6.345632,3.221508
5.095982,3.057080
4.010760,2.761110
2.563797,2.234942
1.478575,1.807430
0.196040,2.958423
-1.152267,1.906087
-2.303260,2.399370
-3.552910,3.353050
-4.835445,3.320164
-6.216637,4.043646
-7.334744,4.273844
-8.551509,4.175188
-9.669616,4.076531
-10.952152,4.438272
-12.497771,4.142302
-13.714535,4.372501
-14.602444,4.504043
-16.082293,4.273844
-17.364828,4.504043
-18.548707,4.602699
-19.732585,4.208073
-21.080892,4.602699
-22.560740,4.734242
-23.613077,4.076531
-24.829841,4.405386
-26.178147,4.240959
-27.493568,4.273844
-28.841874,3.879218
-29.729783,3.944989
-31.242517,4.109417
-32.393510,3.846332
-33.577389,3.944989
-34.925695,3.879218
-36.339772,3.714790
-37.457880,3.714790
-38.740415,3.385935
-40.022951,3.320164
-41.272600,3.155737
-42.522250,2.859767
-43.541701,3.517477
-44.955778,3.451706
-46.008115,3.353050
-47.356421,2.695339
-48.770498,3.057080
-49.888606,2.991309
-50.710744,2.695339
-52.519447,2.629568
-53.703326,1.675888
-54.985861,1.708774
-55.807999,0.327582
-57.452275,-2.007290
-58.504612,-3.651566
-59.984460,-6.677034
-61.168338,-10.623296
-62.483759,-14.503788
-63.536096,-24.402329
-65.114600,-24.402329
-66.035395,-29.006302
-67.219274,-34.728382
-68.567580,-40.417577
-69.619916,-45.317519
-70.968222,-51.335569
-72.217872,-56.071083
-73.303094,-60.214658
-74.454087,-66.199823
-75.703737,-70.672253
-77.380898,-75.440653
-78.235921,-80.702335
-79.452685,-84.122428
-80.866763,-89.318340
-81.951985,-94.711564
-83.135863,-99.085337
-84.418398,-103.524881
-85.964017,-108.983876
-86.950583,-113.028794
-88.167347,-119.375698
-89.548538,-124.604494
-90.370676,-128.517869
-91.850524,-134.930543
-93.001517,-139.896255
-94.382709,-144.960623
-95.566587,-151.800808
-96.882008,-155.451099
-97.967230,-160.942977
-99.052452,-167.618734
-100.565185,-172.091162
-101.584636,-177.681697
-102.735629,-183.897056
-104.083935,-187.711774
-105.300699,-193.861362
-106.353035,-199.386125
