0_x,0_y
1.149720,2.859767
2.662454,4.208073
3.813447,2.925538
5.095982,3.353050
6.082548,3.977875
7.595282,3.122851
9.009359,3.879218
10.061696,3.944989
11.146918,3.089966
12.330797,3.846332
13.744874,3.780561
14.862982,3.353050
16.046860,4.602699
17.460938,3.649019
18.546160,3.550363
19.960237,4.306730
21.177002,3.813447
22.262224,3.846332
23.380331,4.043646
24.564210,3.122851
25.748089,4.306730
27.162166,4.010760
28.411816,3.122851
29.595695,4.175188
30.417833,3.944989
32.029223,3.320164
33.213102,4.306730
34.396981,4.997326
35.646630,3.846332
36.764738,4.569814
37.981502,3.912104
39.132496,3.418821
40.250603,4.635585
41.697566,3.977875
42.881445,3.649019
43.933782,5.063097
45.249202,3.221508
46.400195,4.339615
47.551189,4.569814
48.603525,3.550363
49.820290,4.471157
51.135710,5.063097
52.122276,3.879218
53.371926,5.523494
54.522919,5.720807
55.936996,5.786578
56.956447,7.661053
58.107440,9.371100
59.357090,10.357665
60.705396,13.942187
61.790619,17.066312
62.974497,20.848146
64.059719,26.701769
65.177827,31.305742
66.559019,36.435883
67.775783,43.670697
68.696577,49.787404
69.847571,55.443713
70.932793,63.369123
72.346870,68.992547
73.662291,74.714627
74.813284,81.291731
75.832735,85.928589
77.115270,91.256043
78.299149,96.583496
79.285714,101.943835
80.864219,107.205518
81.686357,112.401429
82.672923,117.761768
84.021229,123.253649
85.303764,127.857621
86.257444,133.481043
87.835949,138.117901
88.855400,142.952071
90.105050,147.884897
91.256043,152.949266
92.308379,158.178062
93.229174,162.913575
94.709022,168.372569
96.057328,172.910769
97.208321,177.843595
98.260658,182.809306
99.280109,187.709246
100.463987,193.102468
101.582095,198.298377
102.733088,202.705034
104.081394,208.262684
105.199502,213.195508
106.284724,217.996791
107.567259,222.534989
108.488053,227.237615
109.967901,229.967111
111.020238,236.412668
112.171231,240.950865
113.256453,246.804483
114.834957,251.244023
115.821523,254.762771
116.577890,259.892906
118.287936,264.168019
119.307387,268.640445
120.458380,273.178642
121.543602,276.828930
122.661710,281.959065
123.812703,286.168406
125.029467,289.621381
126.246231,294.488432
127.101254,298.796429
127.890506,302.117861
126.213345,297.612552
124.503298,292.022021
123.154992,285.642239
121.576488,281.630210
120.063754,275.086000
118.945647,269.528353
117.202714,264.858615
116.216149,258.840571
114.473217,253.118496
113.256453,247.922589
111.677948,242.003201
110.132329,236.741523
108.981336,231.052332
107.665915,225.132943
106.021639,219.871264
105.133730,214.182073
103.456569,208.164027
102.174034,203.165431
100.858613,197.213156
99.444536,190.668941
98.030459,185.966314
96.813695,180.704633
95.531160,173.272509
93.919770,169.918188
92.703005,163.176659
91.354699,157.125725
89.940622,152.751953
88.690972,146.240622
