0_x,0_y
0.820865,2.695339
2.925538,3.714790
4.734242,4.240959
6.871800,3.912104
8.647618,4.339615
10.686521,4.306730
12.758308,4.438272
14.336813,4.142302
16.704571,4.569814
18.644817,4.273844
20.552177,4.602699
22.360880,4.208073
24.465554,4.240959
26.405799,4.339615
28.181617,4.602699
30.319176,4.273844
31.996338,4.142302
34.035240,4.076531
36.008371,4.010760
37.619762,4.142302
39.790206,4.076531
41.631795,4.208073
43.835125,3.977875
45.545172,4.208073
47.584074,4.010760
49.359892,4.076531
51.431680,4.273844
53.273269,4.635585
54.917545,5.819464
57.120875,7.101999
58.995349,11.475773
61.067137,13.580446
62.875841,19.598497
64.848972,26.964853
66.394591,35.252004
68.532150,45.808256
70.307968,55.673912
72.248213,65.079170
73.925375,75.997163
75.964277,85.336650
77.772981,93.853998
79.844768,102.996172
81.653472,110.757154
83.626603,119.340273
85.303764,128.252247
87.375552,135.980342
89.118484,143.774208
91.025844,152.192899
93.031861,157.914978
94.807678,165.807499
96.484840,174.390617
98.885482,181.099260
100.365331,189.583719
102.075378,197.377583
104.114280,204.842592
105.988754,214.313615
107.797457,221.548424
109.671932,229.177859
111.579291,237.530774
113.585308,244.042101
115.492668,251.112482
117.202714,259.498281
119.340273,265.746523
121.017434,273.507497
122.727481,281.235584
124.667726,287.911336
126.509315,294.915943
128.318018,302.380945
130.455576,307.971475
131.770997,315.074737
134.270296,322.013570
135.684373,327.735641
137.887702,335.463725
139.597749,341.777733
141.505108,347.861542
143.313811,355.688280
145.155400,361.311693
146.931217,367.625699
148.575493,375.320893
150.713051,380.253710
152.521754,386.863684
154.527770,393.901167
156.369359,399.853431
158.013634,406.266091
159.920994,412.317010
161.565269,418.959866
163.735712,425.504065
165.873270,432.738858
167.221576,438.493806
169.227592,444.446066
171.102066,451.779513
173.075196,457.534459
174.785243,463.979998
176.528174,470.984589
178.534190,476.575106
180.375778,483.020644
182.052939,489.499066
183.960298,495.155352
185.834772,501.370690
187.676360,508.013537
189.419292,512.880573
191.359537,518.668399
193.266896,524.258912
194.976942,530.441361
196.851415,536.656695
198.693003,542.345862
200.567477,548.462538
202.606378,554.447673
204.053340,560.268380
205.829157,566.154856
207.736516,572.172874
209.643875,577.894923
208.657310,579.243222
206.256668,571.811135
203.987569,564.148850
201.751355,556.650991
199.317828,549.251787
197.048728,541.227760
194.976942,534.025866
192.576300,526.725315
190.537399,519.194565
188.202528,511.630929
185.801887,504.692114
183.598558,496.766736
181.362344,489.827920
179.224786,482.527363
177.120113,475.588544
174.818128,468.386642
172.647685,461.283395
170.707440,454.278804
168.602767,446.780930
166.498095,440.335389
164.294766,433.133483
162.157208,424.912128
159.888108,419.025637
157.684779,411.297561
155.777420,403.470829
153.508319,396.827971
151.041906,388.540841
149.233203,380.746992
147.292958,374.367215
145.254056,366.376052
143.149384,359.075482
140.946055,352.399735
138.972924,343.652204
137.065564,336.548945
134.730693,329.347029
132.757562,320.961235
130.685775,314.219715
128.712644,306.458744
126.476429,298.993742
124.305985,292.153563
122.694595,284.557018
120.359724,275.414854
117.926196,268.311590
116.249035,260.221761
114.341675,251.539993
112.171231,245.061552
110.066558,236.215355
108.356511,227.862439
106.317609,220.726287
104.147165,210.860638
102.042492,203.066775
100.102247,195.864850
98.129116,186.393826
95.991557,177.712053
93.886884,170.214157
91.847982,160.216963
89.973508,152.982151
88.066148,144.958087
86.191673,134.960891
84.251428,127.857621
82.278296,119.274502
79.976310,109.178649
78.299149,102.601546
76.260247,91.650669
74.352887,82.344067
72.248213,73.399207
70.143540,61.790619
68.301951,51.365909
66.263049,42.947216
64.289918,30.615146
62.415443,23.215904
60.343656,17.164968
58.370525,11.837514
56.430279,9.371100
54.490033,6.608716
52.516902,4.767127
50.412229,5.063097
48.537754,4.964440
46.531738,3.681905
44.459950,3.517477
42.815674,3.550363
40.711001,2.728225
38.803640,2.728225
36.534540,2.662454
34.890264,2.333599
32.818476,2.366484
30.713802,2.596683
28.872213,1.741659
27.030624,3.747676
25.057493,4.043646
22.952820,3.977875
20.946803,4.306730
19.072328,4.504043
16.836113,4.734242
15.126066,4.339615
13.087164,4.208073
11.311346,4.504043
9.075130,4.306730
7.430854,4.668470
5.128868,4.536928
3.484592,4.635585
1.379918,4.504043
-0.560327,4.536928
-2.566344,4.306730
-4.243505,4.438272
-6.413950,4.240959
-8.584394,4.471157
-10.425983,4.273844
-12.399114,4.273844
-14.043390,3.977875
-16.345377,3.780561
-18.417165,3.912104
-20.127212,3.649019
-22.297656,3.879218
-24.336558,3.747676
-26.276804,3.780561
-27.953965,3.353050
-29.927096,3.550363
-32.163312,4.800013
-34.235099,3.254393
-36.241116,2.498026
-38.214247,3.057080
-40.318920,2.695339
-42.292051,2.498026
-44.330953,3.024194
-46.304085,2.826881
-48.178559,2.826881
-49.987263,3.418821
-51.993279,2.728225
-54.163723,2.728225
-55.775114,0.459124
-58.011329,-1.645549
-59.885803,0.097383
-62.187789,-1.448236
-63.864951,-5.493155
-66.232708,-10.162899
-67.811213,-17.035973
-69.685687,-25.882177
-71.889017,-36.043803
-73.664835,-47.323536
-75.473538,-59.195207
-77.709753,-69.258176
-79.814426,-79.058059
-81.491587,-89.482767
-83.727802,-94.514251
-85.700933,-107.635570
-86.950583,-116.547544
-89.318340,-124.999120
-91.423013,-133.878207
-93.264601,-142.724408
-95.467931,-150.288074
-97.309519,-159.200046
-99.085337,-166.237543
-100.861155,-174.097178
-103.064484,-183.403774
-104.741645,-190.441270
-106.846318,-198.794186
-108.655021,-207.443070
-110.759694,-214.184596
-112.798596,-222.866365
-114.705955,-231.153508
-116.711971,-237.040009
-118.553560,-246.346601
