0_x,0_y
0.031612,3.944989
1.544346,3.747676
2.958423,3.287279
4.602699,3.583248
5.885235,3.813447
7.266427,3.977875
8.680504,4.931555
10.324780,5.457723
11.804628,6.444289
13.317362,8.614733
14.731440,9.765726
16.408601,11.541544
17.789793,14.632783
19.236756,15.619349
20.519291,18.644817
22.229338,22.163567
23.676301,23.248789
25.156150,27.293708
26.603112,30.549375
28.082961,32.884247
29.595695,37.488220
30.944001,40.678115
32.719819,43.440499
34.101011,49.590091
35.613745,52.286703
36.830509,56.167195
38.507671,61.198679
39.790206,63.763750
41.434482,67.973096
43.308957,72.215328
44.427064,73.530749
45.676714,78.266263
47.255219,80.601135
48.669296,81.883670
49.951832,85.731276
51.267252,86.980925
52.812872,88.658087
54.259835,91.782211
55.871225,93.886884
57.120875,95.037877
58.600723,98.194887
60.080572,99.872048
61.593305,102.075378
62.842955,106.021639
64.717430,107.567259
65.769766,111.316207
67.216729,115.624210
68.893891,118.090623
70.307968,122.201313
71.623389,127.561651
72.873038,130.620004
74.550200,136.374968
76.030048,140.978940
77.115270,144.958087
78.891088,150.976135
80.042081,155.810305
81.620586,159.657910
83.034663,164.656507
84.448741,169.096050
86.125902,171.299379
87.211124,174.719472
88.756743,176.692602
90.203706,178.501305
91.617783,181.559657
92.966090,183.335474
94.544594,185.407261
95.498274,187.643475
96.978123,192.115903
98.523742,196.423904
99.904933,201.882897
101.450553,206.486867
102.765973,211.353921
104.311593,217.240425
105.791441,222.271905
107.501488,228.224180
108.685366,233.354317
110.165214,239.010621
111.217551,245.061552
112.697399,250.323230
114.275904,255.453366
115.591324,260.813700
117.169829,264.792844
118.518135,268.804873
119.767785,271.304169
121.280518,274.230977
122.497282,275.513511
124.075787,277.092014
125.391207,280.084593
127.134140,282.485233
128.383789,286.924772
129.929408,290.805258
131.014630,296.198476
132.461593,301.262839
133.908555,307.313766
135.421289,312.970067
136.736709,318.856565
138.348099,324.545751
139.827947,330.300707
141.110482,335.792579
142.425903,341.152909
143.971522,346.579010
145.352713,351.182973
146.503706,357.036584
148.016439,361.541891
149.726486,365.389488
151.041906,371.045785
152.258670,375.320893
153.639861,379.891970
155.284137,385.219412
156.599557,389.362977
157.980749,394.690418
159.329054,400.609796
160.710246,404.490277
162.025666,410.376769
163.669941,415.737094
165.116904,419.321606
164.557850,423.070544
162.749147,416.493459
161.006215,409.357321
159.427711,404.029881
157.421695,397.091055
155.777420,389.954915
154.166030,385.975777
152.291556,378.214812
150.351311,372.525630
148.871463,368.086095
147.391615,361.541891
145.451370,356.937928
143.971522,350.821233
142.129933,343.520662
140.617199,338.949583
138.841382,332.208064
137.361534,323.888042
135.717258,318.725024
134.204525,311.654648
132.428707,304.255417
130.718660,298.500459
129.304583,292.153563
127.298567,286.563032
125.950261,283.044286
124.273100,279.196685
122.826137,276.664503
120.951663,274.822916
119.373158,271.567253
118.057738,268.476018
116.281920,265.121699
114.736301,258.314403
113.322224,253.611779
111.546406,247.495078
110.198100,240.983751
108.718252,234.472424
106.876663,228.322836
105.363929,221.877279
103.818310,216.352516
102.206920,210.104272
100.792842,204.480851
99.181452,199.975538
97.635833,195.075598
95.892901,190.964911
94.610365,188.893124
92.834547,187.577704
91.157386,184.815321
89.743309,184.289153
88.263461,181.954283
86.849383,179.981152
85.172222,177.383198
83.988343,173.535593
82.344067,167.616202
80.601135,164.097453
79.022630,158.309604
77.674324,152.587525
76.194476,147.556042
74.517314,142.064162
73.004580,136.802480
