0_x,0_y
1.577232,2.070514
3.944989,2.859767
6.115433,2.103400
8.384534,2.366484
10.489208,3.188622
12.593881,0.952407
15.027409,2.596683
17.460938,3.024194
19.664268,1.643003
22.327995,3.188622
24.531325,2.004743
26.372914,1.873201
28.905099,3.122851
31.207085,4.372501
33.509072,5.030211
35.778173,7.693938
37.981502,4.635585
40.513687,6.082548
42.519704,8.154336
44.755920,9.108016
47.090791,11.705972
49.425663,15.158951
51.859192,19.039443
54.062522,26.307143
56.068538,33.805041
58.534952,41.664681
60.804053,53.996750
62.777184,64.684544
65.276484,75.142139
67.808668,87.803063
69.880456,98.918368
72.313985,109.014221
74.451543,120.918778
76.654873,130.126721
78.858203,140.025260
81.291731,150.976135
83.363519,159.822337
85.468192,168.405454
88.197690,178.040908
90.006393,186.262284
92.341265,195.601766
94.709022,204.349309
96.879466,213.096852
98.852597,220.989371
101.713637,229.999997
103.620997,237.596545
106.054525,246.640055
108.093427,255.256053
110.230985,262.162005
112.565857,270.679345
114.867843,278.834944
117.235600,286.727459
119.142960,294.751515
121.543602,303.038655
123.483848,310.733855
125.950261,318.165971
128.219361,325.861170
130.389805,333.622139
132.658906,341.284451
134.895120,348.749450
137.164221,356.082906
139.531978,363.810987
141.373566,371.045785
143.642666,378.280583
145.878881,385.482495
148.049325,393.144802
150.449967,400.609796
152.192899,408.502300
154.560656,415.802865
156.763985,422.741690
158.868657,430.371108
161.302185,437.408587
163.571285,444.610493
165.939041,452.141252
168.010828,459.376042
170.247043,466.018893
172.285944,473.483879
174.522159,480.291156
176.791258,488.315192
178.994587,495.254009
181.099260,501.666659
183.565672,508.638359
185.703230,515.840257
187.807902,523.206580
190.077002,529.586342
192.083018,537.084205
194.516545,544.549181
196.752759,550.797399
199.120515,558.525456
201.159416,565.398493
203.165431,571.975562
205.500302,579.769387
207.670745,586.839733
209.742531,593.252372
212.077401,600.684455
214.116302,607.623258
216.484058,614.233206
218.720272,621.994139
220.923600,627.485984
223.324241,634.622094
225.363142,642.415909
227.632241,647.841982
229.999997,655.109630
232.071783,661.982653
234.406653,667.967773
236.445553,675.268303
238.484454,681.253421
240.786438,687.600276
242.858224,695.295426
245.324636,701.773820
247.363536,707.134115
249.632635,714.533293
251.605764,721.176110
253.874862,727.753156
256.045305,734.691938
258.314403,741.104555
260.484845,747.451401
262.655287,755.047883
264.858615,761.098760
266.930400,767.281176
269.100842,774.844770
271.106856,779.777547
271.863222,785.795534
268.870644,778.725221
266.009607,769.155632
263.312997,761.230301
260.451960,752.778804
257.722464,743.472290
254.927198,735.908691
252.592328,728.016238
249.862833,718.841259
247.067566,711.836704
244.634040,703.253656
241.608575,694.769262
239.306591,688.060670
236.675752,679.970896
234.538195,671.552268
231.446958,664.383278
229.276516,656.753894
226.481249,648.532573
224.146379,641.001842
221.449768,633.471109
218.654501,625.611522
216.385402,618.113672
213.886104,610.089656
211.288150,602.131409
208.953279,594.995295
206.289554,586.214912
203.395630,578.092235
201.093645,571.120543
198.890316,562.899207
195.996392,554.776526
193.891720,546.752500
191.359537,538.827129
188.728696,530.737329
186.328055,523.140809
183.861642,515.412747
181.428115,507.125632
178.994587,499.463338
176.593945,491.603731
174.061761,484.171632
171.924204,475.785857
169.490676,468.518184
166.761179,460.395489
164.327652,452.963387
161.861239,444.676264
159.592138,437.046847
157.487466,428.957035
154.889511,421.524929
152.225785,413.204916
150.153997,405.115100
147.424500,397.058169
145.286942,389.198550
142.590330,380.878533
140.321230,372.690058
137.953473,364.797550
135.454174,356.641959
133.546814,348.585022
130.948859,337.403967
128.449560,332.438262
126.180460,324.611522
123.911359,316.159957
121.313404,307.938590
119.142960,299.355482
116.643661,291.232770
114.506102,283.274484
111.941032,273.869237
109.770588,265.779408
107.369946,257.163411
105.035074,248.021246
102.535775,239.799873
99.937819,231.150989
98.063345,221.548424
95.629816,213.392821
93.064746,203.954683
90.762760,194.976942
88.625201,186.064971
85.895703,176.002006
83.955458,166.958492
81.521930,158.210947
79.285714,147.720470
77.115270,137.525961
74.287116,127.923392
72.182442,116.446348
69.847571,105.857212
67.775783,94.774793
64.980514,82.870236
62.810070,71.031449
60.738282,59.028235
58.173211,47.781387
56.200080,38.441900
53.635010,29.233954
51.234367,21.242773
49.162579,16.934770
46.794822,13.383133
44.558606,9.864383
42.453933,9.403985
40.020405,6.806029
37.652647,5.128868
35.252004,5.622151
32.851361,3.320164
30.516489,2.925538
28.214503,3.583248
25.912517,1.840316
23.281675,2.958423
21.308544,3.155737
19.006557,1.708774
16.507258,3.155737
14.435470,2.728225
12.034827,1.807430
9.765726,3.649019
7.397969,3.385935
4.898669,2.728225
2.662454,3.385935
0.360467,3.057080
-2.040176,3.057080
-4.111963,3.385935
-6.611263,2.465141
-9.209219,2.465141
-11.281007,3.287279
-13.780306,2.300713
-16.148064,2.761110
-18.022538,2.728225
-20.686265,1.873201
-22.790939,2.136285
-25.421780,2.991309
-27.394911,1.873201
-29.861325,2.070514
-32.426396,2.267828
-34.695497,1.577232
-36.898826,2.004743
-38.970614,1.643003
-41.732998,1.379918
-43.870556,1.051063
-46.106771,0.524895
-48.441643,-1.612664
-50.908057,-4.999872
-52.946959,-10.261556
-55.380487,-18.285622
-57.846901,-28.743218
-59.918689,-39.496782
-62.713958,-51.499996
-64.522661,-63.207241
-67.087731,-74.223888
-69.521260,-85.207650
-71.428620,-95.040419
-73.796377,-105.267813
-76.164134,-114.903268
-78.630547,-124.670265
-80.866763,-134.174177
-83.398947,-143.612317
-85.569391,-152.294090
-87.772721,-161.699344
-90.206249,-171.269025
-92.738433,-179.556171
-94.711564,-188.862766
-97.112206,-197.972049
-99.479963,-206.456506
-101.518865,-212.803405
-103.623538,-223.885815
-106.122837,-232.534698
-108.391937,-241.117809
-110.759694,-249.635149
-113.127451,-258.349800
-115.363665,-266.340971
-117.534109,-275.154278
-119.934751,-282.487737
-122.039424,-290.610448
-124.407181,-299.127783
-126.544739,-306.691439
-129.175579,-314.386637
-131.839305,-322.805313
-133.615123,-330.533395
-135.785566,-337.801079
-138.153323,-346.482837
-139.863369,-353.257238
-142.625752,-361.347056
-145.355249,-369.765728
-147.361264,-376.671669
-149.827677,-384.465516
-151.899464,-392.522445
-154.267220,-399.823009
-156.503435,-407.781280
-158.443679,-415.443581
-161.107405,-421.922007
-163.475161,-430.899724
-165.678490,-437.674117
-167.783162,-444.711592
-170.085147,-452.538316
-172.222704,-459.246936
-174.689117,-466.777690
-176.958216,-475.097692
-179.490400,-480.458009
-181.529301,-488.580696
-183.929942,-496.736268
-186.034614,-503.181800
-188.303713,-511.764879
-190.835896,-519.262741
-193.236537,-525.182104
-195.472751,-534.357116
-197.840507,-541.131497
-199.747865,-548.004533
-202.345819,-556.784917
-204.516262,-562.178111
-206.719590,-568.820946
-209.186001,-578.160377
-211.290673,-583.520683
-213.559772,-591.314501
-216.059069,-599.108318
-218.065084,-604.468622
-220.564381,-612.689946
-222.899250,-619.661627
-225.168349,-626.337340
-227.568990,-633.966724
-229.772317,-640.642435
-232.107187,-647.186603
-234.113201,-654.158279
-236.711154,-662.050741
-239.276222,-667.707004
-241.446664,-675.632348
-243.617106,-682.571134
-245.919089,-689.773000
-248.122417,-696.646013
-250.457286,-704.176729
-252.759269,-710.655117
-255.028367,-718.416027
-257.560549,-726.012509
-259.928303,-732.458008
-262.230287,-740.021602
-264.663812,-746.861721
-266.932909,-753.997805
-269.333549,-761.035232
-271.372448,-767.546495
-274.069057,-774.452379
-274.200599,-779.450923
-271.503990,-771.854452
-268.642954,-763.863357
-265.880574,-755.148786
-263.085309,-747.091917
-260.388700,-739.528325
-257.593434,-731.241256
-255.159909,-723.052841
-252.627727,-714.930195
-249.964003,-706.511580
-247.070081,-698.783553
-244.833868,-690.200508
-242.104374,-682.275167
-239.341993,-674.711561
-237.007124,-666.884873
-234.343400,-658.762215
-231.811217,-650.935523
-229.410577,-643.536338
-226.779738,-635.479447
-224.181784,-627.619866
-221.518060,-620.681071
-219.150305,-612.920143
-217.045634,-605.619608
-214.381909,-597.990218
-211.816841,-592.005093
-209.218887,-582.698550
-206.785361,-574.970501
-204.417605,-567.373992
-201.984079,-559.645940
-199.583438,-551.621920
-196.821056,-544.814655
-194.288873,-536.264466
-191.986888,-528.667951
-189.619133,-521.367403
-187.218492,-512.882982
-184.719194,-505.023380
-182.318552,-497.920141
-179.983682,-489.041092
-177.517270,-481.510341
-175.083743,-474.012474
-172.617330,-465.166306
-170.085147,-458.260374
-168.046246,-450.861161
-165.481177,-441.916333
-163.244963,-435.076170
-160.778550,-427.315214
-158.213481,-418.107300
-155.977267,-411.924842
-153.708167,-403.670603
-151.175983,-395.317706
-149.367280,-388.181569
-146.604898,-379.072305
-144.171370,-371.804625
-141.803614,-364.832913
-139.337201,-354.671312
-137.232529,-348.028453
-134.766116,-340.530571
-132.431245,-330.599166
-130.260801,-324.745555
-127.860159,-316.655733
-125.459517,-307.447805
-122.960218,-300.903598
-120.658233,-291.662783
-118.422018,-283.408531
-116.152918,-276.371040
-113.949588,-266.636940
-111.779145,-258.251144
-109.279846,-250.884797
-106.977860,-240.657412
-104.577218,-232.797782
-102.176575,-224.971036
-100.104788,-214.710764
-97.408176,-206.620933
-95.402160,-198.004934
-93.034403,-188.040629
-90.699531,-179.885026
-88.200232,-170.479773
-86.391529,-160.778550
-84.089543,-152.326976
-81.787557,-142.855950
-79.123830,-133.615123
-76.821844,-124.703150
-74.881599,-114.837497
-72.678269,-105.333585
-70.277627,-95.994099
-68.008526,-85.898246
-65.772311,-74.782942
-63.503210,-64.391119
-61.036796,-52.979845
-58.932123,-41.075287
-56.794565,-30.946547
-54.426807,-20.554723
-52.223478,-11.050808
-49.888606,-6.315293
-47.882589,-2.632115
-45.284633,0.294696
-43.212846,0.623552
-40.812203,1.577232
-38.543102,2.300713
-36.372658,1.708774
-34.169328,1.840316
-31.637143,2.234942
-29.269386,2.037629
-26.901629,2.234942
-24.961383,2.169171
-22.593625,2.037629
-20.587609,1.971858
-18.088309,2.103400
-15.950751,2.202056
-13.714535,2.300713
-11.478320,2.136285
-9.209219,2.267828
-6.775691,1.971858
-4.539475,2.267828
-2.336145,2.169171
-0.264358,2.234942
2.366484,2.695339
4.602699,2.596683
6.904686,2.300713
9.173787,2.399370
11.278460,2.761110
13.514675,2.530912
15.816662,2.958423
18.250190,2.991309
20.420635,5.194639
22.788392,2.859767
25.024608,2.859767
27.195052,3.024194
29.595695,3.484592
31.831910,3.287279
34.068126,4.536928
36.534540,5.556380
38.672098,6.246975
41.072741,7.628167
43.539155,8.877817
45.545172,10.456322
47.912929,13.909302
49.984717,17.132083
52.319589,21.571628
54.818888,29.003755
56.792020,36.435883
59.291319,46.400195
61.527534,57.910127
63.961063,68.893891
66.493248,80.338051
68.466379,92.143952
