Distance_(pixels),Gray_Value
0,49.0000
1,46.6463
2,47.6462
3,48.2848
4,49.1368
5,48.5726
6,48.7218
7,49.9039
8,49.6448
9,51.4452
10,54.0790
11,53.6160
12,51.3535
13,49.8637
14,49.4767
15,49.3408
16,48.8356
17,48.0848
18,48.5721
19,49.0000
20,48.6841
21,47.7886
22,48.0128
23,47.5271
24,47.0180
25,48.0018
26,47.5143
27,49.1169
28,48.1067
29,49.3181
30,53.8282
31,56.6085
32,56.1593
33,53.9137
34,50.2941
35,50.4615
36,50.6853
37,50.3280
38,49.8294
39,48.9698
40,47.8131
41,47.9588
42,48.0630
43,47.6581
44,48.5297
45,49.1099
46,48.8503
47,49.6661
48,48.7633
49,48.2462
50,49.4908
51,50.9940
52,50.3731
53,51.0227
54,52.4725
55,57.2362
56,57.9936
57,58.2980
58,53.2102
59,50.9856
60,49.7242
61,49.4967
62,49.2552
63,49.3212
64,49.0477
65,47.3673
66,48.2033
67,47.0629
68,48.0659
69,49.4342
70,49.1657
71,48.2025
72,48.3657
73,48.5819
74,49.6771
75,49.9917
76,50.2209
77,50.4802
78,51.6727
79,49.4000
80,48.4701
81,50.5172
82,54.9254
83,59.5209
84,59.0125
85,56.3983
86,53.4989
87,51.6876
88,50.3801
89,50.2372
90,50.9488
91,50.1200
92,49.8495
93,49.1021
94,49.4799
95,49.6923
96,50.0838
97,49.7340
98,49.3666
99,47.3626
100,47.9995
101,49.1399
102,48.0586
103,50.4158
104,49.9747
105,49.1302
106,49.8709
107,50.2483
108,49.4031
109,48.6332
110,48.4656
111,48.4114
112,50.9278
113,50.2980
114,51.2536
115,55.3861
116,58.1715
117,59.8000
118,60.2906
119,58.5356
120,54.8143
121,49.2141
122,51.4022
123,50.9055
124,49.3374
125,49.9477
126,48.9640
127,48.5785
128,49.0000
129,49.0363
130,48.7551
131,50.2762
132,48.5563
133,48.1796
134,50.0692
135,48.5218
136,47.5592
137,48.1919
138,48.8419
139,48.3109
140,47.2722
141,47.5291
142,49.8665
143,51.2294
144,47.5253
145,48.0220
146,47.9492
147,49.3105
148,48.5705
149,48.0000
150,48.4729
151,48.5232
152,49.1670
153,49.1528
154,49.1839
155,49.1524
156,51.3690
157,50.2754
158,51.1252
159,50.2860
160,53.1739
161,53.7725
162,54.7282
163,56.0717
164,57.8352
165,61.3029
166,61.7423
167,63.8005
168,63.6817
169,62.7396
170,59.5271
171,57.5363
172,56.7955
173,54.6637
174,53.2154
175,53.2899
176,50.8735
177,47.4870
178,50.2687
179,46.5421
180,48.5870
181,49.1471
182,48.2000
183,48.6374
184,50.1367
185,50.1037
186,49.3933
187,47.8212
188,48.6652
189,49.5863
190,48.8668
191,47.3736
192,48.0308
193,49.0555
194,48.7098
195,48.9796
196,49.7022
197,49.9053
198,49.1283
199,49.4988
200,48.3706
201,47.1513
202,47.5216
203,47.6566
204,48.6176
205,49.4289
206,49.8777
207,48.4909
208,48.4580
209,48.6279
210,49.0592
211,47.7512
212,48.8483
213,49.1599
214,49.2379
215,48.6371
216,48.6123
217,48.2028
218,48.4672
219,49.7582
220,48.3215
221,48.0841
222,47.5419
223,47.4087
224,49.8407
225,48.1286
226,48.4450
227,48.6390
228,49.0940
229,49.9846
230,49.8565
231,48.3782
232,48.3843
233,49.0939
234,48.4204
235,48.3608
236,50.0129
237,49.4523
238,49.8194
239,49.3635
240,48.7912
241,49.1008
242,50.3888
243,49.9188
244,49.8032
245,48.5444
246,50.1209
247,48.1118
248,48.1427
249,49.4913
250,49.6017
251,48.1792
252,48.4615
253,49.2615
254,48.2634
255,50.3247
256,48.3980
257,50.7605
258,50.0521
259,50.2975
260,49.6939
261,49.3978
262,49.2038
263,48.4626
264,48.2289
265,50.9973
266,52.5441
267,50.3847
268,49.9377
269,51.1341
270,50.0179
271,49.1630
272,49.4160
273,48.5600
274,48.5842
275,50.5708
276,49.9707
277,50.4348
278,50.0438
279,50.8986
280,50.2308
281,51.3921
282,51.4110
283,51.0340
284,52.1762
285,54.1871
286,56.5755
287,59.1385
288,60.1449
289,62.5324
290,64.0647
291,64.8707
292,63.6726
293,61.9919
294,59.3505
295,54.9115
296,52.9735
297,51.3091
