Distance_(pixels),Gray_Value
0,12.2564
1,12.1282
2,11.6923
3,12.4615
4,12.1026
5,12.6667
6,12.6154
7,12.4359
8,12.5641
9,12.2051
10,13.2821
11,13.3590
12,13.8974
13,15.9744
14,20.5385
15,25.3077
16,25.1538
17,20.6667
18,16.2308
19,13.7436
20,13.8974
21,13.4359
22,13.7436
23,12.8462
24,12.5385
25,12.5641
26,12.8205
27,13.2821
28,12.8462
29,13.9744
30,13.5385
31,14.1282
32,13.3846
33,13.9744
34,13.9744
35,14.5128
36,14.5897
37,14.1282
38,14.2821
39,14.4359
40,14.5128
41,13.8205
42,13.3333
43,14.2821
44,14.5128
45,14.3590
46,16.5897
47,20.3846
48,24.8974
49,28.2308
50,28.3846
51,24.6410
52,20.8462
53,17.6923
54,15.8205
55,15.5897
56,14.9744
57,15.1282
58,14.2051
59,15.5128
60,14.5897
61,15.6923
62,15.6667
63,15.5897
64,15.7436
65,15.7436
66,15.6154
67,15.8205
68,14.7436
69,15.8205
70,14.4359
71,15.1282
72,14.8462
73,14.9744
74,15.0513
75,13.7436
76,14.5897
77,13.8205
78,14.7436
79,14.8974
80,14.8205
81,14.8974
82,15.2051
83,16.1282
84,15.4359
85,16.7692
86,16.3846
87,16.7436
88,17.4872
89,17.5897
90,18.2821
91,18.9744
92,19.6410
93,21.1282
94,22.5897
95,24.7949
96,28.5385
97,30.9487
98,33.2051
99,33.6667
100,32.0513
101,30.5641
102,29.0513
103,26.1795
104,23.5641
105,20.8718
106,20.0000
107,17.6154
108,18.0256
109,17.6410
110,17.8205
111,17.6410
112,16.5897
113,17.4872
114,16.6154
115,16.5128
116,17.1538
117,17.6154
118,16.4615
119,16.1282
120,16.8205
121,15.9744
122,16.9231
123,16.7436
124,17.1795
125,17.1282
126,16.5385
127,17.3846
128,16.4359
129,16.6667
130,16.8974
131,17.3333
132,17.4615
133,17.4359
134,17.4103
135,16.6410
136,18.0513
137,17.6410
138,16.8462
139,17.0769
140,17.2308
141,17.8205
142,17.4103
143,17.7436
144,17.0513
145,18.0256
146,17.7179
147,17.3077
148,17.7949
149,17.2308
150,17.4615
151,17.6410
152,17.8462
153,18.1026
154,17.4872
155,18.0769
156,17.9231
157,17.8974
158,18.2051
159,18.7179
160,18.2564
161,16.4359
162,18.1538
163,17.4103
164,18.0513
165,18.2821
166,19.3077
167,18.1795
168,17.7179
169,18.5641
170,17.6923
171,17.8718
172,18.4615
173,18.3077
174,18.7436
175,17.0769
176,18.7436
177,18.2308
178,18.0769
179,18.3590
180,18.3846
181,17.9744
182,18.0000
183,18.4615
184,18.0000
185,18.2051
186,17.8205
187,18.5385
188,18.4615
189,18.5128
190,17.9487
191,18.1538
192,18.1795
193,18.2821
194,17.9487
195,17.6410
196,17.7692
197,18.6410
198,17.4103
199,18.8974
200,18.5385
201,18.1282
202,17.8462
203,18.0000
204,18.6410
205,18.1795
206,18.7179
207,19.1026
208,18.1795
209,18.0513
210,17.9487
211,19.2821
212,17.9744
213,18.0256
214,17.8974
215,18.9487
216,20.0256
217,18.8974
218,19.7436
219,19.6410
220,21.7436
221,23.1538
222,25.9231
223,29.4615
224,31.7179
225,36.4359
226,37.4615
227,38.5128
228,35.7436
229,33.4103
230,29.4359
231,25.8462
232,23.8462
233,21.5128
234,20.4872
235,20.0513
236,19.1026
237,19.7179
238,17.8205
239,18.6154
240,17.4359
241,18.3590
242,18.1282
243,18.2564
244,18.7179
245,18.5128
246,18.3333
247,17.8205
248,18.5641
249,19.1282
250,18.3333
251,17.8718
252,18.2564
253,18.3333
254,18.4615
255,19.1282
256,18.6154
257,18.2821
258,18.3077
259,17.7179
260,18.8974
261,19.0513
262,19.3846
263,19.2308
264,18.9487
265,19.4103
266,19.0000
267,19.6410
268,19.2308
269,20.2821
270,21.1026
271,21.5128
272,24.5897
273,27.7692
274,34.5897
275,39.4359
276,39.3846
277,35.5641
278,29.8205
279,26.4103
280,22.8974
281,23.1538
282,20.8974
283,21.2564
284,20.2308
285,19.8974
286,20.6667
287,20.1026
288,20.6410
289,20.2821
290,21.0256
291,20.4872
292,20.6923
293,20.3077
294,20.6667
295,20.0513
296,20.8974
297,20.6923
298,20.8974
299,20.6923
300,22.4615
301,21.9231
302,21.4359
303,21.1282
304,21.5128
305,23.1538
306,24.5128
307,30.0256
308,35.7436
309,39.6923
310,36.4615
311,31.5897
312,26.0513
313,23.6154
314,22.6410
315,22.7692
