Distance_(pixels),Gray_Value
0,0.2791
1,0.5814
2,2.2481
3,6.4186
4,11.1473
5,11.7442
6,8.5581
7,5.6822
8,7.5039
9,16.9302
10,27.4031
11,28.5736
12,19.7752
13,10.0000
14,6.5736
15,8.6667
16,14.7054
17,17.6047
18,14.4806
19,8.9612
20,4.4186
21,2.5659
22,1.5504
23,1.1628
24,0.8605
25,0.6202
26,0.6744
27,0.5581
28,0.7287
29,0.6667
30,0.7519
31,0.8217
32,1.0543
33,1.4496
34,3.4884
35,8.4109
36,14.7442
37,17.3178
38,14.0698
39,8.8837
40,5.8217
41,5.7054
42,11.0620
43,22.2868
44,33.8682
45,34.6744
46,26.1008
47,15.7984
48,9.1008
49,6.8527
50,7.7907
51,13.4109
52,20.5504
53,23.8682
54,20.5426
55,14.1860
56,9.2403
57,5.7984
58,4.1550
59,3.2403
60,2.6899
61,2.2248
62,2.0000
63,1.9767
64,1.7287
65,1.6744
66,1.5969
67,1.5891
68,1.5194
69,1.3798
70,1.4186
71,1.2481
72,1.4806
73,1.5194
74,1.6744
75,2.0698
76,2.7907
77,4.1860
78,7.2403
79,12.7364
80,19.3101
81,23.4574
82,24.0543
83,20.6899
84,17.2326
85,12.9690
86,10.3333
87,9.1783
88,9.1783
89,10.9457
90,15.0853
91,24.0310
92,36.2093
93,48.6744
94,55.7054
95,55.3721
96,50.4574
97,41.8295
98,33.9147
99,26.9070
100,21.1628
101,17.6124
102,15.6279
103,14.8605
104,15.0543
105,16.4806
106,18.9690
107,23.4884
108,27.7752
109,32.0388
110,35.1628
111,35.6667
112,34.9535
113,31.6124
114,28.7364
115,24.3721
116,21.0078
117,17.3488
118,14.1473
119,11.5891
120,9.4264
121,8.1395
122,7.0310
123,5.9845
124,5.3721
125,4.5349
126,4.2713
127,3.4806
128,3.5814
129,3.1783
130,2.8915
131,2.7364
132,2.6744
133,2.6047
134,2.3023
135,2.2326
136,2.1395
137,2.0853
138,2.0233
139,1.8760
140,2.0388
141,1.8915
142,2.0233
143,1.9457
144,1.8605
145,1.9147
146,1.7287
147,1.9767
148,1.8760
149,2.0465
150,1.8915
151,1.9922
152,1.9767
153,1.9147
154,2.0543
155,2.0078
156,2.1240
157,2.1938
158,2.0620
159,2.2636
160,2.2403
161,2.3411
162,2.3023
163,2.4729
164,2.5349
165,2.6357
166,2.7287
167,2.8527
168,2.8682
169,2.7364
170,3.0388
171,3.1783
172,3.4496
173,3.6822
174,3.8450
175,3.9690
176,4.1008
177,4.2791
178,4.4264
179,4.3953
180,4.5969
181,4.6434
182,5.1085
183,5.0775
184,5.2016
185,5.2713
186,5.3643
187,5.7287
188,5.8140
189,6.4109
190,6.4574
191,7.4574
192,8.1550
193,9.6357
194,11.1783
195,12.9690
196,15.8760
197,18.4419
198,21.8527
199,25.1008
200,28.2558
201,30.4109
202,31.0388
203,30.5581
204,27.5426
205,23.8605
206,19.7985
207,16.1783
208,14.2636
209,12.4341
210,11.9535
211,11.7907
212,13.7907
213,17.0000
214,22.0930
215,29.3721
216,37.5271
217,46.5271
218,51.6744
219,52.8682
220,47.4574
221,39.1938
222,30.4186
223,22.3178
224,17.9535
225,14.9070
226,14.7829
227,15.5814
228,18.0388
229,21.8217
230,25.8682
231,29.1473
232,28.5504
233,24.4651
234,18.4186
235,12.8605
236,8.7519
237,6.0930
238,4.7829
239,3.6279
240,3.2326
241,2.7752
242,2.3798
243,2.3256
244,2.1860
245,2.3643
246,2.2016
247,2.3876
248,2.3876
249,2.4729
250,2.5736
251,2.8140
252,3.3488
253,3.6589
254,4.2713
255,5.2248
256,7.2636
257,10.4806
258,15.3953
259,20.5814
260,22.6512
261,21.6434
262,17.2636
263,13.8760
264,13.0853
265,15.4264
266,22.9690
267,31.8140
268,38.7132
269,36.5891
270,28.2326
271,19.6357
272,14.0233
273,13.5039
274,15.3953
275,19.1628
276,20.3876
277,17.7364
278,12.7132
279,7.8837
280,5.1085
281,3.3798
282,2.8062
283,2.3101
284,2.1085
285,1.9457
286,1.9612
287,2.0698
288,1.9845
289,2.0930
290,2.6047
291,3.3101
292,4.8217
293,7.6667
294,12.4031
295,16.8760
296,18.5194
297,16.4651
298,13.7752
299,15.0078
300,20.4496
301,28.2093
302,31.0698
303,27.2713
304,19.3566
305,14.2558
306,14.1163
307,15.8837
308,16.7287
309,13.7054
310,9.2016
311,5.4109
312,3.5969
313,2.6512
