Distance_(pixels),Gray_Value
0,47
1,39
2,45
3,61
4,69
5,62
6,46
7,36
8,46
9,55
10,54
11,41
12,29
13,26
14,23
15,23
16,20
17,20
18,19
19,21
20,21
21,22
22,23
23,29
24,40
25,54
26,59
27,49
28,35
29,42
30,56
31,77
32,81
33,66
34,49
35,36
36,45
37,58
38,69
39,59
40,47
41,34
42,32
43,31
44,27
45,26
46,26
47,26
48,26
49,23
50,24
51,25
52,28
53,29
54,28
55,33
56,46
57,62
58,64
59,57
60,45
61,38
62,38
63,46
64,67
65,85
66,87
67,72
68,51
69,43
70,39
71,43
72,52
73,67
74,72
75,66
76,53
77,42
78,39
79,34
80,34
81,33
82,33
83,33
84,30
85,31
86,30
87,30
88,30
89,27
90,29
91,27
92,30
93,29
94,29
95,30
96,33
97,34
98,33
99,44
100,55
101,67
102,74
103,72
104,65
105,54
106,51
107,46
108,45
109,48
110,49
111,59
112,67
113,85
114,95
115,106
116,103
117,92
118,82
119,72
120,65
121,60
122,56
123,56
124,56
125,58
126,59
127,64
128,68
129,78
130,81
131,85
132,84
133,82
134,77
135,68
136,62
137,57
138,51
139,50
140,45
141,43
142,40
143,39
144,38
145,38
146,36
147,33
148,35
149,35
150,34
151,31
152,31
153,31
154,31
155,33
156,31
157,30
158,31
159,30
160,31
161,28
162,30
163,30
164,31
165,29
166,29
167,30
168,29
169,29
170,29
171,30
172,31
173,32
174,30
175,29
176,29
177,31
178,31
179,30
180,31
181,31
182,30
183,32
184,32
185,32
186,31
187,35
188,33
189,33
190,33
191,33
192,33
193,32
194,34
195,36
196,34
197,35
198,35
199,38
200,37
201,36
202,37
203,36
204,39
205,38
206,37
207,37
208,39
209,40
210,40
211,40
212,39
213,41
214,42
215,45
216,48
217,48
218,53
219,54
220,61
221,64
222,73
223,76
224,77
225,78
226,73
227,72
228,64
229,61
230,53
231,50
232,51
233,49
234,51
235,52
236,59
237,62
238,75
239,87
240,94
241,97
242,91
243,83
244,73
245,64
246,60
247,54
248,55
249,54
250,55
251,62
252,66
253,74
254,75
255,71
256,61
257,53
258,46
259,41
260,38
261,34
262,34
263,34
264,30
265,30
266,29
267,31
268,30
269,28
270,30
271,32
272,31
273,31
274,33
275,35
276,36
277,36
278,42
279,47
280,55
281,66
282,70
283,67
284,57
285,52
286,51
287,53
288,63
289,74
290,86
291,82
292,72
293,61
294,51
295,53
296,52
297,64
298,65
299,63
300,53
301,43
302,38
303,34
304,31
305,31
306,30
307,32
308,29
309,29
310,30
311,31
312,34
313,36
314,39
315,45
316,56
317,62
318,64
319,59
320,54
321,56
322,63
323,76
324,78
325,69
326,60
327,54
328,58
329,59
330,62
331,53
332,47
333,38
334,34
335,33
336,31
337,32
338,29
339,31
340,33
341,32
342,36
343,41
344,48
345,56
346,62
347,59
348,54
349,59
350,67
351,71
352,68
353,60
354,54
355,54
356,55
357,52
358,43
359,36
360,32
361,32
362,30
363,29
