Distance_(pixels),Gray_Value
0,26.1556
1,33.2889
2,38.3444
3,40.9000
4,41.1111
5,38.6556
6,34.8000
7,28.3778
8,22.2667
9,17.6556
10,13.0111
11,9.8444
12,7.4111
13,5.8111
14,4.7556
15,3.9778
16,4.1556
17,3.9444
18,4.2778
19,5.1556
20,6.8889
21,8.3111
22,11.0556
23,14.9444
24,19.2778
25,25.2889
26,30.1333
27,36.3222
28,40.6444
29,43.0889
30,44.4444
31,42.6667
32,40.4222
33,35.5556
34,32.0333
35,26.3778
36,22.0000
37,17.8111
38,14.5000
39,11.8778
40,9.1556
41,7.6556
42,6.2778
43,5.5778
44,4.8222
45,4.2222
46,4.4556
47,4.2778
48,5.1667
49,5.3000
50,5.7667
51,7.2444
52,8.6667
53,11.3556
54,13.1889
55,17.1111
56,20.5111
57,24.9222
58,29.7222
59,33.6556
60,38.6889
61,43.0778
62,46.8889
63,49.3000
64,50.2667
65,50.1000
66,47.7667
67,46.5444
68,43.0222
69,39.5556
70,35.3333
71,31.4333
72,27.8444
73,24.4222
74,21.5556
75,18.0556
76,15.4889
77,13.0556
78,11.9333
79,10.2111
80,8.5111
81,8.0222
82,6.8667
83,6.3333
84,5.8889
85,5.4222
86,5.0333
87,4.9778
88,5.2333
89,5.0111
90,5.1222
91,5.1111
92,5.7667
93,6.0222
94,6.4333
95,7.2000
96,7.2778
97,8.0111
98,8.7778
99,9.3889
100,10.6111
101,12.0778
102,13.2444
103,14.0444
104,15.7222
105,17.1556
106,18.4444
107,20.7778
108,21.6556
109,24.1444
110,25.2444
111,28.0778
112,29.1556
113,31.1889
114,33.8111
115,35.4000
116,37.6444
117,38.2444
118,41.5111
119,42.8667
120,45.1667
121,46.2000
122,46.9000
123,49.9333
124,49.7111
125,51.3556
126,51.4000
127,52.8889
128,53.6333
129,53.6333
130,54.8667
131,53.9222
132,55.1556
133,55.1667
134,55.3333
135,56.1333
136,55.2333
137,56.2778
138,55.4778
139,56.9556
140,56.7333
141,57.3333
142,57.0333
143,56.1111
144,58.1667
145,56.0444
146,56.6667
147,54.8444
148,55.8333
149,56.4889
150,55.4333
151,55.2111
152,55.4778
153,55.7000
154,55.5889
155,55.0333
156,55.6222
157,55.8778
158,55.6889
159,53.6667
160,52.9778
161,52.8889
162,53.1222
163,53.2556
164,52.3667
165,51.8222
166,50.7111
167,50.0444
168,49.7889
169,49.1333
170,48.5444
171,47.5778
172,47.4556
173,45.3333
174,44.8444
175,43.3222
176,41.4222
177,40.4222
178,38.4333
179,37.5667
180,34.4333
181,33.4222
182,31.5222
183,30.2444
184,27.8889
185,25.9889
186,24.8333
187,23.0556
188,21.2778
189,19.2889
190,17.9222
191,16.7444
192,15.2111
193,14.4778
194,12.7889
195,11.9000
196,11.1000
197,9.9778
198,9.4889
199,8.5222
200,8.0667
201,7.4778
202,7.5222
203,7.1333
204,6.8889
205,6.6333
206,6.7111
207,7.2667
208,6.6667
209,7.4111
210,7.7556
211,8.4111
212,9.0444
213,9.8556
214,11.6778
215,12.8444
216,14.9444
217,16.7333
218,19.0778
219,22.3556
220,24.8111
221,29.4222
222,31.5667
223,37.2778
224,41.3556
225,45.5444
226,49.8333
227,52.9778
228,56.2000
229,56.8111
230,57.1222
231,56.3000
232,54.8333
233,50.5333
234,45.4556
235,41.3000
236,35.0222
237,30.4000
238,25.2000
239,21.2667
240,17.3556
241,13.8778
242,12.0000
243,9.7556
244,8.5667
245,7.4444
246,6.9778
247,6.8889
248,6.4444
249,6.9556
250,7.1889
251,8.2444
252,9.7889
253,11.4222
254,14.3556
255,16.3444
256,21.3889
257,25.8333
258,32.1111
259,37.4000
260,43.3333
261,50.0000
262,54.1667
263,57.6222
264,58.3000
265,56.1222
266,51.9333
267,44.7556
268,37.6333
269,30.3778
270,24.4222
271,18.3333
272,14.5000
273,11.4667
274,9.5111
275,7.8444
276,6.7556
277,6.8778
278,6.3000
279,7.1889
280,8.3556
281,10.1111
282,12.7556
283,16.4111
284,21.7778
285,27.8000
286,34.6778
287,43.2556
288,50.1778
289,54.2556
290,56.0778
