Distance_(pixels),Gray_Value
0,40.0000
1,39.0000
2,39.9887
3,39.0000
4,42.9548
5,42.0282
6,46.9661
7,46.9209
8,47.0000
9,47.0000
10,46.0565
11,46.9379
12,47.9322
13,48.8531
14,48.8418
15,48.0847
16,49.9096
17,47.2881
18,47.7966
19,45.0000
20,46.5480
21,43.0000
22,41.7514
23,40.0000
24,39.4068
25,41.8588
26,41.2938
27,44.6949
28,45.8418
29,46.6723
30,47.6610
31,48.0000
32,49.4576
33,50.6271
34,47.8079
35,49.4068
36,50.1864
37,49.0000
38,50.2147
39,50.2203
40,50.0000
41,50.0000
42,51.5254
43,50.7571
44,48.5028
45,46.5085
46,46.7401
47,43.2655
48,42.0000
49,40.8305
50,41.0000
51,41.1356
52,41.7062
53,43.8023
54,45.0000
55,45.3785
56,47.3164
57,47.6780
58,50.0169
59,50.6667
60,50.6441
61,51.0000
62,51.2486
63,50.6441
64,49.5537
65,51.6328
66,51.0000
67,51.8644
68,51.2316
69,51.8305
70,50.3955
71,50.4011
72,51.0000
73,50.0000
74,49.1638
75,48.8475
76,49.7119
77,49.1299
78,47.1186
79,47.1073
80,46.0000
81,46.0847
82,45.0734
83,45.6554
84,43.6271
85,44.5593
86,46.0282
87,46.4915
88,47.5028
89,47.4972
90,49.9831
91,49.9718
92,51.0000
93,49.9492
94,51.4689
95,52.4633
96,52.5424
97,52.5480
98,52.5537
99,52.5593
100,51.8701
101,51.0000
102,52.6949
103,51.8362
104,53.0621
105,51.2203
106,51.2034
107,52.1864
108,51.3898
109,52.7684
110,52.2429
111,53.3729
112,53.3672
113,54.0847
114,54.4237
115,55.3503
116,55.3446
117,54.6780
118,55.6667
119,55.3277
120,55.0000
121,55.3672
122,55.6893
123,54.6102
124,52.2994
125,50.5876
126,50.4237
127,50.4350
128,49.8305
129,49.0000
130,49.2655
131,48.7401
132,48.7627
133,47.4972
134,47.2429
135,46.7119
136,47.2316
137,47.6780
138,47.0000
139,43.8588
140,45.2090
141,46.7966
142,47.1977
143,45.0000
144,45.5593
145,45.1808
146,45.1751
147,44.1695
148,44.0000
149,46.1582
150,45.0000
151,45.1469
152,44.8588
153,45.1356
154,44.1299
155,42.3729
156,44.3559
157,45.1130
158,46.0000
159,44.1017
160,44.3842
161,46.1808
162,48.0000
163,48.0000
164,47.1469
165,46.1356
166,48.0000
167,47.9435
168,48.0000
169,47.0000
170,48.0000
171,47.0339
172,46.1130
173,48.0226
174,46.0508
175,47.0000
176,47.0056
177,48.0000
178,46.0056
179,44.0339
180,46.0169
181,47.0226
182,45.0282
183,45.1017
184,45.0000
185,46.9096
186,45.0000
187,45.0000
188,46.0000
189,45.8644
190,44.0734
191,44.0000
192,45.9153
193,45.0000
194,45.1921
195,46.1017
196,47.0000
197,46.8870
198,47.8814
199,47.8757
200,45.2599
201,47.0000
202,46.5650
203,49.8531
204,50.0000
205,50.6836
206,50.8362
207,51.0000
208,51.1751
209,52.0000
210,51.1864
211,53.3842
212,52.7910
213,54.4068
214,53.6271
215,55.4294
216,53.8814
217,55.2260
218,55.2316
219,56.0000
220,56.2429
221,56.4972
222,55.0169
223,56.2599
224,56.4689
225,55.8136
226,53.8305
227,57.4350
228,56.0000
229,55.7062
230,54.8983
231,54.3051
232,56.3107
233,54.3672
234,55.0000
235,53.3277
236,53.6667
237,53.6610
238,54.6554
239,54.7006
240,56.0000
241,54.2768
242,54.6328
243,53.0000
244,53.1356
245,51.3842
246,51.3898
247,52.6045
248,50.4011
249,48.2203
250,48.8249
251,48.8362
252,47.4237
253,47.5706
254,46.4350
255,48.4407
256,49.0000
257,49.4520
258,50.2881
259,52.9266
260,55.4068
261,55.4237
262,56.4407
263,57.4859
264,57.4915
265,56.9944
266,58.4915
267,57.5085
268,56.5141
269,56.5198
270,56.4237
271,56.9379
272,57.5367
273,57.5424
274,57.5480
275,57.5537
276,57.5593
277,56.5650
278,56.5706
279,57.0000
280,55.4181
281,52.8249
282,51.2203
283,49.8023
284,48.6045
285,47.6102
286,46.0000
287,45.0000
288,46.3729
289,46.6328
290,49.2768
291,49.6441
292,51.3503
293,52.6554
294,53.3220
295,54.6667
296,54.6723
297,55.3559
298,54.6836
299,54.6893
300,54.3898
301,53.2994
302,53.2938
303,52.7119
304,53.4350
305,52.0000
306,52.0000
307,50.7345
308,48.4802
309,47.4915
310,46.5028
311,45.7571
312,43.4746
313,43.4633
314,45.7740
315,47.0000
316,50.0000
317,51.2090
318,51.6102
319,53.0000
320,53.8079
321,53.6271
322,53.0000
323,53.3503
324,54.1695
325,55.0000
326,53.8418
327,51.4576
328,52.1469
329,53.0000
330,51.5932
331,47.8701
332,44.1243
333,43.1186
334,41.1130
335,43.7853
336,43.1017
337,46.0000
338,48.0000
339,51.8305
340,50.7627
341,52.9266
342,52.0678
343,52.0621
344,51.0000
345,51.0000
346,52.9548
347,52.9209
348,51.0339
349,51.0000
350,48.9774
351,47.9492
352,43.0339
353,43.0000
354,41.0000
