R_L[Ohm],I[mA],U[V],Messbereich,P[W]
1,0.0262,0.198,200mA,0.0051876000000000005
2,0.026000000000000002,0.223,200mA,0.005798
3,0.0257,0.248,200mA,0.0063736
4,0.025500000000000002,0.271,200mA,0.006910500000000001
5,0.0253,0.293,200mA,0.007412899999999999
6,0.0252,0.313,200mA,0.0078876
7,0.025,0.335,200mA,0.008375
8,0.024800000000000003,0.357,200mA,0.0088536
9,0.0246,0.38,200mA,0.009348
10,0.024399999999999998,0.4,200mA,0.00976
11,0.0242,0.42,200mA,0.010164
12,0.024,0.44,200mA,0.01056
13,0.0238,0.46,200mA,0.010948000000000001
14,0.023600000000000003,0.48,200mA,0.011328000000000001
15,0.0235,0.5,200mA,0.01175
16,0.0233,0.52,200mA,0.012116000000000002
17,0.023100000000000002,0.54,200mA,0.012474000000000002
18,0.0229,0.55,200mA,0.012595
19,0.0228,0.57,200mA,0.012995999999999999
20,0.0225,0.6,200mA,0.0135
30,0.021,0.766,200mA,0.016086
40,0.0197,0.915,200mA,0.0180255
50,0.0185,1.045,200mA,0.0193325
60,0.0175,1.165,200mA,0.020387500000000003
70,0.0165,1.268,200mA,0.020922
80,0.0157,1.359,200mA,0.0213363
90,0.0149,1.442,200mA,0.0214858
100,0.014199999999999999,1.519,200mA,0.021569799999999997
110,0.0136,1.588,200mA,0.0215968
120,0.013000000000000001,1.65,200mA,0.02145
130,0.0125,1.71,200mA,0.021375
140,0.012,1.76,200mA,0.02112
150,0.0115,1.81,200mA,0.020815
160,0.0111,1.86,200mA,0.020646
170,0.0107,1.9,200mA,0.020329999999999997
180,0.010400000000000001,1.94,200mA,0.020176000000000003
190,0.01,1.98,200mA,0.0198
200,0.009470000000000001,2.04,20mA,0.019318800000000004
300,0.00725,2.29,20mA,0.016602500000000003
400,0.00587,2.44,20mA,0.0143228
500,0.0049299999999999995,2.54,20mA,0.012522199999999999
600,0.00425,2.62,20mA,0.011135
700,0.0037300000000000002,2.67,20mA,0.0099591
800,0.00333,2.72,20mA,0.0090576
900,0.003,2.75,20mA,0.00825
1000,0.0027400000000000002,2.78,20mA,0.0076172
2000,0.00145,2.93,20mA,0.0042485
3000,0.0009609999999999999,2.98,2mA,0.00286378
4000,0.000733,3.01,2mA,0.00220633
5000,0.000592,3.02,2mA,0.00178784
6000,0.000497,3.03,2mA,0.00150591
7000,0.000428,3.04,2mA,0.00130112
8000,0.00037600000000000003,3.04,2mA,0.0011430400000000001
9000,0.000335,3.05,2mA,0.0010217499999999999
10000,0.000302,3.05,2mA,0.0009211
20000,0.000152,3.07,2mA,0.00046664
30000,0.000102,3.07,2mA,0.00031314
40000,7.6e-05,3.08,2mA,0.00023408
50000,6.1e-05,3.08,2mA,0.00018788
60000,5.1e-05,3.08,2mA,0.00015708
70000,4.4e-05,3.08,2mA,0.00013552
80000,3.8e-05,3.08,2mA,0.00011704
90000,3.4000000000000007e-05,3.08,2mA,0.00010472000000000003
100000,3e-05,3.08,2mA,9.240000000000001e-05
