t,x,y
0.000,0.293,-5.630E-3
0.002,0.291,-5.806E-3
0.004,0.291,-5.982E-3
0.006,0.289,-6.510E-3
0.008,0.287,-6.510E-3
0.010,0.284,-6.220E-3
0.012,0.283,-6.319E-3
0.014,0.282,-6.319E-3
0.016,0.281,-6.319E-3
0.018,0.280,-6.319E-3
0.020,0.278,-6.220E-3
0.022,0.275,-6.516E-3
0.024,0.274,-6.516E-3
0.026,0.272,-6.516E-3
0.028,0.271,-6.516E-3
0.030,0.268,-6.516E-3
0.032,0.266,-6.516E-3
0.034,0.264,-6.516E-3
0.036,0.263,-6.516E-3
0.038,0.262,-6.418E-3
0.040,0.260,-6.319E-3
0.042,0.259,-6.911E-3
0.044,0.257,-6.714E-3
0.046,0.255,-6.714E-3
0.048,0.254,-6.418E-3
0.050,0.252,-5.924E-3
0.052,0.250,-5.924E-3
0.054,0.249,-5.924E-3
0.056,0.247,-5.825E-3
0.058,0.246,-6.023E-3
0.060,0.245,-5.924E-3
0.062,0.244,-5.924E-3
0.064,0.243,-5.924E-3
0.066,0.241,-5.825E-3
0.068,0.240,-5.924E-3
0.070,0.238,-6.023E-3
0.072,0.237,-6.220E-3
0.074,0.235,-6.122E-3
0.076,0.233,-6.122E-3
0.078,0.232,-6.122E-3
0.080,0.231,-6.122E-3
0.082,0.229,-5.924E-3
0.084,0.228,-5.924E-3
0.086,0.225,-5.628E-3
0.088,0.223,-5.628E-3
0.090,0.221,-5.430E-3
0.092,0.221,-5.825E-3
0.094,0.219,-6.023E-3
0.096,0.217,-5.924E-3
0.098,0.216,-5.825E-3
0.100,0.214,-5.628E-3
0.102,0.212,-5.035E-3
0.104,0.211,-4.838E-3
0.106,0.210,-4.838E-3
0.108,0.209,-4.838E-3
0.110,0.207,-4.838E-3
0.112,0.206,-4.838E-3
0.114,0.205,-4.937E-3
0.116,0.203,-4.937E-3
0.118,0.202,-4.838E-3
0.120,0.201,-4.838E-3
0.122,0.200,-4.838E-3
0.124,0.198,-4.838E-3
0.126,0.197,-4.838E-3
0.128,0.195,-4.937E-3
0.130,0.193,-5.134E-3
