
t,x,y,vy,ay
0.000,-1.497E-2,1.401,,
0.004,-1.930E-2,1.399,-0.275,
0.008,-1.903E-2,1.398,-0.176,-3.122
0.012,-1.906E-2,1.397,-0.296,-26.81
0.017,-1.902E-2,1.396,-0.430,-24.86
0.021,-1.897E-2,1.394,-0.487,-19.54
0.025,-1.901E-2,1.392,-0.594,-23.49
0.029,-1.910E-2,1.389,-0.686,-10.10
0.033,-1.897E-2,1.386,-0.686,-4.936
0.037,-1.906E-2,1.383,-0.708,-11.21
0.042,-1.905E-2,1.380,-0.787,-13.34
0.046,-1.903E-2,1.377,-0.826,-9.712
0.050,-1.895E-2,1.373,-0.862,-12.54
0.054,-1.901E-2,1.369,-0.924,-10.30
0.058,-1.903E-2,1.365,-0.962,-67.26
0.062,-1.901E-2,1.362,-1.417,-44.45
0.067,-2.061E-2,1.354,-1.503,-43.68
0.071,-2.064E-2,1.349,-1.564,19.54
0.075,-2.216E-2,1.341,-1.571,8.674
0.079,-2.229E-2,1.336,-1.282,37.19
0.083,-2.227E-2,1.330,-1.374,-14.29
0.087,-2.225E-2,1.324,-1.371,-11.22
0.092,-2.216E-2,1.318,-1.459,-65.44
0.096,-2.218E-2,1.312,-1.891,-40.10
0.100,-2.380E-2,1.303,-1.936,8.882
0.104,-2.385E-2,1.296,-1.653,-66.93
0.108,-2.374E-2,1.289,-2.460,-60.42
0.112,-2.692E-2,1.276,-2.476,10.58
0.117,-2.710E-2,1.268,-1.993,76.51
0.121,-2.769E-2,1.259,-2.067,4.051
0.125,-2.774E-2,1.251,-1.872,19.28
0.129,-2.778E-2,1.243,-1.906,-17.29
0.133,-2.776E-2,1.235,-2.036,-22.09
0.137,-2.776E-2,1.227,-2.110,-18.52
0.142,-2.769E-2,1.218,-2.150,-40.93
0.146,-2.788E-2,1.209,-2.451,-15.84
0.150,-2.569E-2,1.197,-2.389,7.321
0.154,-2.555E-2,1.189,-2.226,-17.23
0.158,-2.531E-2,1.179,-2.606,-30.15
0.162,-2.650E-2,1.167,-2.563,28.86
0.167,-2.626E-2,1.157,-2.241,117.5
0.171,-2.420E-2,1.148,-1.698,10.81
0.175,-1.870E-2,1.143,-1.920,-90.62
0.179,-2.004E-2,1.132,-2.692,-98.00
0.183,-2.071E-2,1.121,-2.688,20.90
0.187,-1.926E-2,1.110,-2.496,26.18
0.192,-1.771E-2,1.100,-2.426,-10.32
0.196,-1.629E-2,1.090,-2.608,22.49
0.200,-1.600E-2,1.078,-2.334,-13.56
0.204,-1.393E-2,1.070,-2.476,-35.54
0.208,-1.451E-2,1.058,-2.896,-58.21
0.212,-1.422E-2,1.046,-2.829,5.881
0.217,-1.451E-2,1.034,-2.872,281.1
0.221,-1.443E-2,1.022,-0.771,155.6
0.225,6.204E-3,1.028,-0.716,-169.9
0.229,6.905E-3,1.016,-2.980,-291.8
0.233,6.260E-3,1.003,-3.005,18.41
0.237,6.931E-3,0.991,-2.698,26.41
0.242,7.435E-3,0.980,-2.786,-29.10
0.246,7.484E-3,0.968,-2.980,-20.42
0.250,7.607E-3,0.955,-2.983,-44.03
0.254,7.753E-3,0.943,-3.230,-59.60
0.258,4.373E-3,0.928,-3.614,7.523
0.262,2.320E-3,0.913,-3.193,61.44
0.267,2.163E-3,0.902,-2.915,32.74
0.271,1.809E-3,0.889,-3.065,-12.64
0.275,1.992E-3,0.876,-2.997,96.42
0.279,1.605E-3,0.864,-2.323,-50.97
0.283,6.747E-3,0.857,-3.074,-3.809
0.287,1.515E-3,0.838,-3.040,-77.28
0.292,6.742E-3,0.831,-2.902,1.592
0.296,1.365E-3,0.814,-3.699,-48.16
0.300,1.731E-3,0.801,-3.011,75.37
0.304,1.259E-3,0.789,-3.027,0.275
0.308,1.487E-3,0.776,-3.136,-17.38
0.312,1.401E-3,0.763,-3.106,1.894
0.317,1.403E-3,0.750,-3.133,-9.717
0.321,1.399E-3,0.737,-3.180,5.545
0.325,1.512E-3,0.723,-3.135,7.827
0.329,1.499E-3,0.711,-3.034,13.38
0.333,1.997E-3,0.698,-3.076,-33.90
0.337,2.297E-3,0.685,-3.290,-23.83
0.342,2.252E-3,0.670,-3.325,18.72
0.346,2.410E-3,0.657,-3.095,17.39
0.350,2.923E-3,0.645,-3.165,-27.18
0.354,2.939E-3,0.631,-3.336,-10.68
0.358,3.131E-3,0.617,-3.286,7.430
0.362,3.669E-3,0.604,-3.237,14.38
0.367,4.067E-3,0.590,-3.177,-10.76
0.371,4.636E-3,0.577,-3.290,310.8
0.375,4.563E-3,0.563,-1.005,159.4
0.379,-9.397E-3,0.569,-0.867,-169.3
0.383,-8.830E-3,0.555,-3.433,-329.4
0.387,-8.557E-3,0.540,-3.384,-11.48
0.392,-7.774E-3,0.527,-3.362,9.905
0.396,-7.654E-3,0.512,-3.455,6.691
0.400,-6.968E-3,0.499,-3.243,4.829
0.404,-6.344E-3,0.485,-3.359,-10.81
0.408,-6.175E-3,0.470,-3.440,-13.94
