t (s),U1(V)
0.000000,0.617008
0.001000,0.611779
0.002000,0.611779
0.003000,0.606550
0.004000,0.601321
0.005000,0.601321
0.006000,0.601321
0.007000,0.596092
0.008000,0.596092
0.009000,0.590864
0.010000,0.590864
0.011000,0.585635
0.012000,0.585635
0.013000,0.580406
0.014000,0.580406
0.015000,0.575177
0.016000,0.575177
0.017000,0.569948
0.018000,0.564719
0.019000,0.564719
0.020000,0.564719
0.021000,0.559490
0.022000,0.559490
0.023000,0.554261
0.024000,0.554261
0.025000,0.549033
0.026000,0.543804
0.027000,0.538575
0.028000,0.538575
0.029000,0.538575
0.030000,0.533346
0.031000,0.533346
0.032000,0.533346
0.033000,0.528117
0.034000,0.522888
0.035000,0.522888
0.036000,0.517659
0.037000,0.517659
0.038000,0.512430
0.039000,0.512430
0.040000,0.512430
0.041000,0.507201
0.042000,0.501973
0.043000,0.501973
0.044000,0.496744
0.045000,0.496744
0.046000,0.491515
0.047000,0.486286
0.048000,0.486286
0.049000,0.481057
0.050000,0.475828
0.051000,0.475828
0.052000,0.475828
0.053000,0.470599
0.054000,0.465370
0.055000,0.470599
0.056000,0.465370
0.057000,0.460142
0.058000,0.454913
0.059000,0.454913
0.060000,0.449684
0.061000,0.449684
0.062000,0.444455
0.063000,0.444455
0.064000,0.439226
0.065000,0.439226
0.066000,0.428768
0.067000,0.428768
0.068000,0.428768
0.069000,0.428768
0.070000,0.423539
0.071000,0.418311
0.072000,0.418311
0.073000,0.413082
0.074000,0.407853
0.075000,0.407853
0.076000,0.402624
0.077000,0.402624
0.078000,0.397395
0.079000,0.397395
0.080000,0.397395
0.081000,0.392166
0.082000,0.386937
0.083000,0.386937
0.084000,0.381708
0.085000,0.381708
0.086000,0.376479
0.087000,0.376479
0.088000,0.371251
0.089000,0.366022
0.090000,0.366022
0.091000,0.360793
0.092000,0.355564
0.093000,0.355564
0.094000,0.350335
0.095000,0.350335
0.096000,0.345106
0.097000,0.345106
0.098000,0.339877
0.099000,0.339877
0.100000,0.334648
0.101000,0.329420
0.102000,0.329420
0.103000,0.329420
0.104000,0.324191
0.105000,0.324191
0.106000,0.313733
0.107000,0.313733
0.108000,0.313733
0.109000,0.308504
0.110000,0.303275
0.111000,0.308504
0.112000,0.298046
0.113000,0.298046
0.114000,0.292817
0.115000,0.287588
0.116000,0.287588
0.117000,0.287588
0.118000,0.282360
0.119000,0.282360
0.120000,0.277131
0.121000,0.277131
