t (s),U1(V),U2(V)
0.000000,-0.198697,-0.010456
0.001000,-0.193469,-0.010456
0.002000,-0.193469,-0.010456
0.003000,-0.193469,-0.010456
0.004000,-0.193469,-0.015684
0.005000,-0.193469,-0.010456
0.006000,-0.193469,-0.010456
0.007000,-0.193469,-0.010456
0.008000,-0.193469,-0.005228
0.009000,-0.188240,-0.010456
0.010000,-0.188240,-0.010456
0.011000,-0.193469,-0.010456
0.012000,-0.188240,-0.010456
0.013000,-0.183011,-0.010456
0.014000,-0.183011,-0.010456
0.015000,-0.188240,-0.010456
0.016000,-0.188240,-0.005228
0.017000,-0.183011,-0.010456
0.018000,-0.183011,-0.005228
0.019000,-0.183011,-0.010456
0.020000,-0.177782,-0.010456
0.021000,-0.183011,-0.005228
0.022000,-0.183011,-0.010456
0.023000,-0.177782,-0.005228
0.024000,-0.177782,-0.010456
0.025000,-0.177782,-0.005228
0.026000,-0.177782,-0.005228
0.027000,-0.177782,-0.010456
0.028000,-0.172553,-0.005228
0.029000,-0.177782,-0.005228
0.030000,-0.172553,-0.005228
0.031000,-0.172553,-0.005228
0.032000,-0.172553,-0.005228
0.033000,-0.167324,-0.005228
0.034000,-0.167324,-0.005228
0.035000,-0.167324,-0.005228
0.036000,-0.167324,-0.005228
0.037000,-0.172553,-0.005228
0.038000,-0.167324,-0.005228
0.039000,-0.167324,-0.005228
0.040000,-0.162095,-0.005228
0.041000,-0.167324,-0.005228
0.042000,-0.162095,-0.005228
0.043000,-0.162095,-0.005228
0.044000,-0.162095,-0.005228
0.045000,-0.162095,-0.005228
0.046000,-0.162095,-0.005228
0.047000,-0.156866,-0.005228
0.048000,-0.156866,-0.005228
0.049000,-0.162095,-0.005228
0.050000,-0.156866,-0.005228
0.051000,-0.151638,-0.005228
0.052000,-0.156866,-0.005228
0.053000,-0.156866,-0.005228
0.054000,-0.156866,-0.000000
0.055000,-0.151638,-0.005228
0.056000,-0.151638,-0.000000
0.057000,-0.151638,-0.000000
0.058000,-0.151638,-0.005228
0.059000,-0.146409,-0.005228
0.060000,-0.151638,-0.000000
0.061000,-0.146409,-0.000000
0.062000,-0.146409,-0.000000
0.063000,-0.146409,-0.000000
0.064000,-0.146409,-0.000000
0.065000,-0.141180,-0.000000
0.066000,-0.146409,-0.000000
0.067000,-0.141180,-0.000000
0.068000,-0.141180,-0.005228
0.069000,-0.141180,-0.000000
0.070000,-0.141180,-0.000000
0.071000,-0.141180,-0.000000
0.072000,-0.135951,-0.000000
0.073000,-0.135951,-0.000000
0.074000,-0.135951,-0.000000
0.075000,-0.135951,-0.000000
0.076000,-0.135951,-0.000000
0.077000,-0.135951,-0.000000
0.078000,-0.135951,-0.000000
0.079000,-0.130722,-0.000000
0.080000,-0.130722,-0.000000
0.081000,-0.130722,-0.000000
0.082000,-0.130722,-0.000000
0.083000,-0.130722,-0.000000
0.084000,-0.130722,-0.000000
0.085000,-0.125493,-0.000000
0.086000,-0.125493,-0.000000
0.087000,-0.120264,-0.000000
0.088000,-0.120264,-0.000000
0.089000,-0.120264,-0.000000
0.090000,-0.125493,-0.000000
0.091000,-0.120264,-0.000000
0.092000,-0.120264,-0.000000
0.093000,-0.120264,-0.000000
0.094000,-0.120264,0.005228
0.095000,-0.115035,0.005228
0.096000,-0.115035,0.005228
0.097000,-0.115035,0.005228
0.098000,-0.115035,-0.000000
0.099000,-0.115035,-0.000000
0.100000,-0.115035,-0.000000
0.101000,-0.115035,-0.000000
0.102000,-0.115035,0.005228
0.103000,-0.109807,0.005228
0.104000,-0.109807,0.005228
0.105000,-0.109807,-0.000000
0.106000,-0.109807,-0.000000
0.107000,-0.109807,0.005228
0.108000,-0.109807,0.005228
0.109000,-0.104578,0.005228
0.110000,-0.104578,-0.000000
0.111000,-0.104578,0.005228
0.112000,-0.104578,0.005228
0.113000,-0.104578,0.005228
0.114000,-0.099349,0.005228
0.115000,-0.099349,0.005228
0.116000,-0.099349,0.005228
0.117000,-0.099349,0.005228
0.118000,-0.099349,0.005228
0.119000,-0.099349,0.005228
0.120000,-0.094120,0.005228
0.121000,-0.099349,-0.000000
0.122000,-0.094120,0.005228
