"Freq [Hz]","U_0 [V]","U_R [V]","theta [°]"
100,1.97,1.924,8.111
200,1.899,1.799,15.4
300,1.794,1.63,21.97
400,1.706,1.478,26.54
500,1.635,1.318,31.95
600,1.565,1.193,36.9
700,1.53,1.078,40.52
800,1.477,0.9885,46.42
900,1.442,0.9884,49.76
1000,1.424,0.8371,50.84
2000,1.319,0.4631,68.01
3000,1.284,0.3206,75.54
4000,1.246,0.2406,77.29
5000,1.246,0.1942,79.92
6000,1.246,0.1622,79.63
7000,1.237,0.1416,80.25
8000,1.237,0.1255,81.16
9000,1.237,0.1102,82.03
10000,1.237,0.09948,82.66
20000,1.237,0.05116,82.9
30000,1.228,0.03545,82.92
40000,1.228,0.02737,83.83
50000,1.228,0.02244,84.06
60000,1.21,0.01885,82.44
70000,1.202,0.01615,81.21
80000,1.193,0.01526,85.97
90000,1.175,0.01256,81.64
100000,1.149,0.01077,82.72
