"Freq [Hz]","U_0 [V]","U_R [V]","theta [°]"
100,1.237,1.238,0
200,1.237,1.238,0.368
300,1.246,1.238,0.11
400,1.237,1.229,0.246
500,1.237,1.229,0.23
600,1.237,1.238,0.442
700,1.237,1.229,0.414
800,1.237,1.229,0.246
900,1.237,1.238,0.414
1000,1.237,1.229,0.307
2000,1.237,1.229,0.768
3000,1.237,1.229,1.106
4000,1.237,1.229,1.228
5000,1.237,1.238,1.871
6000,1.237,1.229,2.074
7000,1.237,1.229,2.688
8000,1.237,1.229,2.305
9000,1.237,1.229,2.591
10000,1.237,1.229,3.456
20000,1.237,1.229,6.719
30000,1.237,1.229,10.72
40000,1.254,1.22,14.02
50000,1.263,1.202,18
60000,1.263,1.184,21.08
70000,1.272,1.167,24.86
80000,1.281,1.14,26.5
90000,1.281,1.113,30.75
100000,1.272,1.078,33.12
