"Time","Channel A"
-100.11786071,5.04989767
-100.07786071,5.04989767
-100.03786071,5.04989767
-99.99786071,4.96108913
-99.95786071,5.04989767
-99.91786071,5.04989767
-99.87786071,5.04989767
-99.83786071,5.04989767
-99.79786071,5.04989767
-99.75786071,5.04989767
-99.71786071,5.04989767
-99.67786071,5.04989767
-99.63786071,5.04989767
-99.59786071,5.04989767
-99.55786071,5.04989767
-99.51786071,5.04989767
-99.47786072,5.04989767
-99.43786072,5.04989767
-99.39786072,5.04989767
-99.35786072,5.04989767
-99.31786072,5.04989767
-99.27786072,5.04989767
-99.23786072,5.04989767
-99.19786072,5.04989767
-99.15786072,5.04989767
-99.11786072,5.04989767
-99.07786072,5.04989767
-99.03786072,5.04989767
-98.99786072,5.04989767
-98.95786072,5.04989767
-98.91786072,4.96108913
-98.87786072,5.04989767
-98.83786072,5.04989767
-98.79786072,4.96108913
-98.75786072,5.04989767
-98.71786072,5.04989767
-98.67786072,5.04989767
-98.63786072,5.04989767
-98.59786072,5.04989767
-98.55786072,5.04989767
-98.51786072,5.04989767
-98.47786072,4.96108913
-98.43786072,5.04989767
-98.39786072,5.04989767
-98.35786072,5.04989767
-98.31786072,5.04989767
-98.27786072,5.04989767
-98.23786072,4.96108913
-98.19786072,5.04989767
-98.15786072,5.04989767
-98.11786072,5.04989767
-98.07786072,5.04989767
-98.03786072,5.04989767
-97.99786072,5.04989767
-97.95786072,5.04989767
-97.91786072,5.04989767
-97.87786072,5.04989767
-97.83786073,5.04989767
-97.79786073,5.04989767
-97.75786073,5.04989767
-97.71786073,5.04989767
-97.67786073,4.96108913
-97.63786073,5.04989767
-97.59786073,5.04989767
-97.55786073,5.04989767
-97.51786073,5.04989767
-97.47786073,5.04989767
-97.43786073,5.04989767
-97.39786073,5.04989767
-97.35786073,4.96108913
-97.31786073,5.04989767
-97.27786073,5.04989767
-97.23786073,4.96108913
-97.19786073,5.04989767
-97.15786073,5.04989767
-97.11786073,4.96108913
-97.07786073,5.04989767
-97.03786073,4.96108913
-96.99786073,5.04989767
-96.95786073,5.04989767
-96.91786073,5.04989767
-96.87786073,5.04989767
-96.83786073,5.04989767
-96.79786073,5.04989767
-96.75786073,5.04989767
-96.71786073,5.04989767
-96.67786073,5.04989767
-96.63786073,5.04989767
-96.59786073,5.04989767
-96.55786073,5.04989767
-96.51786073,5.04989767
-96.47786073,5.04989767
-96.43786073,5.04989767
-96.39786073,5.04989767
-96.35786073,5.04989767
-96.31786073,5.04989767
-96.27786073,5.04989767
-96.23786073,4.96108913
-96.19786074,5.04989767
-96.15786074,5.04989767
-96.11786074,5.04989767
-96.07786074,5.04989767
-96.03786074,5.04989767
-95.99786074,5.04989767
-95.95786074,5.04989767
-95.91786074,5.04989767
-95.87786074,5.04989767
-95.83786074,5.04989767
-95.79786074,5.04989767
-95.75786074,5.04989767
-95.71786074,5.04989767
-95.67786074,5.04989767
-95.63786074,5.04989767
-95.59786074,5.04989767
-95.55786074,5.04989767
-95.51786074,5.04989767
-95.47786074,5.04989767
-95.43786074,5.04989767
-95.39786074,5.04989767
-95.35786074,4.96108913
-95.31786074,5.04989767
-95.27786074,5.04989767
-95.23786074,4.96108913
-95.19786074,5.04989767
-95.15786074,5.04989767
-95.11786074,5.04989767
-95.07786074,5.04989767
-95.03786074,5.04989767
-94.99786074,5.04989767
-94.95786074,5.04989767
-94.91786074,5.04989767
-94.87786074,5.04989767
-94.83786074,5.04989767
-94.79786074,5.04989767
-94.75786074,5.04989767
-94.71786074,5.04989767
-94.67786074,5.04989767
-94.63786074,5.04989767
-94.59786074,5.04989767
-94.55786074,5.04989767
-94.51786075,5.04989767
-94.47786075,5.04989767
-94.43786075,5.04989767
-94.39786075,5.04989767
-94.35786075,5.04989767
-94.31786075,5.04989767
-94.27786075,5.04989767
-94.23786075,4.96108913
-94.19786075,5.04989767
-94.15786075,5.04989767
-94.11786075,5.04989767
-94.07786075,5.04989767
-94.03786075,4.96108913
-93.99786075,5.04989767
-93.95786075,5.04989767
-93.91786075,5.04989767
-93.87786075,5.04989767
-93.83786075,5.04989767
-93.79786075,4.96108913
-93.75786075,5.04989767
-93.71786075,5.04989767
-93.67786075,5.04989767
-93.63786075,5.04989767
-93.59786075,5.04989767
-93.55786075,5.04989767
-93.51786075,5.04989767
-93.47786075,4.96108913
-93.43786075,5.04989767
-93.39786075,5.04989767
-93.35786075,5.04989767
-93.31786075,5.04989767
-93.27786075,5.04989767
-93.23786075,5.04989767
-93.19786075,5.04989767
-93.15786075,5.04989767
-93.11786075,5.04989767
-93.07786075,5.04989767
-93.03786075,5.04989767
-92.99786075,5.04989767
-92.95786075,5.04989767
-92.91786075,5.04989767
-92.87786076,5.04989767
-92.83786076,5.04989767
-92.79786076,4.96108913
-92.75786076,5.04989767
-92.71786076,5.04989767
-92.67786076,5.04989767
-92.63786076,5.04989767
-92.59786076,5.04989767
-92.55786076,4.96108913
-92.51786076,5.04989767
-92.47786076,5.04989767
-92.43786076,5.04989767
-92.39786076,5.04989767
-92.35786076,5.04989767
-92.31786076,5.04989767
-92.27786076,5.04989767
-92.23786076,5.04989767
-92.19786076,5.04989767
-92.15786076,5.04989767
-92.11786076,5.04989767
-92.07786076,5.04989767
-92.03786076,5.04989767
-91.99786076,5.04989767
-91.95786076,5.04989767
-91.91786076,5.04989767
-91.87786076,5.04989767
-91.83786076,5.04989767
-91.79786076,5.04989767
-91.75786076,5.04989767
-91.71786076,5.04989767
-91.67786076,4.96108913
-91.63786076,5.04989767
-91.59786076,5.04989767
-91.55786076,4.96108913
-91.51786076,5.04989767
-91.47786076,5.04989767
-91.43786076,5.04989767
-91.39786076,5.04989767
-91.35786076,5.04989767
-91.31786076,5.04989767
-91.27786076,5.04989767
-91.23786077,5.04989767
-91.19786077,5.04989767
-91.15786077,5.04989767
-91.11786077,4.96108913
-91.07786077,5.04989767
-91.03786077,5.04989767
-90.99786077,5.04989767
-90.95786077,5.04989767
-90.91786077,5.04989767
-90.87786077,5.04989767
-90.83786077,5.04989767
-90.79786077,5.04989767
-90.75786077,5.04989767
-90.71786077,5.04989767
-90.67786077,5.04989767
-90.63786077,5.04989767
-90.59786077,5.04989767
-90.55786077,4.96108913
-90.51786077,5.04989767
-90.47786077,5.04989767
-90.43786077,5.04989767
-90.39786077,5.04989767
-90.35786077,5.04989767
-90.31786077,5.04989767
-90.27786077,5.04989767
-90.23786077,4.96108913
-90.19786077,5.04989767
-90.15786077,5.04989767
-90.11786077,4.96108913
-90.07786077,5.04989767
-90.03786077,5.04989767
-89.99786077,5.04989767
-89.95786077,5.04989767
-89.91786077,5.04989767
-89.87786077,5.04989767
-89.83786077,5.04989767
-89.79786077,5.04989767
-89.75786077,5.04989767
-89.71786077,5.04989767
-89.67786077,4.96108913
-89.63786077,5.04989767
-89.59786078,4.96108913
-89.55786078,5.04989767
-89.51786078,5.04989767
-89.47786078,5.04989767
-89.43786078,5.04989767
-89.39786078,5.04989767
-89.35786078,5.04989767
-89.31786078,5.04989767
-89.27786078,5.04989767
-89.23786078,4.96108913
-89.19786078,5.04989767
-89.15786078,5.04989767
-89.11786078,5.04989767
-89.07786078,5.04989767
-89.03786078,5.04989767
-88.99786078,5.04989767
-88.95786078,5.04989767
-88.91786078,5.04989767
-88.87786078,5.04989767
-88.83786078,5.04989767
-88.79786078,5.04989767
-88.75786078,5.04989767
-88.71786078,5.04989767
-88.67786078,4.96108913
-88.63786078,5.04989767
-88.59786078,5.04989767
-88.55786078,5.04989767
-88.51786078,5.04989767
-88.47786078,5.04989767
-88.43786078,5.04989767
-88.39786078,5.04989767
-88.35786078,5.04989767
-88.31786078,5.04989767
-88.27786078,5.04989767
-88.23786078,4.96108913
-88.19786078,5.04989767
-88.15786078,5.04989767
-88.11786078,4.96108913
-88.07786078,5.04989767
-88.03786078,5.04989767
-87.99786078,5.04989767
-87.95786079,5.04989767
-87.91786079,5.04989767
-87.87786079,5.04989767
-87.83786079,5.04989767
-87.79786079,5.04989767
-87.75786079,5.04989767
-87.71786079,5.04989767
-87.67786079,5.04989767
-87.63786079,5.04989767
-87.59786079,5.04989767
-87.55786079,4.96108913
-87.51786079,5.04989767
-87.47786079,5.04989767
-87.43786079,4.96108913
-87.39786079,5.04989767
-87.35786079,4.96108913
-87.31786079,5.04989767
-87.27786079,5.04989767
-87.23786079,4.96108913
-87.19786079,5.04989767
-87.15786079,5.04989767
-87.11786079,4.96108913
-87.07786079,5.04989767
-87.03786079,5.04989767
-86.99786079,4.96108913
-86.95786079,5.04989767
-86.91786079,5.04989767
-86.87786079,5.04989767
-86.83786079,5.04989767
-86.79786079,5.04989767
-86.75786079,5.04989767
-86.71786079,5.04989767
-86.67786079,4.96108913
-86.63786079,5.04989767
-86.59786079,5.04989767
-86.55786079,5.04989767
-86.51786079,5.04989767
-86.47786079,5.04989767
-86.43786079,5.04989767
-86.39786079,5.04989767
-86.35786079,5.04989767
-86.31786080,5.04989767
-86.27786080,5.04989767
-86.23786080,5.04989767
-86.19786080,5.04989767
-86.15786080,5.04989767
-86.11786080,4.96108913
-86.07786080,5.04989767
-86.03786080,5.04989767
-85.99786080,5.04989767
-85.95786080,5.04989767
-85.91786080,4.96108913
-85.87786080,5.04989767
-85.83786080,5.04989767
-85.79786080,5.04989767
-85.75786080,5.04989767
-85.71786080,5.04989767
-85.67786080,4.96108913
-85.63786080,5.04989767
-85.59786080,5.04989767
-85.55786080,4.96108913
-85.51786080,5.04989767
-85.47786080,5.04989767
-85.43786080,5.04989767
-85.39786080,5.04989767
-85.35786080,5.04989767
-85.31786080,5.04989767
-85.27786080,5.04989767
-85.23786080,5.04989767
-85.19786080,5.04989767
-85.15786080,5.04989767
-85.11786080,5.04989767
-85.07786080,5.04989767
-85.03786080,5.04989767
-84.99786080,5.04989767
-84.95786080,5.04989767
-84.91786080,5.04989767
-84.87786080,5.04989767
-84.83786080,5.04989767
-84.79786080,5.04989767
-84.75786080,5.04989767
-84.71786080,5.04989767
-84.67786081,5.04989767
-84.63786081,5.04989767
-84.59786081,5.04989767
-84.55786081,5.04989767
-84.51786081,5.04989767
-84.47786081,5.04989767
-84.43786081,5.04989767
-84.39786081,5.04989767
-84.35786081,5.04989767
-84.31786081,5.04989767
-84.27786081,5.04989767
-84.23786081,4.96108913
-84.19786081,5.04989767
-84.15786081,5.04989767
-84.11786081,4.96108913
-84.07786081,5.04989767
-84.03786081,5.04989767
-83.99786081,5.04989767
-83.95786081,5.04989767
-83.91786081,5.04989767
-83.87786081,5.04989767
-83.83786081,5.04989767
-83.79786081,5.04989767
-83.75786081,5.04989767
-83.71786081,5.04989767
-83.67786081,4.96108913
-83.63786081,5.04989767
-83.59786081,5.04989767
-83.55786081,4.96108913
-83.51786081,5.04989767
