"Time","Channel A"
-500.38780319,5.04989767
-500.22780319,5.04989767
-500.06780319,5.04989767
-499.90780319,5.04989767
-499.74780319,5.04989767
-499.58780319,5.04989767
-499.42780319,5.04989767
-499.26780319,5.04989767
-499.10780319,5.04989767
-498.94780319,5.04989767
-498.78780320,5.04989767
-498.62780320,5.04989767
-498.46780320,5.04989767
-498.30780320,5.04989767
-498.14780320,5.04989767
-497.98780320,5.04989767
-497.82780320,5.04989767
-497.66780320,5.04989767
-497.50780320,5.04989767
-497.34780320,5.04989767
-497.18780321,5.04989767
-497.02780321,5.04989767
-496.86780321,5.04989767
-496.70780321,5.04989767
-496.54780321,5.04989767
-496.38780321,5.04989767
-496.22780321,5.04989767
-496.06780321,5.04989767
-495.90780321,5.04989767
-495.74780321,5.04989767
-495.58780321,5.04989767
-495.42780322,5.04989767
-495.26780322,5.04989767
-495.10780322,5.04989767
-494.94780322,5.04989767
-494.78780322,5.04989767
-494.62780322,5.04989767
-494.46780322,5.04989767
-494.30780322,5.04989767
-494.14780322,5.04989767
-493.98780322,5.04989767
-493.82780323,5.04989767
-493.66780323,5.04989767
-493.50780323,5.04989767
-493.34780323,5.04989767
-493.18780323,5.04989767
-493.02780323,5.04989767
-492.86780323,5.04989767
-492.70780323,5.04989767
-492.54780323,5.04989767
-492.38780323,5.04989767
-492.22780324,5.04989767
-492.06780324,5.04989767
-491.90780324,5.04989767
-491.74780324,5.04989767
-491.58780324,5.04989767
-491.42780324,5.04989767
-491.26780324,5.04989767
-491.10780324,5.04989767
-490.94780324,5.04989767
-490.78780324,5.04989767
-490.62780325,5.04989767
-490.46780325,5.04989767
-490.30780325,5.04989767
-490.14780325,5.04989767
-489.98780325,5.04989767
-489.82780325,5.04989767
-489.66780325,5.04989767
-489.50780325,5.04989767
-489.34780325,5.04989767
-489.18780325,5.04989767
-489.02780325,5.04989767
-488.86780326,5.04989767
-488.70780326,5.04989767
-488.54780326,5.04989767
-488.38780326,5.04989767
-488.22780326,5.04989767
-488.06780326,5.04989767
-487.90780326,5.04989767
-487.74780326,5.04989767
-487.58780326,5.04989767
-487.42780326,5.04989767
-487.26780327,5.04989767
-487.10780327,5.04989767
-486.94780327,5.04989767
-486.78780327,5.04989767
-486.62780327,5.04989767
-486.46780327,5.04989767
-486.30780327,5.04989767
-486.14780327,5.04989767
-485.98780327,5.04989767
-485.82780327,5.04989767
-485.66780328,5.04989767
-485.50780328,5.04989767
-485.34780328,5.04989767
-485.18780328,5.04989767
-485.02780328,5.04989767
-484.86780328,5.04989767
-484.70780328,5.04989767
-484.54780328,5.04989767
-484.38780328,5.04989767
-484.22780328,5.04989767
-484.06780328,5.04989767
-483.90780329,5.04989767
-483.74780329,5.04989767
-483.58780329,5.04989767
-483.42780329,5.04989767
-483.26780329,5.04989767
-483.10780329,5.04989767
-482.94780329,5.04989767
-482.78780329,5.04989767
-482.62780329,5.04989767
-482.46780329,5.04989767
-482.30780330,5.04989767
-482.14780330,5.04989767
-481.98780330,5.04989767
-481.82780330,5.04989767
-481.66780330,5.04989767
-481.50780330,5.04989767
-481.34780330,5.04989767
-481.18780330,5.04989767
-481.02780330,5.04989767
-480.86780330,5.04989767
-480.70780331,5.04989767
-480.54780331,5.04989767
-480.38780331,5.04989767
-480.22780331,5.04989767
-480.06780331,5.04989767
-479.90780331,5.04989767
-479.74780331,5.04989767
-479.58780331,5.04989767
-479.42780331,5.04989767
-479.26780331,5.04989767
-479.10780332,5.04989767
-478.94780332,5.04989767
-478.78780332,5.04989767
-478.62780332,5.04989767
-478.46780332,5.04989767
-478.30780332,5.04989767
-478.14780332,5.04989767
-477.98780332,5.04989767
-477.82780332,5.04989767
-477.66780332,5.04989767
-477.50780332,5.04989767
-477.34780333,5.04989767
-477.18780333,5.04989767
-477.02780333,5.04989767
-476.86780333,5.04989767
-476.70780333,5.04989767
-476.54780333,5.04989767
-476.38780333,5.04989767
-476.22780333,5.04989767
-476.06780333,5.04989767
-475.90780333,5.04989767
-475.74780334,5.04989767
-475.58780334,5.04989767
-475.42780334,5.04989767
-475.26780334,5.04989767
-475.10780334,5.04989767
-474.94780334,5.04989767
-474.78780334,5.04989767
-474.62780334,5.04989767
-474.46780334,5.04989767
-474.30780334,5.04989767
-474.14780335,5.04989767
-473.98780335,5.04989767
-473.82780335,5.04989767
-473.66780335,5.04989767
-473.50780335,5.04989767
-473.34780335,5.04989767
-473.18780335,5.04989767
-473.02780335,5.04989767
-472.86780335,5.04989767
-472.70780335,5.04989767
-472.54780335,5.04989767
-472.38780336,5.04989767
-472.22780336,5.04989767
-472.06780336,5.04989767
-471.90780336,5.04989767
-471.74780336,5.04989767
-471.58780336,5.04989767
-471.42780336,5.04989767
-471.26780336,5.04989767
-471.10780336,5.04989767
-470.94780336,5.04989767
-470.78780337,5.04989767
-470.62780337,5.04989767
-470.46780337,5.04989767
-470.30780337,5.04989767
-470.14780337,5.04989767
-469.98780337,5.04989767
-469.82780337,5.04989767
-469.66780337,5.04989767
-469.50780337,5.04989767
-469.34780337,5.04989767
-469.18780338,5.04989767
-469.02780338,5.04989767
-468.86780338,5.04989767
-468.70780338,5.04989767
-468.54780338,5.04989767
-468.38780338,5.04989767
-468.22780338,5.04989767
-468.06780338,5.04989767
-467.90780338,5.04989767
-467.74780338,5.04989767
-467.58780339,5.04989767
-467.42780339,5.04989767
-467.26780339,5.04989767
-467.10780339,5.04989767
-466.94780339,5.04989767
-466.78780339,5.04989767
-466.62780339,5.04989767
-466.46780339,5.04989767
-466.30780339,5.04989767
-466.14780339,5.04989767
-465.98780339,5.04989767
-465.82780340,5.04989767
-465.66780340,5.04989767
-465.50780340,5.04989767
-465.34780340,5.04989767
-465.18780340,5.04989767
-465.02780340,5.04989767
-464.86780340,5.04989767
-464.70780340,5.04989767
-464.54780340,5.04989767
-464.38780340,5.04989767
-464.22780341,5.04989767
-464.06780341,5.04989767
-463.90780341,5.04989767
-463.74780341,5.04989767
-463.58780341,5.04989767
-463.42780341,5.04989767
-463.26780341,5.04989767
-463.10780341,5.04989767
-462.94780341,5.04989767
-462.78780341,5.04989767
-462.62780342,5.04989767
-462.46780342,5.04989767
-462.30780342,5.04989767
-462.14780342,5.04989767
-461.98780342,5.04989767
-461.82780342,5.04989767
-461.66780342,5.04989767
-461.50780342,5.04989767
-461.34780342,5.04989767
-461.18780342,5.04989767
-461.02780342,5.04989767
-460.86780343,5.04989767
-460.70780343,5.04989767
-460.54780343,5.04989767
-460.38780343,5.04989767
-460.22780343,5.04989767
-460.06780343,5.04989767
-459.90780343,5.04989767
-459.74780343,5.04989767
-459.58780343,5.04989767
-459.42780343,5.04989767
-459.26780344,5.04989767
-459.10780344,5.04989767
-458.94780344,5.04989767
-458.78780344,5.04989767
-458.62780344,5.04989767
-458.46780344,5.04989767
-458.30780344,5.04989767
-458.14780344,5.04989767
-457.98780344,5.04989767
-457.82780344,5.04989767
-457.66780345,5.04989767
-457.50780345,4.96108913
-457.34780345,5.04989767
-457.18780345,5.04989767
-457.02780345,5.04989767
-456.86780345,5.04989767
-456.70780345,5.04989767
-456.54780345,5.04989767
-456.38780345,5.04989767
-456.22780345,5.04989767
-456.06780346,5.04989767
-455.90780346,5.04989767
-455.74780346,5.04989767
-455.58780346,5.04989767
-455.42780346,5.04989767
-455.26780346,5.04989767
-455.10780346,5.04989767
-454.94780346,5.04989767
-454.78780346,5.04989767
-454.62780346,5.04989767
-454.46780346,5.04989767
-454.30780347,5.04989767
-454.14780347,5.04989767
-453.98780347,5.04989767
-453.82780347,5.04989767
-453.66780347,5.04989767
-453.50780347,5.04989767
-453.34780347,5.04989767
-453.18780347,5.04989767
-453.02780347,5.04989767
-452.86780347,5.04989767
-452.70780348,5.04989767
-452.54780348,5.04989767
-452.38780348,5.04989767
-452.22780348,5.04989767
-452.06780348,5.04989767
-451.90780348,5.04989767
-451.74780348,5.04989767
-451.58780348,5.04989767
-451.42780348,5.04989767
-451.26780348,5.04989767
-451.10780349,5.04989767
-450.94780349,5.04989767
-450.78780349,5.04989767
-450.62780349,5.04989767
-450.46780349,5.04989767
-450.30780349,5.04989767
-450.14780349,5.04989767
-449.98780349,5.04989767
-449.82780349,5.04989767
-449.66780349,5.04989767
-449.50780349,5.04989767
-449.34780350,5.04989767
-449.18780350,5.04989767
-449.02780350,5.04989767
-448.86780350,5.04989767
-448.70780350,5.04989767
-448.54780350,5.04989767
-448.38780350,5.04989767
-448.22780350,5.04989767
-448.06780350,5.04989767
-447.90780350,5.04989767
-447.74780351,5.04989767
-447.58780351,5.04989767
-447.42780351,5.04989767
-447.26780351,5.04989767
-447.10780351,5.04989767
-446.94780351,5.04989767
-446.78780351,5.04989767
-446.62780351,5.04989767
-446.46780351,5.04989767
-446.30780351,5.04989767
-446.14780352,5.04989767
-445.98780352,5.04989767
-445.82780352,5.04989767
-445.66780352,5.04989767
-445.50780352,5.04989767
-445.34780352,5.04989767
-445.18780352,5.04989767
-445.02780352,5.04989767
-444.86780352,5.04989767
-444.70780352,5.04989767
