"I (A)","s(I) (A)","U (V)","s(U) (V)"
-100.000000E-9,NaN,22.080762E-3,NaN
-100.000000E-9,NaN,72.458614E-3,NaN
0.000000E+0,NaN,122.704376E-3,NaN
0.000000E+0,NaN,172.875481E-3,NaN
100.000000E-9,NaN,213.104709E-3,NaN
0.000000E+0,NaN,272.122504E-3,NaN
0.000000E+0,NaN,322.325047E-3,NaN
0.000000E+0,NaN,361.912668E-3,NaN
0.000000E+0,NaN,421.977360E-3,NaN
100.000000E-9,NaN,462.203363E-3,NaN
0.000000E+0,NaN,521.871289E-3,NaN
100.000000E-9,NaN,572.050640E-3,NaN
0.000000E+0,NaN,622.358924E-3,NaN
0.000000E+0,NaN,672.555409E-3,NaN
0.000000E+0,NaN,722.034471E-3,NaN
100.000000E-9,NaN,771.114388E-3,NaN
0.000000E+0,NaN,812.426547E-3,NaN
0.000000E+0,NaN,866.453728E-3,NaN
0.000000E+0,NaN,912.255336E-3,NaN
0.000000E+0,NaN,972.482878E-3,NaN
100.000000E-9,NaN,1.021993E+0,NaN
0.000000E+0,NaN,1.072170E+0,NaN
100.000000E-9,NaN,1.112783E+0,NaN
100.000000E-9,NaN,1.162539E+0,NaN
100.000000E-9,NaN,1.222033E+0,NaN
100.000000E-9,NaN,1.272301E+0,NaN
100.000000E-9,NaN,1.322364E+0,NaN
200.000000E-9,NaN,1.371808E+0,NaN
600.000000E-9,NaN,1.421721E+0,NaN
1.300000E-6,NaN,1.471097E+0,NaN
3.200000E-6,NaN,1.518771E+0,NaN
7.800000E-6,NaN,1.564432E+0,NaN
17.400000E-6,NaN,1.603284E+0,NaN
33.900000E-6,NaN,1.637693E+0,NaN
58.000000E-6,NaN,1.663584E+0,NaN
87.600000E-6,NaN,1.683789E+0,NaN
121.300000E-6,NaN,1.699883E+0,NaN
157.200000E-6,NaN,1.713269E+0,NaN
195.500000E-6,NaN,1.724880E+0,NaN
235.000000E-6,NaN,1.735130E+0,NaN
