"I (A)","s(I) (A)","U (V)","s(U) (V)"
100.000000E-9,NaN,22.317438E-3,NaN
100.000000E-9,NaN,72.673274E-3,NaN
200.000000E-9,NaN,122.908568E-3,NaN
300.000000E-9,NaN,173.028319E-3,NaN
500.000000E-9,NaN,212.539191E-3,NaN
900.000000E-9,NaN,271.497287E-3,NaN
2.400000E-6,NaN,320.249022E-3,NaN
5.900000E-6,NaN,357.049818E-3,NaN
14.000000E-6,NaN,399.921076E-3,NaN
28.900000E-6,NaN,443.417562E-3,NaN
51.200000E-6,NaN,470.459332E-3,NaN
80.300000E-6,NaN,491.329988E-3,NaN
114.000000E-6,NaN,504.358864E-3,NaN
150.900000E-6,NaN,517.958665E-3,NaN
189.500000E-6,NaN,531.141901E-3,NaN
230.000000E-6,NaN,540.218164E-3,NaN
272.000000E-6,NaN,548.015232E-3,NaN
314.300000E-6,NaN,554.869337E-3,NaN
358.000000E-6,NaN,559.774762E-3,NaN
402.100000E-6,NaN,566.550975E-3,NaN
446.300000E-6,NaN,571.511492E-3,NaN
491.400000E-6,NaN,576.133945E-3,NaN
536.900000E-6,NaN,579.981042E-3,NaN
582.500000E-6,NaN,584.340397E-3,NaN
628.000000E-6,NaN,587.263200E-3,NaN
674.200000E-6,NaN,590.772651E-3,NaN
720.700000E-6,NaN,594.073974E-3,NaN
766.700000E-6,NaN,597.159346E-3,NaN
813.400000E-6,NaN,600.700244E-3,NaN
860.300000E-6,NaN,603.478902E-3,NaN
907.000000E-6,NaN,606.083919E-3,NaN
954.200000E-6,NaN,608.629990E-3,NaN
1.001500E-3,NaN,611.047834E-3,NaN
1.048100E-3,NaN,612.876163E-3,NaN
1.095700E-3,NaN,615.117223E-3,NaN
1.143000E-3,NaN,617.728760E-3,NaN
1.190700E-3,NaN,619.369188E-3,NaN
1.237900E-3,NaN,621.764292E-3,NaN
1.285800E-3,NaN,623.313917E-3,NaN
1.333500E-3,NaN,625.189446E-3,NaN
1.380800E-3,NaN,627.346471E-3,NaN
1.428700E-3,NaN,629.105680E-3,NaN
1.476700E-3,NaN,630.457544E-3,NaN
1.524000E-3,NaN,632.442100E-3,NaN
1.572200E-3,NaN,634.048105E-3,NaN
1.620300E-3,NaN,635.570795E-3,NaN
