"I (A)","s(I) (A)","U (V)","s(U) (V)"
1.300000E-6,NaN,5.998186E+0,NaN
1.500000E-6,NaN,6.048435E+0,NaN
1.600000E-6,NaN,6.098549E+0,NaN
1.800000E-6,NaN,6.148497E+0,NaN
1.900000E-6,NaN,6.197942E+0,NaN
2.300000E-6,NaN,6.247832E+0,NaN
2.600000E-6,NaN,6.297552E+0,NaN
3.100000E-6,NaN,6.346828E+0,NaN
3.700000E-6,NaN,6.396322E+0,NaN
4.600000E-6,NaN,6.445812E+0,NaN
5.700000E-6,NaN,6.494187E+0,NaN
7.400000E-6,NaN,6.542563E+0,NaN
10.300000E-6,NaN,6.589906E+0,NaN
14.900000E-6,NaN,6.634806E+0,NaN
24.200000E-6,NaN,6.675774E+0,NaN
42.700000E-6,NaN,6.707074E+0,NaN
81.200000E-6,NaN,6.718512E+0,NaN
130.100000E-6,NaN,6.718833E+0,NaN
178.800000E-6,NaN,6.719544E+0,NaN
227.400000E-6,NaN,6.720791E+0,NaN
275.700000E-6,NaN,6.721671E+0,NaN
324.400000E-6,NaN,6.722448E+0,NaN
373.300000E-6,NaN,6.723083E+0,NaN
421.800000E-6,NaN,6.723707E+0,NaN
470.900000E-6,NaN,6.724215E+0,NaN
520.000000E-6,NaN,6.724758E+0,NaN
569.200000E-6,NaN,6.725296E+0,NaN
617.800000E-6,NaN,6.725791E+0,NaN
667.000000E-6,NaN,6.726302E+0,NaN
716.300000E-6,NaN,6.726675E+0,NaN
764.800000E-6,NaN,6.727142E+0,NaN
814.200000E-6,NaN,6.727559E+0,NaN
863.200000E-6,NaN,6.727987E+0,NaN
912.200000E-6,NaN,6.728492E+0,NaN
961.300000E-6,NaN,6.728936E+0,NaN
1.010500E-3,NaN,6.729320E+0,NaN
1.060000E-3,NaN,6.729797E+0,NaN
1.108500E-3,NaN,6.730234E+0,NaN
1.157600E-3,NaN,6.730777E+0,NaN
1.206900E-3,NaN,6.731132E+0,NaN
1.255500E-3,NaN,6.731614E+0,NaN
1.304600E-3,NaN,6.731881E+0,NaN
1.354200E-3,NaN,6.732446E+0,NaN
1.402800E-3,NaN,6.732847E+0,NaN
1.452000E-3,NaN,6.733277E+0,NaN
1.501100E-3,NaN,6.733696E+0,NaN
1.550000E-3,NaN,6.734062E+0,NaN
1.599100E-3,NaN,6.734455E+0,NaN
1.648600E-3,NaN,6.734939E+0,NaN
1.697700E-3,NaN,6.735244E+0,NaN
1.746300E-3,NaN,6.735603E+0,NaN
