"I (A)","s(I) (A)","U (V)","s(U) (V)"
5.700000E-6,100.000000E-9,6.493919E+0,70.421904E-6
7.466667E-6,57.735027E-9,6.542441E+0,48.596630E-6
10.200000E-6,2.074799E-21,6.589900E+0,36.087905E-6
14.933333E-6,115.470054E-9,6.634777E+0,71.235114E-6
24.066667E-6,57.735027E-9,6.675816E+0,47.470671E-6
42.733333E-6,57.735027E-9,6.707085E+0,24.055414E-6
80.833333E-6,57.735027E-9,6.718781E+0,36.765716E-6
129.533333E-6,57.735027E-9,6.719102E+0,42.401798E-6
178.300000E-6,100.000000E-9,6.719915E+0,32.478992E-6
226.833333E-6,57.735027E-9,6.721133E+0,109.775027E-6
274.966667E-6,57.735027E-9,6.722068E+0,46.222015E-6
323.833333E-6,57.735027E-9,6.722897E+0,48.617573E-6
372.800000E-6,100.000000E-9,6.723580E+0,27.634404E-6
421.200000E-6,100.000000E-9,6.724194E+0,36.609359E-6
470.400000E-6,100.000000E-9,6.724744E+0,26.186258E-6
519.500000E-6,100.000000E-9,6.725222E+0,91.442534E-6
568.566667E-6,57.735027E-9,6.725781E+0,28.752050E-6
617.166667E-6,57.735027E-9,6.726324E+0,63.036913E-6
666.333333E-6,152.752523E-9,6.726791E+0,95.758455E-6
715.566667E-6,152.752523E-9,6.727340E+0,51.000277E-6
764.100000E-6,100.000000E-9,6.727766E+0,45.610295E-6
813.300000E-6,100.000000E-9,6.728226E+0,90.776082E-6
862.433333E-6,115.470054E-9,6.728691E+0,12.180740E-6
911.333333E-6,57.735027E-9,6.729117E+0,92.436337E-6
960.566667E-6,57.735027E-9,6.729572E+0,73.984641E-6
1.009900E-3,100.000000E-9,6.729955E+0,114.087469E-6
1.059033E-3,152.752523E-9,6.730437E+0,37.137626E-6
1.107700E-3,100.000000E-9,6.730916E+0,66.543164E-6
1.156867E-3,115.470054E-9,6.731328E+0,46.783460E-6
1.206067E-3,115.470054E-9,6.731819E+0,53.678503E-6
1.254833E-3,251.661148E-9,6.732195E+0,63.383198E-6
1.304033E-3,152.752523E-9,6.732687E+0,31.804807E-6
1.353067E-3,57.735027E-9,6.733140E+0,94.861839E-6
1.401767E-3,152.752523E-9,6.733503E+0,87.693503E-6
1.451000E-3,100.000000E-9,6.733966E+0,35.115519E-6
1.500233E-3,115.470054E-9,6.734415E+0,47.892968E-6
1.549000E-3,0.000000E+0,6.734741E+0,84.046509E-6
1.598300E-3,100.000000E-9,6.735199E+0,5.482247E-6
1.647500E-3,265.574210E-21,6.735550E+0,3.339301E-6
1.696767E-3,115.470054E-9,6.735962E+0,58.866718E-6
1.745433E-3,152.752523E-9,6.736313E+0,106.613287E-6
1.794600E-3,200.000000E-9,6.736717E+0,83.576124E-6
1.843900E-3,100.000000E-9,6.737147E+0,42.249703E-6
1.892567E-3,152.752523E-9,6.737596E+0,64.451335E-6
1.941833E-3,152.752523E-9,6.737912E+0,29.196893E-6
1.991233E-3,115.470054E-9,6.738364E+0,14.821445E-6
2.039733E-3,115.470054E-9,6.738749E+0,66.632067E-6
2.089033E-3,57.735027E-9,6.739125E+0,34.500161E-6
2.138367E-3,57.735027E-9,6.739429E+0,13.375137E-6
2.187767E-3,115.470054E-9,6.739815E+0,45.330712E-6
2.236467E-3,115.470054E-9,6.740151E+0,85.264357E-6
2.285700E-3,0.000000E+0,6.740510E+0,45.751734E-6
2.335067E-3,57.735027E-9,6.740853E+0,85.814162E-6
2.383733E-3,115.470054E-9,6.741188E+0,60.977836E-6
2.433067E-3,57.735027E-9,6.741501E+0,61.866819E-6
2.482367E-3,57.735027E-9,6.741871E+0,31.103367E-6
2.531200E-3,0.000000E+0,6.742176E+0,49.298013E-6
2.580533E-3,152.752523E-9,6.742499E+0,28.652313E-6
2.629800E-3,100.000000E-9,6.742841E+0,72.044304E-6
2.679167E-3,57.735027E-9,6.743099E+0,121.719639E-6
2.727933E-3,57.735027E-9,6.743431E+0,83.713952E-6
2.777233E-3,57.735027E-9,6.743776E+0,71.880781E-6
2.826700E-3,100.000000E-9,6.744071E+0,27.756244E-6
2.875367E-3,57.735027E-9,6.744396E+0,51.214660E-6
2.924767E-3,57.735027E-9,6.744725E+0,132.035453E-6
2.974067E-3,57.735027E-9,6.745013E+0,48.383865E-6
3.022767E-3,57.735027E-9,6.745299E+0,61.607191E-6
3.072167E-3,57.735027E-9,6.745653E+0,50.725716E-6
3.121567E-3,57.735027E-9,6.745931E+0,57.902957E-6
3.170333E-3,152.752523E-9,6.746309E+0,70.805195E-6
3.219667E-3,152.752523E-9,6.746554E+0,56.601057E-6
3.268933E-3,57.735027E-9,6.746832E+0,68.902082E-6
3.318267E-3,115.470054E-9,6.747199E+0,41.145854E-6
3.367000E-3,100.000000E-9,6.747439E+0,55.191393E-6
3.416400E-3,100.000000E-9,6.747758E+0,71.763459E-6
3.465967E-3,115.470054E-9,6.748069E+0,70.682759E-6
3.514667E-3,57.735027E-9,6.748353E+0,63.281851E-6
3.564033E-3,57.735027E-9,6.748689E+0,15.170672E-6
3.613467E-3,57.735027E-9,6.748973E+0,57.881710E-6
3.662233E-3,115.470054E-9,6.749276E+0,53.718640E-6
3.711633E-3,57.735027E-9,6.749561E+0,15.770672E-6
3.761133E-3,57.735027E-9,6.749767E+0,50.415288E-6
3.810533E-3,57.735027E-9,6.750113E+0,59.068614E-6
3.859133E-3,152.752523E-9,6.750315E+0,31.922767E-6
3.908567E-3,57.735027E-9,6.750615E+0,67.571401E-6
3.958000E-3,100.000000E-9,6.750919E+0,12.439535E-6
4.006700E-3,100.000000E-9,6.751177E+0,36.795892E-6
4.056067E-3,57.735027E-9,6.751490E+0,34.813321E-6
4.105633E-3,57.735027E-9,6.751786E+0,73.301074E-6
4.154267E-3,57.735027E-9,6.752036E+0,71.278747E-6
4.203633E-3,57.735027E-9,6.752262E+0,84.654508E-6
4.253100E-3,0.000000E+0,6.752559E+0,37.898519E-6
4.301867E-3,115.470054E-9,6.752760E+0,23.461476E-6
4.351233E-3,57.735027E-9,6.753024E+0,72.231751E-6
4.400900E-3,100.000000E-9,6.753386E+0,53.817657E-6
4.450267E-3,57.735027E-9,6.753589E+0,38.929070E-6
4.499033E-3,57.735027E-9,6.753921E+0,103.033967E-6
4.548367E-3,57.735027E-9,6.754082E+0,47.328455E-6
4.597833E-3,57.735027E-9,6.754390E+0,36.708728E-6
4.646467E-3,57.735027E-9,6.754622E+0,15.878389E-6
4.695867E-3,57.735027E-9,6.754965E+0,19.909800E-6
4.745433E-3,57.735027E-9,6.755179E+0,31.118326E-6
4.794133E-3,57.735027E-9,6.755425E+0,43.075984E-6
4.843533E-3,115.470054E-9,6.755724E+0,67.695620E-6
4.892933E-3,57.735027E-9,6.755932E+0,44.059071E-6
4.942300E-3,100.000000E-9,6.756197E+0,85.101443E-6
4.991100E-3,100.000000E-9,6.756451E+0,26.322958E-6
5.040467E-3,115.470054E-9,6.756687E+0,105.223540E-6
5.090000E-3,100.000000E-9,6.756971E+0,102.912635E-6
5.138800E-3,100.000000E-9,6.757183E+0,83.914051E-6
5.188200E-3,100.000000E-9,6.757450E+0,65.998158E-6
