"I (A)","s(I) (A)","U (V)","s(U) (V)"
100.000000E-9,NaN,22.338819E-3,NaN
0.000000E+0,NaN,72.680988E-3,NaN
100.000000E-9,NaN,122.927937E-3,NaN
100.000000E-9,NaN,173.108069E-3,NaN
100.000000E-9,NaN,212.801293E-3,NaN
0.000000E+0,NaN,272.345864E-3,NaN
-100.000000E-9,NaN,322.545742E-3,NaN
200.000000E-9,NaN,362.117381E-3,NaN
300.000000E-9,NaN,421.971006E-3,NaN
1.200000E-6,NaN,471.303227E-3,NaN
3.800000E-6,NaN,518.373920E-3,NaN
11.400000E-6,NaN,561.043917E-3,NaN
27.500000E-6,NaN,588.187121E-3,NaN
53.400000E-6,NaN,619.172847E-3,NaN
85.400000E-6,NaN,632.763705E-3,NaN
122.400000E-6,NaN,648.847584E-3,NaN
162.500000E-6,NaN,658.466779E-3,NaN
203.900000E-6,NaN,664.869016E-3,NaN
247.100000E-6,NaN,672.992356E-3,NaN
291.200000E-6,NaN,678.538005E-3,NaN
335.600000E-6,NaN,682.345158E-3,NaN
381.200000E-6,NaN,687.546907E-3,NaN
427.000000E-6,NaN,691.349320E-3,NaN
473.300000E-6,NaN,694.764319E-3,NaN
519.300000E-6,NaN,697.542785E-3,NaN
566.300000E-6,NaN,700.123080E-3,NaN
613.200000E-6,NaN,703.261899E-3,NaN
660.000000E-6,NaN,705.735525E-3,NaN
707.300000E-6,NaN,708.002289E-3,NaN
754.900000E-6,NaN,709.982691E-3,NaN
802.000000E-6,NaN,711.727851E-3,NaN
849.700000E-6,NaN,714.001613E-3,NaN
897.600000E-6,NaN,715.787550E-3,NaN
945.100000E-6,NaN,717.133272E-3,NaN
993.000000E-6,NaN,719.077981E-3,NaN
1.041200E-3,NaN,720.617167E-3,NaN
1.089300E-3,NaN,722.088912E-3,NaN
1.137300E-3,NaN,723.455186E-3,NaN
1.185700E-3,NaN,724.556257E-3,NaN
1.234000E-3,NaN,726.004611E-3,NaN
1.281800E-3,NaN,727.343088E-3,NaN
1.330300E-3,NaN,728.312726E-3,NaN
1.378800E-3,NaN,729.701970E-3,NaN
1.426800E-3,NaN,730.813614E-3,NaN
1.475400E-3,NaN,731.885574E-3,NaN
1.524000E-3,NaN,732.935120E-3,NaN
1.572700E-3,NaN,733.740694E-3,NaN
1.620800E-3,NaN,734.916118E-3,NaN
1.669500E-3,NaN,735.877508E-3,NaN
1.718200E-3,NaN,736.792976E-3,NaN
1.766700E-3,NaN,737.617998E-3,NaN
1.815500E-3,NaN,738.570628E-3,NaN
1.864400E-3,NaN,739.251104E-3,NaN
1.912700E-3,NaN,740.243172E-3,NaN
1.961300E-3,NaN,741.051002E-3,NaN
2.010300E-3,NaN,741.843469E-3,NaN
2.059300E-3,NaN,742.614232E-3,NaN
2.107700E-3,NaN,743.216503E-3,NaN
2.156600E-3,NaN,744.100083E-3,NaN
2.205500E-3,NaN,744.821501E-3,NaN
2.253700E-3,NaN,745.530974E-3,NaN
2.302700E-3,NaN,746.211226E-3,NaN
2.351800E-3,NaN,746.757213E-3,NaN
2.400400E-3,NaN,747.409445E-3,NaN
2.449500E-3,NaN,748.058720E-3,NaN
2.498500E-3,NaN,748.820504E-3,NaN
2.546900E-3,NaN,749.434979E-3,NaN
2.595900E-3,NaN,750.052538E-3,NaN
2.645000E-3,NaN,750.643517E-3,NaN
2.694100E-3,NaN,751.228205E-3,NaN
2.742700E-3,NaN,751.694870E-3,NaN
2.791800E-3,NaN,752.383801E-3,NaN
2.840900E-3,NaN,752.911849E-3,NaN
2.889200E-3,NaN,753.363260E-3,NaN
2.938500E-3,NaN,754.021265E-3,NaN
2.987600E-3,NaN,754.550411E-3,NaN
3.036100E-3,NaN,755.069774E-3,NaN
3.085400E-3,NaN,755.586848E-3,NaN
3.134300E-3,NaN,756.082321E-3,NaN
3.183700E-3,NaN,756.581992E-3,NaN
3.232100E-3,NaN,757.002900E-3,NaN
3.281300E-3,NaN,757.461771E-3,NaN
3.330500E-3,NaN,757.932841E-3,NaN
3.379200E-3,NaN,758.499986E-3,NaN
3.428300E-3,NaN,758.962077E-3,NaN
3.477500E-3,NaN,759.414668E-3,NaN
3.526300E-3,NaN,759.862191E-3,NaN
3.575500E-3,NaN,760.215111E-3,NaN
3.624700E-3,NaN,760.655217E-3,NaN
3.673400E-3,NaN,761.171844E-3,NaN
3.722600E-3,NaN,761.586276E-3,NaN
3.771900E-3,NaN,762.009591E-3,NaN
3.821000E-3,NaN,762.437675E-3,NaN
3.869700E-3,NaN,762.815935E-3,NaN
3.919100E-3,NaN,763.164663E-3,NaN
3.968300E-3,NaN,763.638621E-3,NaN
4.016900E-3,NaN,763.954022E-3,NaN
4.066300E-3,NaN,764.422400E-3,NaN
4.115600E-3,NaN,764.809515E-3,NaN
4.164300E-3,NaN,765.177785E-3,NaN
4.213400E-3,NaN,765.557794E-3,NaN
4.263000E-3,NaN,765.936522E-3,NaN
4.312400E-3,NaN,766.305400E-3,NaN
4.361000E-3,NaN,766.602437E-3,NaN
4.410300E-3,NaN,767.029605E-3,NaN
4.459500E-3,NaN,767.379419E-3,NaN
4.508300E-3,NaN,767.726841E-3,NaN
4.557600E-3,NaN,768.068284E-3,NaN
4.607000E-3,NaN,768.424176E-3,NaN
4.655700E-3,NaN,768.692580E-3,NaN
4.705000E-3,NaN,769.033633E-3,NaN
4.754400E-3,NaN,769.432341E-3,NaN
4.803700E-3,NaN,769.754954E-3,NaN
4.852300E-3,NaN,770.082032E-3,NaN
4.901900E-3,NaN,770.348679E-3,NaN
4.951200E-3,NaN,770.732695E-3,NaN
5.000100E-3,NaN,770.983129E-3,NaN
5.049400E-3,NaN,771.297974E-3,NaN
5.098800E-3,NaN,771.603741E-3,NaN
5.147500E-3,NaN,771.973233E-3,NaN
5.196800E-3,NaN,772.287760E-3,NaN
5.246400E-3,NaN,772.587291E-3,NaN
5.295000E-3,NaN,772.829080E-3,NaN
5.344400E-3,NaN,773.118698E-3,NaN
5.393800E-3,NaN,773.469031E-3,NaN
