"Frequency[kHz]","Channel A[dBu]"

0.00000000,-22.83397000
0.04768372,-29.33773000
0.09536743,-43.34206000
0.14305115,-50.55558000
0.19073486,-50.19859000
0.23841858,-48.01525000
0.28610229,-48.97061000
0.33378601,-50.63297000
0.38146973,-52.78585000
0.42915344,-52.51464000
0.47683716,-51.42553000
0.52452087,-56.01891000
0.57220459,-53.56580000
0.61988831,-51.64213000
0.66757202,-50.90156000
0.71525574,-48.80083000
0.76293945,-48.52234000
0.81062317,-53.67144000
0.85830688,-55.73386000
0.90599060,-55.93854000
0.95367432,-58.65845000
1.00135803,-55.47289000
1.04904175,-50.73914000
1.09672546,-49.72469000
1.14440918,-50.83533000
1.19209290,-54.81643000
1.23977661,-60.32245000
1.28746033,-68.45982000
1.33514404,-56.98129000
1.38282776,-61.66757000
1.43051147,-64.65633000
1.47819519,-54.03116000
1.52587891,-54.16114000
1.57356262,-53.45230000
1.62124634,-41.71444000
1.66893005,-36.30103000
1.71661377,-23.85134000
1.76429749,-12.46998000
1.81198120,-9.20301000
1.85966492,-13.23075000
1.90734863,-25.75599000
1.95503235,-36.89736000
2.00271606,-42.31604000
2.05039978,-54.05308000
2.09808350,-51.16082000
2.14576721,-51.65342000
2.19345093,-57.44921000
2.24113464,-62.29626000
2.28881836,-54.31198000
2.33650208,-67.93803000
2.38418579,-60.84045000
2.43186951,-61.11411000
2.47955322,-58.50507000
2.52723694,-59.55065000
2.57492065,-56.02509000
2.62260437,-52.98939000
2.67028809,-55.73517000
2.71797180,-59.17044000
2.76565552,-61.30529000
2.81333923,-63.23603000
2.86102295,-56.97618000
2.90870667,-61.07952000
2.95639038,-52.89127000
3.00407410,-53.35218000
3.05175781,-58.47593000
3.09944153,-62.25525000
3.14712524,-51.58327000
3.19480896,-47.05931000
3.24249268,-45.67818000
3.29017639,-47.32471000
3.33786011,-49.15329000
3.38554382,-45.91085000
3.43322754,-45.40370000
3.48091125,-45.86862000
3.52859497,-46.39501000
3.57627869,-48.10339000
3.62396240,-54.94670000
3.67164612,-57.35830000
3.71932983,-57.32069000
3.76701355,-49.01060000
3.81469727,-45.79216000
3.86238098,-45.01251000
3.91006470,-44.84684000
3.95774841,-44.70804000
4.00543213,-45.01541000
4.05311584,-44.69519000
4.10079956,-46.43978000
4.14848328,-53.43452000
4.19616699,-62.73238000
4.24385071,-57.90017000
4.29153442,-54.64176000
4.33921814,-56.35253000
4.38690186,-55.71484000
4.43458557,-51.78458000
4.48226929,-54.54472000
4.52995300,-66.89632000
4.57763672,-59.03052000
4.62532043,-58.00574000
4.67300415,-56.76118000
4.72068787,-60.33632000
4.76837158,-62.42287000
4.81605530,-60.04158000
4.86373901,-64.24329000
4.91142273,-64.98335000
4.95910645,-56.99301000
5.00679016,-53.01617000
5.05447388,-56.50642000
5.10215759,-59.11892000
5.14984131,-65.71820000
5.19752502,-61.90195000
5.24520874,-53.71429000
5.29289246,-49.26600000
5.34057617,-46.60753000
5.38825989,-46.80111000
5.43594360,-46.07487000
5.48362732,-45.41578000
5.53131104,-46.08830000
5.57899475,-48.35039000
5.62667847,-56.19901000
5.67436218,-57.95875000
5.72204590,-51.01192000
5.76972961,-51.53369000
5.81741333,-58.75987000
5.86509705,-57.85443000
5.91278076,-55.28197000
5.96046448,-54.20819000
6.00814819,-54.06709000
6.05583191,-52.08389000
6.10351563,-51.97824000
6.15119934,-53.62066000
6.19888306,-59.83849000
6.24656677,-59.63969000
6.29425049,-56.03624000
6.34193420,-66.19471000
6.38961792,-70.96730000
6.43730164,-55.82455000
6.48498535,-51.13978000
