Frequency;Channel A
(kHz);(dBu)

0,00000000;-28,38831000
0,04768372;-33,84578000
0,09536743;-41,56932000
0,14305115;-48,37712000
0,19073486;-57,27905000
0,23841858;-72,88690000
0,28610229;-59,43034000
0,33378601;-53,81169000
0,38146973;-31,66172000
0,42915344;-21,89369000
0,47683716;-19,71268000
0,52452087;-24,67171000
0,57220459;-38,89325000
0,61988831;-51,75030000
0,66757202;-50,37314000
0,71525574;-46,94108000
0,76293945;-43,49138000
0,81062317;-43,70850000
0,85830688;-52,58754000
0,90599060;-45,84780000
0,95367432;-47,74654000
1,00135803;-57,01362000
1,04904175;-52,26314000
1,09672546;-69,35455000
1,14440918;-53,48551000
1,19209290;-51,30139000
1,23977661;-51,04633000
1,28746033;-54,87183000
1,33514404;-59,64698000
1,38282776;-50,71323000
1,43051147;-50,12144000
1,47819519;-48,71387000
1,52587891;-46,32707000
1,57356262;-43,38344000
1,62124634;-46,72069000
1,66893005;-47,40767000
1,71661377;-38,56210000
1,76429749;-26,50400000
1,81198120;-23,55914000
1,85966492;-27,45110000
1,90734863;-38,82762000
1,95503235;-56,81545000
2,00271606;-54,94498000
2,05039978;-51,49657000
2,09808350;-51,77066000
2,14576721;-61,90870000
2,19345093;-59,14854000
2,24113464;-56,25698000
2,28881836;-62,49318000
2,33650208;-53,32247000
2,38418579;-61,19146000
2,43186951;-53,52055000
2,47955322;-48,59984000
2,52723694;-47,49915000
2,57492065;-47,18867000
2,62260437;-47,80874000
2,67028809;-51,55150000
2,71797180;-59,11679000
2,76565552;-49,71360000
2,81333923;-47,95298000
2,86102295;-53,45452000
2,90870667;-61,28527000
2,95639038;-60,22750000
3,00407410;-63,01991000
3,05175781;-52,65297000
3,09944153;-46,84259000
3,14712524;-49,06484000
3,19480896;-71,94263000
3,24249268;-51,92128000
3,29017639;-48,85515000
3,33786011;-50,07309000
3,38554382;-51,71864000
3,43322754;-50,41034000
3,48091125;-50,34638000
3,52859497;-55,47875000
3,57627869;-60,34469000
3,62396240;-57,51968000
3,67164612;-60,66497000
3,71932983;-58,00573000
3,76701355;-51,55376000
3,81469727;-53,57742000
3,86238098;-53,41355000
3,91006470;-50,29663000
3,95774841;-52,71666000
4,00543213;-55,38992000
4,05311584;-57,08038000
4,10079956;-58,09572000
4,14848328;-60,02919000
4,19616699;-55,63326000
4,24385071;-52,42829000
4,29153442;-51,56816000
4,33921814;-48,39386000
4,38690186;-49,93957000
4,43458557;-53,03662000
4,48226929;-60,32553000
4,52995300;-64,33983000
4,57763672;-58,70938000
4,62532043;-56,96714000
4,67300415;-61,35957000
4,72068787;-59,09039000
4,76837158;-54,59892000
4,81605530;-51,39315000
4,86373901;-51,09657000
4,91142273;-52,92500000
4,95910645;-52,50551000
5,00679016;-50,45796000
5,05447388;-50,35186000
5,10215759;-51,94323000
5,14984131;-50,04597000
5,19752502;-49,03350000
5,24520874;-49,70578000
5,29289246;-51,61592000
5,34057617;-51,93599000
5,38825989;-51,62119000
5,43594360;-55,01781000
5,48362732;-67,27847000
5,53131104;-72,54163000
5,57899475;-62,23383000
5,62667847;-54,84798000
5,67436218;-51,59634000
5,72204590;-50,35608000
5,76972961;-48,81651000
5,81741333;-50,17395000
5,86509705;-59,89584000
5,91278076;-57,50721000
5,96046448;-59,06989000
6,00814819;-60,38039000
6,05583191;-58,90927000
6,10351563;-53,70287000
6,15119934;-48,93747000
6,19888306;-54,65254000
6,24656677;-65,31110000
6,29425049;-55,60162000
