"Frequency[kHz]","Channel[dBu]"
0.00000000,-24.85679000
0.04768372,-31.41762000
0.09536743,-42.60812000
0.14305115,-47.24667000
0.19073486,-52.51031000
0.23841858,-48.83035000
0.28610229,-47.37984000
0.33378601,-50.25063000
0.38146973,-51.06590000
0.42915344,-47.03395000
0.47683716,-46.40926000
0.52452087,-47.88014000
0.57220459,-51.12907000
0.61988831,-52.35321000
0.66757202,-62.81271000
0.71525574,-56.87175000
0.76293945,-49.51177000
0.81062317,-48.60686000
0.85830688,-50.49031000
0.90599060,-41.18157000
0.95367432,-25.97616000
1.00135803,-12.75681000
1.04904175,-8.71844300
1.09672546,-12.44489000
1.14440918,-25.21777000
1.19209290,-40.10120000
1.23977661,-48.96908000
1.28746033,-53.99291000
1.33514404,-49.18940000
1.38282776,-50.21088000
1.43051147,-49.24711000
1.47819519,-63.94565000
1.52587891,-57.72046000
1.57356262,-52.32051000
1.62124634,-53.03258000
1.66893005,-43.14300000
1.71661377,-38.41879000
1.76429749,-27.65770000
1.81198120,-23.74134000
1.85966492,-26.97856000
1.90734863,-39.09832000
1.95503235,-44.46694000
2.00271606,-48.33648000
2.05039978,-54.82920000
2.09808350,-54.95089000
2.14576721,-53.30645000
2.19345093,-49.19789000
2.24113464,-49.24196000
2.28881836,-46.18208000
2.33650208,-45.29430000
2.38418579,-48.59108000
2.43186951,-52.70488000
2.47955322,-55.06033000
2.52723694,-51.11667000
2.57492065,-48.19404000
2.62260437,-51.21863000
2.67028809,-73.38823000
2.71797180,-52.57351000
2.76565552,-49.58992000
2.81333923,-54.21352000
2.86102295,-53.13967000
2.90870667,-50.02060000
2.95639038,-55.73296000
3.00407410,-46.44221000
3.05175781,-41.02772000
3.09944153,-40.14460000
3.14712524,-39.32294000
3.19480896,-38.27623000
3.24249268,-38.95058000
3.29017639,-43.69907000
3.33786011,-52.01617000
3.38554382,-49.42711000
3.43322754,-48.22139000
3.48091125,-53.79276000
3.52859497,-53.36092000
3.57627869,-48.57743000
3.62396240,-45.93028000
3.67164612,-45.07012000
3.71932983,-46.99706000
3.76701355,-53.57250000
3.81469727,-68.34123000
3.86238098,-52.81061000
3.91006470,-45.22356000
3.95774841,-43.55438000
4.00543213,-47.21744000
4.05311584,-58.13392000
4.10079956,-51.03563000
4.14848328,-48.71098000
4.19616699,-58.77016000
4.24385071,-56.61399000
4.29153442,-56.56300000
4.33921814,-49.90969000
4.38690186,-51.29034000
4.43458557,-51.17722000
4.48226929,-46.12119000
4.52995300,-45.74834000
4.57763672,-46.01189000
4.62532043,-47.07302000
4.67300415,-51.44523000
4.72068787,-56.49976000
4.76837158,-48.47903000
4.81605530,-50.54960000
4.86373901,-57.01838000
4.91142273,-58.52602000
4.95910645,-59.71987000
5.00679016,-57.42332000
5.05447388,-50.69063000
5.10215759,-45.90078000
5.14984131,-44.89906000
5.19752502,-46.93289000
5.24520874,-51.75946000
5.29289246,-54.83223000
5.34057617,-51.11505000
5.38825989,-65.84361000
5.43594360,-55.00402000
5.48362732,-58.36329000
5.53131104,-56.62003000
5.57899475,-48.99513000
5.62667847,-48.20018000
5.67436218,-49.24654000
5.72204590,-50.86277000
5.76972961,-52.71744000
5.81741333,-50.94946000
5.86509705,-52.35838000
5.91278076,-54.65705000
5.96046448,-61.49044000
6.00814819,-58.81284000
6.05583191,-51.38160000
6.10351563,-47.05331000
6.15119934,-45.34188000
6.19888306,-46.08988000
6.24656677,-50.28471000
6.29425049,-51.29100000
6.34193420,-49.55277000
6.38961792,-52.35943000
6.43730164,-50.42117000
6.48498535,-46.20884000
6.53266907,-49.41411000
6.58035278,-53.47418000
