"Frequency[kHz]","Channel[dBu]"
0.00000000,-26.19921000
0.04768372,-32.68352000
0.09536743,-44.80949000
0.14305115,-50.65620000
0.19073486,-57.75038000
0.23841858,-52.70820000
0.28610229,-51.45332000
0.33378601,-52.32441000
0.38146973,-54.92476000
0.42915344,-56.39603000
0.47683716,-51.27064000
0.52452087,-48.17562000
0.57220459,-47.92245000
0.61988831,-52.36884000
0.66757202,-54.73504000
0.71525574,-49.97010000
0.76293945,-49.82840000
0.81062317,-54.55014000
0.85830688,-64.01208000
0.90599060,-72.47026000
0.95367432,-56.56684000
1.00135803,-52.55241000
1.04904175,-54.51673000
1.09672546,-51.01963000
1.14440918,-49.42110000
1.19209290,-56.97514000
1.23977661,-43.52942000
1.28746033,-28.73907000
1.33514404,-15.86833000
1.38282776,-10.00702000
1.43051147,-11.64939000
1.47819519,-21.03812000
1.52587891,-34.50650000
1.57356262,-45.18749000
1.62124634,-62.68685000
1.66893005,-34.32652000
1.71661377,-21.18507000
1.76429749,-10.76386000
1.81198120,-7.53972600
1.85966492,-11.38148000
1.90734863,-22.26749000
1.95503235,-36.35918000
2.00271606,-54.13603000
2.05039978,-43.92852000
2.09808350,-47.17791000
2.14576721,-46.46402000
2.19345093,-49.14148000
2.24113464,-51.53490000
2.28881836,-48.01790000
2.33650208,-51.92853000
2.38418579,-50.52531000
2.43186951,-50.35883000
2.47955322,-57.58482000
2.52723694,-53.14235000
2.57492065,-47.43673000
2.62260437,-48.95872000
2.67028809,-49.18486000
2.71797180,-48.86688000
2.76565552,-50.08278000
2.81333923,-52.49131000
2.86102295,-49.72465000
2.90870667,-56.19810000
2.95639038,-59.75655000
3.00407410,-52.80032000
3.05175781,-57.11457000
3.09944153,-67.29666000
3.14712524,-57.12915000
3.19480896,-54.61623000
3.24249268,-50.12835000
3.29017639,-49.53045000
3.33786011,-57.42155000
3.38554382,-51.72848000
3.43322754,-49.16972000
3.48091125,-53.74673000
3.52859497,-52.10684000
3.57627869,-49.97528000
3.62396240,-52.59874000
3.67164612,-64.72392000
3.71932983,-53.47722000
3.76701355,-50.45374000
3.81469727,-49.13296000
3.86238098,-50.05987000
3.91006470,-50.92102000
3.95774841,-52.87257000
4.00543213,-58.78482000
4.05311584,-51.68458000
4.10079956,-52.82985000
4.14848328,-58.41941000
4.19616699,-55.39559000
4.24385071,-48.75096000
4.29153442,-49.61980000
4.33921814,-54.25687000
4.38690186,-59.06603000
4.43458557,-58.54065000
4.48226929,-55.89383000
4.52995300,-50.58001000
4.57763672,-49.11282000
4.62532043,-51.14458000
4.67300415,-54.06200000
4.72068787,-57.99847000
4.76837158,-58.83177000
4.81605530,-58.95313000
4.86373901,-59.43697000
4.91142273,-48.90281000
4.95910645,-45.91428000
5.00679016,-44.66643000
5.05447388,-45.30492000
5.10215759,-46.79210000
5.14984131,-48.78191000
5.19752502,-58.52588000
5.24520874,-55.27533000
5.29289246,-50.50665000
5.34057617,-55.37221000
5.38825989,-52.34039000
5.43594360,-52.36985000
5.48362732,-53.76228000
5.53131104,-51.33000000
5.57899475,-57.61444000
5.62667847,-52.55660000
5.67436218,-46.86687000
5.72204590,-45.73551000
5.76972961,-46.66447000
5.81741333,-49.52066000
5.86509705,-55.44976000
5.91278076,-63.47189000
5.96046448,-66.87978000
6.00814819,-62.65073000
6.05583191,-57.64484000
6.10351563,-55.14359000
6.15119934,-59.29035000
6.19888306,-75.38004000
6.24656677,-66.49609000
6.29425049,-60.70447000
6.34193420,-59.51021000
6.38961792,-52.37338000
6.43730164,-49.97157000
6.48498535,-59.72097000
6.53266907,-51.17739000
6.58035278,-50.39592000
6.62803650,-50.52739000
6.67572021,-50.68275000
6.72340393,-53.75036000
6.77108765,-56.76257000
6.81877136,-59.17348000
6.86645508,-56.16486000
6.91413879,-52.22557000
6.96182251,-46.50257000
7.00950623,-42.17381000
7.05718994,-42.74847000
7.10487366,-48.93779000
7.15255737,-51.48331000
7.20024109,-54.26209000
7.24792480,-55.40371000
7.29560852,-56.59921000
7.34329224,-53.50594000
7.39097595,-48.98446000
7.43865967,-56.69499000
7.48634338,-54.32699000
7.53402710,-49.13415000
7.58171082,-50.31347000
7.62939453,-61.27247000
7.67707825,-65.05876000
7.72476196,-64.87219000
7.77244568,-61.87937000
7.82012939,-67.97797000
7.86781311,-57.87180000
7.91549683,-50.20840000
7.96318054,-48.82983000
8.01086426,-48.66331000
8.05854797,-50.42871000
8.10623169,-52.37410000
8.15391541,-49.20426000
8.20159912,-47.06552000
8.24928284,-50.46730000
8.29696655,-50.35985000
8.34465027,-49.79231000
8.39233398,-52.02013000
8.44001770,-53.80967000
8.48770142,-53.95275000
8.53538513,-52.21336000
8.58306885,-52.96073000
8.63075256,-59.41131000
8.67843628,-70.57448000
8.72612000,-66.28108000
8.77380371,-59.87965000
8.82148743,-57.16638000
8.86917114,-56.64032000
8.91685486,-50.33718000
8.96453857,-50.90356000
9.01222229,-55.06167000
9.05990601,-60.22936000
9.10758972,-53.06349000
9.15527344,-49.89636000
9.20295715,-51.41830000
9.25064087,-53.65718000
9.29832458,-51.73939000
9.34600830,-50.83876000
9.39369202,-56.19267000
9.44137573,-54.31625000
9.48905945,-50.92413000
9.53674316,-57.47889000
9.58442688,-62.90369000
9.63211060,-76.68828000
9.67979431,-55.39248000
9.72747803,-51.92029000
9.77516174,-51.17059000
9.82284546,-48.72024000
9.87052917,-54.54701000
9.91821289,-57.69020000
9.96589661,-52.21966000
10.01358032,-49.04665000
10.06126404,-47.56468000
10.10894775,-47.96085000
10.15663147,-49.76902000
10.20431519,-53.86774000
10.25199890,-58.17296000
10.29968262,-73.09205000
10.34736633,-60.02875000
10.39505005,-57.14378000
10.44273376,-59.26914000
10.49041748,-61.40777000
10.53810120,-72.62365000
10.58578491,-58.79617000
10.63346863,-59.01868000
10.68115234,-68.56157000
10.72883606,-55.45838000
10.77651978,-55.84421000
10.82420349,-74.65918000
10.87188721,-54.01440000
10.91957092,-48.69156000
10.96725464,-48.78152000
11.01493835,-49.23779000
11.06262207,-47.60879000
11.11030579,-48.09986000
11.15798950,-54.50608000
11.20567322,-67.00526000
11.25335693,-55.13963000
11.30104065,-51.10199000
11.34872437,-50.26048000
11.39640808,-54.65253000
11.44409180,-55.43166000
11.49177551,-56.60419000
11.53945923,-55.00131000
11.58714294,-61.02161000
11.63482666,-60.73369000
11.68251038,-57.43409000
11.73019409,-57.21349000
11.77787781,-56.40437000
11.82556152,-51.65227000
11.87324524,-52.33371000
11.92092896,-56.28724000
11.96861267,-56.54740000
12.01629639,-57.30196000
12.06398010,-63.71861000
12.11166382,-56.34193000
12.15934753,-52.06606000
12.20703125,-58.52394000
12.25471497,-53.99541000
12.30239868,-49.58146000
12.35008240,-47.43108000
12.39776611,-47.56458000
12.44544983,-52.45972000
12.49313354,-52.82261000
12.54081726,-49.24135000
12.58850098,-50.29608000
12.63618469,-57.41088000
12.68386841,-61.05683000
12.73155212,-56.25256000
12.77923584,-61.49086000
12.82691956,-59.09142000
12.87460327,-53.54282000
