"Time[ms]","Channel[V]"
-0.60533901,-0.01525925
-0.60277901,-0.01525925
-0.60021901,-0.01525925
-0.59765901,0.16052740
-0.59509901,-0.01525925
-0.59253901,-0.01525925
-0.58997901,-0.01525925
-0.58741901,-0.01525925
-0.58485901,-0.01525925
-0.58229901,-0.01525925
-0.57973901,-0.01525925
-0.57717901,-0.01525925
-0.57461901,-0.01525925
-0.57205901,0.16052740
-0.56949901,0.16052740
-0.56693901,-0.01525925
-0.56437901,0.16052740
-0.56181901,0.16052740
-0.55925901,-0.01525925
-0.55669901,-0.01525925
-0.55413901,-0.01525925
-0.55157901,-0.01525925
-0.54901901,-0.01525925
-0.54645901,-0.01525925
-0.54389901,-0.01525925
-0.54133901,-0.01525925
-0.53877901,-0.01525925
-0.53621901,-0.01525925
-0.53365901,-0.01525925
-0.53109901,-0.01525925
-0.52853901,-0.01525925
-0.52597901,0.16052740
-0.52341901,-0.01525925
-0.52085901,-0.01525925
-0.51829901,-0.01525925
-0.51573901,-0.01525925
-0.51317901,-0.01525925
-0.51061901,-0.01525925
-0.50805901,-0.01525925
-0.50549901,-0.01525925
-0.50293901,-0.01525925
-0.50037901,-0.01525925
-0.49781901,0.16052740
-0.49525901,-0.01525925
-0.49269901,0.16052740
-0.49013901,0.16052740
-0.48757901,-0.01525925
-0.48501901,-0.01525925
-0.48245901,-0.01525925
-0.47989901,-0.01525925
-0.47733901,-0.01525925
-0.47477901,-0.01525925
-0.47221901,-0.01525925
-0.46965901,-0.01525925
-0.46709901,0.16052740
-0.46453901,-0.01525925
-0.46197901,-0.01525925
-0.45941901,-0.01525925
-0.45685901,-0.01525925
-0.45429901,-0.01525925
-0.45173901,-0.01525925
-0.44917901,-0.01525925
-0.44661901,0.16052740
-0.44405901,-0.01525925
-0.44149901,-0.01525925
-0.43893901,-0.01525925
-0.43637901,-0.01525925
-0.43381901,-0.01525925
-0.43125901,-0.01525925
-0.42869901,-0.01525925
-0.42613901,-0.01525925
-0.42357901,-0.01525925
-0.42101901,-0.01525925
-0.41845901,-0.01525925
-0.41589901,-0.01525925
-0.41333901,0.16052740
-0.41077901,0.16052740
-0.40821901,-0.01525925
-0.40565901,-0.01525925
-0.40309901,-0.01525925
-0.40053901,-0.01525925
-0.39797901,-0.01525925
-0.39541901,-0.01525925
-0.39285901,0.16052740
-0.39029901,-0.01525925
-0.38773901,-0.01525925
-0.38517901,-0.01525925
-0.38261901,-0.01525925
-0.38005901,-0.01525925
-0.37749901,-0.01525925
-0.37493901,-0.01525925
-0.37237901,-0.01525925
-0.36981901,-0.01525925
-0.36725901,-0.01525925
-0.36469901,-0.01525925
-0.36213901,-0.01525925
-0.35957901,0.16052740
-0.35701901,-0.01525925
-0.35445901,-0.01525925
-0.35189901,-0.01525925
-0.34933901,-0.01525925
-0.34677901,-0.01525925
-0.34421901,-0.01525925
-0.34165901,-0.01525925
-0.33909901,-0.01525925
-0.33653901,0.16052740
-0.33397901,-0.01525925
-0.33141901,-0.01525925
-0.32885901,-0.01525925
-0.32629901,-0.01525925
-0.32373901,-0.01525925
-0.32117901,-0.01525925
-0.31861901,-0.01525925
-0.31605901,0.16052740
-0.31349901,-0.01525925
-0.31093901,-0.01525925
-0.30837901,-0.01525925
-0.30581901,0.16052740
-0.30325901,-0.01525925
-0.30069901,-0.01525925
-0.29813901,-0.01525925
-0.29557901,-0.01525925
-0.29301901,-0.01525925
-0.29045901,0.16052740
-0.28789901,-0.01525925
-0.28533901,-0.01525925
-0.28277901,-0.01525925
-0.28021901,-0.01525925
