"Frequency[kHz]","Channel A[dBu]"

0.00000000,-53.15445000
0.04768372,-66.06007000
0.09536743,-54.54337000
0.14305115,-58.30190000
0.19073486,-60.95173000
0.23841858,-53.10978000
0.28610229,-55.23288000
0.33378601,-59.03786000
0.38146973,-56.27827000
0.42915344,-56.48268000
0.47683716,-53.43323000
0.52452087,-58.85722000
0.57220459,-58.45404000
0.61988831,-57.75734000
0.66757202,-58.75096000
0.71525574,-54.16016000
0.76293945,-58.82080000
0.81062317,-59.50138000
0.85830688,-56.55674000
0.90599060,-58.96402000
0.95367432,-56.32802000
1.00135803,-56.59790000
1.04904175,-56.62541000
1.09672546,-51.27774000
1.14440918,-58.27702000
1.19209290,-50.80304000
1.23977661,-52.79960000
1.28746033,-58.79044000
1.33514404,-51.18575000
1.38282776,-52.51008000
1.43051147,-51.67521000
1.47819519,-51.91603000
1.52587891,-48.87825000
1.57356262,-49.89561000
1.62124634,-52.90079000
1.66893005,-46.54033000
1.71661377,-50.30342000
1.76429749,-46.83708000
1.81198120,-49.90445000
1.85966492,-44.84178000
1.90734863,-47.29772000
1.95503235,-46.55906000
2.00271606,-44.47290000
2.05039978,-44.58489000
2.09808350,-44.51944000
2.14576721,-44.47406000
2.19345093,-41.91296000
2.24113464,-40.63612000
2.28881836,-41.49275000
2.33650208,-40.27073000
2.38418579,-38.95830000
2.43186951,-37.72772000
2.47955322,-36.74491000
2.52723694,-35.60377000
2.57492065,-33.07989000
2.62260437,-31.84855000
2.67028809,-24.60195000
2.71797180,-8.93784900
2.76565552,-1.30346700
2.81333923,-2.39914500
2.86102295,-8.95751100
2.90870667,-3.47433500
2.95639038,-8.07679700
3.00407410,-21.43301000
3.05175781,-30.92712000
3.09944153,-32.68089000
3.14712524,-34.57534000
3.19480896,-35.25606000
3.24249268,-37.20411000
3.29017639,-37.58144000
3.33786011,-38.76349000
3.38554382,-38.54973000
3.43322754,-40.46392000
3.48091125,-41.14668000
3.52859497,-40.95940000
3.57627869,-42.57064000
3.62396240,-42.03247000
3.67164612,-41.83742000
3.71932983,-43.27393000
3.76701355,-44.24308000
3.81469727,-44.13858000
3.86238098,-43.48838000
3.91006470,-45.81756000
3.95774841,-44.90402000
4.00543213,-45.17702000
4.05311584,-46.25700000
4.10079956,-45.28984000
4.14848328,-46.33103000
4.19616699,-48.08821000
4.24385071,-44.37570000
4.29153442,-47.60596000
4.33921814,-47.57240000
4.38690186,-49.16095000
4.43458557,-47.80426000
4.48226929,-46.57715000
4.52995300,-48.65940000
4.57763672,-48.72694000
4.62532043,-49.50854000
4.67300415,-47.32357000
4.72068787,-48.94495000
4.76837158,-49.15302000
4.81605530,-50.53091000
4.86373901,-48.75413000
4.91142273,-49.18331000
4.95910645,-50.03773000
5.00679016,-51.60302000
5.05447388,-48.94169000
5.10215759,-49.95855000
5.14984131,-50.03452000
5.19752502,-52.29054000
5.24520874,-49.52476000
5.29289246,-52.70212000
5.34057617,-50.33172000
5.38825989,-48.48235000
5.43594360,-52.31685000
5.48362732,-51.86154000
5.53131104,-48.32404000
5.57899475,-54.41077000
5.62667847,-48.23519000
5.67436218,-58.72997000
5.72204590,-49.98384000
5.76972961,-54.02911000
5.81741333,-50.57209000
5.86509705,-56.50594000
5.91278076,-49.57614000
5.96046448,-51.12060000
6.00814819,-54.16319000
6.05583191,-52.72150000
6.10351563,-51.29930000
6.15119934,-55.02362000
6.19888306,-53.50464000
6.24656677,-49.42230000
6.29425049,-59.20961000
6.34193420,-54.21322000
6.38961792,-51.43421000
6.43730164,-54.87858000
6.48498535,-49.96322000
6.53266907,-57.61482000
6.58035278,-54.05825000
6.62803650,-55.02618000
6.67572021,-51.02866000
6.72340393,-55.35273000
6.77108765,-53.79394000
6.81877136,-51.06982000
6.86645508,-54.07009000
6.91413879,-57.51207000
6.96182251,-51.84473000
7.00950623,-50.79654000
7.05718994,-57.50809000
7.10487366,-57.79106000
7.15255737,-54.35672000
7.20024109,-52.89162000
7.24792480,-54.55541000
7.29560852,-55.72942000
7.34329224,-55.16696000
7.39097595,-53.19149000
7.43865967,-55.17973000
7.48634338,-52.46294000
7.53402710,-51.43626000
7.58171082,-63.20637000
7.62939453,-51.73331000
7.67707825,-53.68572000
7.72476196,-59.28798000
7.77244568,-54.27439000
7.82012939,-58.66376000
7.86781311,-50.83168000
7.91549683,-54.85223000
7.96318054,-58.20664000
8.01086426,-57.01076000
8.05854797,-54.31869000
8.10623169,-56.53500000
8.15391541,-53.34999000
8.20159912,-56.42097000
8.24928284,-53.98602000
8.29696655,-53.81215000
8.34465027,-49.46661000
8.39233398,-55.39301000
8.44001770,-49.63425000
8.48770142,-58.09366000
8.53538513,-64.39115000
8.58306885,-50.85600000
8.63075256,-59.00061000
8.67843628,-51.49940000
8.72612000,-58.90611000
8.77380371,-56.58272000
8.82148743,-54.64797000
8.86917114,-57.90474000
8.91685486,-54.97517000
8.96453857,-52.40488000
9.01222229,-69.06696000
9.05990601,-50.62337000
9.10758972,-60.73609000
9.15527344,-81.03936000
9.20295715,-51.27408000
9.25064087,-52.66564000
9.29832458,-62.90516000
9.34600830,-55.96678000
9.39369202,-52.68609000
9.44137573,-56.92471000
9.48905945,-58.48236000
9.53674316,-54.85674000
9.58442688,-55.31229000
9.63211060,-59.93966000
9.67979431,-59.37733000
9.72747803,-64.75224000
9.77516174,-57.06811000
9.82284546,-57.07706000
9.87052917,-55.13012000
9.91821289,-53.53418000
9.96589661,-66.32516000
10.01358032,-52.64049000
10.06126404,-56.77209000
10.10894775,-62.01075000
10.15663147,-58.45453000
10.20431519,-62.10931000
10.25199890,-55.44289000
10.29968262,-68.96848000
10.34736633,-55.11360000
10.39505005,-67.86248000
10.44273376,-54.03991000
10.49041748,-59.38561000
10.53810120,-60.78972000
10.58578491,-55.95763000
10.63346863,-58.30148000
10.68115234,-57.57413000
10.72883606,-66.84175000
10.77651978,-53.68690000
10.82420349,-61.09827000
10.87188721,-57.15162000
10.91957092,-61.99522000
10.96725464,-52.32292000
11.01493835,-57.13402000
11.06262207,-63.76595000
11.11030579,-56.14376000
11.15798950,-67.05696000
11.20567322,-50.24688000
11.25335693,-57.17610000
11.30104065,-72.37965000
11.34872437,-58.08813000
11.39640808,-61.12423000
11.44409180,-55.66552000
11.49177551,-50.77539000
11.53945923,-57.97322000
11.58714294,-54.25037000
11.63482666,-56.84248000
