"Frequency[kHz]","Channel A[dBu]"

0.00000000,-27.56396000
0.04768372,-33.68087000
0.09536743,-43.11023000
0.14305115,-56.51090000
0.19073486,-49.60555000
0.23841858,-44.94309000
0.28610229,-47.16508000
0.33378601,-49.15936000
0.38146973,-48.46073000
0.42915344,-50.60614000
0.47683716,-52.43622000
0.52452087,-53.87448000
0.57220459,-58.66110000
0.61988831,-71.67925000
0.66757202,-66.55532000
0.71525574,-56.74583000
0.76293945,-55.31172000
0.81062317,-65.03022000
0.85830688,-54.86185000
0.90599060,-55.11309000
0.95367432,-60.92605000
1.00135803,-50.01752000
1.04904175,-52.09624000
1.09672546,-56.18027000
1.14440918,-51.07003000
1.19209290,-52.30213000
1.23977661,-61.46068000
1.28746033,-57.48293000
1.33514404,-55.25311000
1.38282776,-55.17910000
1.43051147,-59.40533000
1.47819519,-55.94772000
1.52587891,-54.11508000
1.57356262,-56.70859000
1.62124634,-62.86429000
1.66893005,-68.98862000
1.71661377,-58.81812000
1.76429749,-57.91273000
1.81198120,-60.74657000
1.85966492,-58.37876000
1.90734863,-64.32384000
1.95503235,-56.39733000
2.00271606,-59.68352000
2.05039978,-61.08812000
2.09808350,-53.92254000
2.14576721,-54.04922000
2.19345093,-54.65929000
2.24113464,-50.40109000
2.28881836,-52.60510000
2.33650208,-49.27304000
2.38418579,-48.88763000
2.43186951,-51.42426000
2.47955322,-43.71689000
2.52723694,-46.49252000
2.57492065,-46.93980000
2.62260437,-43.09538000
2.67028809,-34.80371000
2.71797180,-16.66927000
2.76565552,-6.35209300
2.81333923,-5.75506200
2.86102295,-21.13200000
2.90870667,-9.62937500
2.95639038,-16.48081000
3.00407410,-31.00074000
3.05175781,-45.68065000
3.09944153,-44.69453000
3.14712524,-48.91167000
3.19480896,-56.22703000
3.24249268,-56.94118000
3.29017639,-52.98423000
3.33786011,-58.42264000
3.38554382,-61.53131000
3.43322754,-63.89883000
3.48091125,-65.50241000
3.52859497,-54.14639000
3.57627869,-50.80254000
3.62396240,-53.98322000
3.67164612,-50.83779000
3.71932983,-49.53863000
3.76701355,-55.85862000
3.81469727,-53.15597000
3.86238098,-50.56115000
3.91006470,-62.85427000
3.95774841,-68.58418000
4.00543213,-60.27969000
4.05311584,-62.52523000
4.10079956,-62.86122000
4.14848328,-64.03911000
4.19616699,-52.74137000
4.24385071,-51.27839000
4.29153442,-51.57839000
4.33921814,-53.54901000
4.38690186,-58.10326000
4.43458557,-67.42972000
4.48226929,-57.29097000
4.52995300,-54.92466000
4.57763672,-54.97166000
4.62532043,-55.71222000
4.67300415,-56.00215000
4.72068787,-53.68439000
4.76837158,-53.16555000
4.81605530,-54.90825000
4.86373901,-64.05787000
4.91142273,-55.99375000
4.95910645,-52.52039000
5.00679016,-51.51759000
5.05447388,-53.34348000
5.10215759,-53.66887000
5.14984131,-53.15864000
5.19752502,-56.67622000
5.24520874,-51.57322000
5.29289246,-49.14248000
5.34057617,-53.62661000
5.38825989,-68.80522000
5.43594360,-49.72031000
5.48362732,-48.06984000
5.53131104,-53.90074000
5.57899475,-49.15784000
5.62667847,-48.24155000
5.67436218,-49.83036000
5.72204590,-48.55758000
5.76972961,-46.98601000
5.81741333,-47.30501000
5.86509705,-49.39431000
5.91278076,-55.49255000
5.96046448,-65.41109000
6.00814819,-52.53490000
6.05583191,-53.23549000
6.10351563,-61.07706000
6.15119934,-61.03520000
6.19888306,-63.38081000
6.24656677,-64.69971000
6.29425049,-60.14233000
6.34193420,-58.98883000
6.38961792,-49.59810000
6.43730164,-49.54346000
6.48498535,-58.46642000
6.53266907,-55.54750000
6.58035278,-57.64853000
6.62803650,-57.48800000
6.67572021,-55.63311000
6.72340393,-57.96902000
6.77108765,-59.94120000
6.81877136,-58.70955000
6.86645508,-55.26923000
6.91413879,-60.88738000
6.96182251,-57.46354000
7.00950623,-65.69389000
7.05718994,-57.85072000
7.10487366,-63.91491000
7.15255737,-65.65610000
7.20024109,-59.71353000
7.24792480,-52.79704000
7.29560852,-51.98146000
7.34329224,-51.27679000
7.39097595,-53.31432000
7.43865967,-56.10875000
7.48634338,-59.96257000
7.53402710,-62.75696000
7.58171082,-75.02345000
7.62939453,-63.56212000
7.67707825,-53.94506000
7.72476196,-52.04708000
7.77244568,-59.48183000
7.82012939,-61.15520000
7.86781311,-53.74997000
7.91549683,-54.65029000
7.96318054,-58.14655000
8.01086426,-55.41916000
8.05854797,-52.65244000
8.10623169,-51.77706000
8.15391541,-49.78453000
8.20159912,-49.53030000
8.24928284,-48.91246000
8.29696655,-47.06759000
8.34465027,-44.28720000
8.39233398,-40.76350000
8.44001770,-39.00666000
8.48770142,-39.02507000
8.53538513,-39.22736000
8.58306885,-41.69775000
8.63075256,-51.25249000
8.67843628,-56.66213000
8.72612000,-55.77742000
8.77380371,-68.06960000
8.82148743,-61.32258000
8.86917114,-64.25109000
8.91685486,-54.64634000
8.96453857,-51.33414000
9.01222229,-51.20913000
9.05990601,-53.04775000
9.10758972,-53.38540000
9.15527344,-53.44716000
9.20295715,-51.40559000
9.25064087,-53.46498000
9.29832458,-58.07917000
9.34600830,-58.17555000
9.39369202,-55.27310000
9.44137573,-54.20533000
9.48905945,-54.24767000
9.53674316,-51.22254000
9.58442688,-51.93608000
9.63211060,-55.87672000
9.67979431,-53.05730000
9.72747803,-54.81792000
9.77516174,-55.35734000
9.82284546,-54.22144000
9.87052917,-51.84844000
9.91821289,-50.02653000
9.96589661,-49.30344000
10.01358032,-50.45866000
10.06126404,-54.49064000
10.10894775,-56.76731000
10.15663147,-59.25724000
10.20431519,-66.35101000
10.25199890,-66.48508000
10.29968262,-84.07379000
10.34736633,-67.43327000
10.39505005,-54.85519000
10.44273376,-52.42825000
10.49041748,-54.50121000
10.53810120,-54.11665000
10.58578491,-56.62426000
10.63346863,-53.02303000
10.68115234,-50.84139000
10.72883606,-51.12032000
10.77651978,-50.21690000
10.82420349,-53.27287000
10.87188721,-62.15120000
10.91957092,-61.00201000
10.96725464,-55.81362000
11.01493835,-70.50941000
11.06262207,-58.45599000
11.11030579,-61.00161000
11.15798950,-51.94588000
11.20567322,-54.32124000
11.25335693,-51.47610000
11.30104065,-48.71882000
11.34872437,-46.95911000
11.39640808,-45.82939000
11.44409180,-45.97187000
11.49177551,-50.54169000
11.53945923,-67.23623000
11.58714294,-58.15003000
11.63482666,-54.21098000
11.68251038,-53.95487000
11.73019409,-63.09286000
11.77787781,-59.99104000
11.82556152,-54.42549000
11.87324524,-52.34584000
11.92092896,-50.81635000
11.96861267,-54.42075000
12.01629639,-56.66000000
12.06398010,-49.30645000
12.11166382,-51.38351000
12.15934753,-57.84098000
12.20703125,-53.30070000
12.25471497,-54.79393000
12.30239868,-61.84682000
12.35008240,-72.65932000
12.39776611,-58.05559000
12.44544983,-54.39918000
12.49313354,-53.96587000
12.54081726,-52.92131000
12.58850098,-55.12199000
12.63618469,-67.11734000
12.68386841,-54.57301000
12.73155212,-52.26549000
12.77923584,-55.05817000
12.82691956,-55.34642000
12.87460327,-62.57011000
12.92228699,-61.35902000
12.96997070,-54.33403000
13.01765442,-51.27283000
13.06533813,-52.08155000
13.11302185,-53.87704000
13.16070557,-56.83500000
13.20838928,-73.34918000
13.25607300,-57.90281000
13.30375671,-51.66444000
13.35144043,-53.38989000
13.39912415,-49.77394000
13.44680786,-49.56124000
13.49449158,-51.63142000
13.54217529,-51.76982000
13.58985901,-72.11662000
13.63754272,-51.72318000
13.68522644,-48.79932000
13.73291016,-50.83982000
13.78059387,-57.34587000
13.82827759,-60.85801000
13.87596130,-60.30634000
13.92364502,-48.61572000
13.97132874,-46.68868000
14.01901245,-47.53401000
14.06669617,-47.26866000
14.11437988,-47.03314000
14.16206360,-47.85311000
14.20974731,-45.83662000
14.25743103,-43.52930000
14.30511475,-44.95958000
14.35279846,-53.37569000
14.40048218,-55.65443000
14.44816589,-50.91343000
14.49584961,-57.64590000
14.54353333,-59.75935000
14.59121704,-60.09331000
14.63890076,-60.05405000
14.68658447,-65.15996000
14.73426819,-70.37633000
14.78195190,-73.01130000
14.82963562,-58.74222000
14.87731934,-53.72851000
14.92500305,-53.54337000
14.97268677,-55.38196000
15.02037048,-56.67505000
15.06805420,-57.96152000
15.11573792,-63.70529000
15.16342163,-61.31165000
15.21110535,-60.87525000
15.25878906,-56.45422000
15.30647278,-53.60986000
15.35415649,-57.19734000
15.40184021,-57.36116000
15.44952393,-51.60223000
15.49720764,-51.08067000
15.54489136,-51.59268000
15.59257507,-50.97545000
15.64025879,-53.26674000
15.68794250,-59.47161000
15.73562622,-52.62008000
15.78330994,-50.35739000
15.83099365,-51.33842000
15.87867737,-54.80828000
15.92636108,-57.31957000
15.97404480,-58.00503000
16.02172852,-55.01722000
16.06941223,-50.21976000
16.11709595,-49.02840000
16.16477966,-48.31773000
16.21246338,-48.35567000
16.26014709,-49.41514000
16.30783081,-51.53948000
16.35551453,-51.02495000
16.40319824,-49.11421000
16.45088196,-49.46778000
16.49856567,-49.64051000
16.54624939,-50.08274000
16.59393311,-52.36544000
16.64161682,-60.16884000
16.68930054,-54.57451000
16.73698425,-51.52311000
16.78466797,-58.27675000
16.83235168,-61.26725000
16.88003540,-50.39066000
16.92771912,-50.40304000
16.97540283,-54.00932000
17.02308655,-50.76710000
17.07077026,-49.58416000
17.11845398,-52.91660000
17.16613770,-57.16633000
17.21382141,-49.03305000
17.26150513,-50.16416000
17.30918884,-61.77456000
17.35687256,-73.10920000
17.40455627,-69.72961000
17.45223999,-60.50509000
17.49992371,-58.26588000
17.54760742,-64.48801000
17.59529114,-66.76472000
17.64297485,-57.01431000
17.69065857,-56.16631000
17.73834229,-59.59601000
17.78602600,-64.80882000
17.83370972,-77.87679000
17.88139343,-60.86179000
17.92907715,-56.85464000
17.97676086,-61.63037000
18.02444458,-60.45231000
18.07212830,-57.48110000
18.11981201,-66.30548000
18.16749573,-61.77267000
18.21517944,-62.88350000
18.26286316,-66.60869000
18.31054688,-56.59010000
18.35823059,-59.04624000
18.40591431,-70.46864000
18.45359802,-62.63546000
18.50128174,-56.77347000
18.54896545,-52.02684000
18.59664917,-54.32561000
18.64433289,-58.99252000
18.69201660,-52.06495000
18.73970032,-48.98332000
18.78738403,-56.91496000
18.83506775,-79.76514000
18.88275146,-81.07719000
18.93043518,-59.74744000
18.97811890,-56.67945000
19.02580261,-56.07781000
19.07348633,-59.19024000
19.12117004,-63.92474000
19.16885376,-55.05791000
19.21653748,-53.97374000
