Frequency;Channel A
(kHz);(dBu)

0,00000000;-24,74821000
0,04768372;-31,15270000
0,09536743;-42,25952000
0,14305115;-52,43888000
0,19073486;-62,95356000
0,23841858;-55,87372000
0,28610229;-59,78802000
0,33378601;-60,11436000
0,38146973;-58,44711000
0,42915344;-55,26859000
0,47683716;-52,27179000
0,52452087;-60,69608000
0,57220459;-68,27295000
0,61988831;-58,21049000
0,66757202;-64,88636000
0,71525574;-65,13869000
0,76293945;-66,16103000
0,81062317;-67,62718000
0,85830688;-52,79655000
0,90599060;-50,25160000
0,95367432;-53,73036000
1,00135803;-56,99932000
1,04904175;-55,61781000
1,09672546;-49,43062000
1,14440918;-48,88113000
1,19209290;-53,10180000
1,23977661;-59,52584000
1,28746033;-55,05455000
1,33514404;-62,51478000
1,38282776;-58,13028000
1,43051147;-54,87473000
1,47819519;-52,67302000
1,52587891;-63,63581000
1,57356262;-54,23470000
1,62124634;-50,79855000
1,66893005;-58,63393000
1,71661377;-66,02023000
1,76429749;-59,89220000
1,81198120;-50,43800000
1,85966492;-48,80575000
1,90734863;-50,90291000
1,95503235;-57,28875000
2,00271606;-50,31124000
2,05039978;-49,37294000
2,09808350;-50,98392000
2,14576721;-59,37402000
2,19345093;-55,42849000
2,24113464;-57,83473000
2,28881836;-58,01049000
2,33650208;-54,46896000
2,38418579;-45,50772000
2,43186951;-42,68985000
2,47955322;-18,31083000
2,52723694;-5,23859000
2,57492065;-0,75583600
2,62260437;-3,87290000
2,67028809;-15,29076000
2,71797180;-36,53262000
2,76565552;-44,80551000
2,81333923;-53,51311000
2,86102295;-56,63197000
2,90870667;-45,74159000
2,95639038;-56,89183000
3,00407410;-42,95888000
3,05175781;-43,42569000
3,09944153;-25,92848000
3,14712524;-13,11480000
3,19480896;-7,86109000
3,24249268;-9,38181500
3,29017639;-17,84279000
3,33786011;-34,19392000
3,38554382;-45,04463000
3,43322754;-50,33117000
3,48091125;-53,69884000
3,52859497;-58,51426000
3,57627869;-60,78255000
3,62396240;-54,89242000
3,67164612;-52,76183000
3,71932983;-50,78681000
3,76701355;-53,88658000
3,81469727;-56,00233000
3,86238098;-61,20304000
3,91006470;-53,58821000
3,95774841;-51,36280000
4,00543213;-52,77464000
4,05311584;-55,62235000
4,10079956;-51,33307000
4,14848328;-46,25166000
4,19616699;-48,70822000
4,24385071;-54,10246000
4,29153442;-64,61630000
4,33921814;-68,78426000
4,38690186;-57,07520000
4,43458557;-55,01951000
4,48226929;-54,74853000
4,52995300;-64,11610000
4,57763672;-66,99599000
4,62532043;-54,38568000
4,67300415;-49,32909000
4,72068787;-50,98351000
4,76837158;-55,27394000
4,81605530;-59,18811000
4,86373901;-56,02579000
4,91142273;-53,84864000
4,95910645;-57,82351000
5,00679016;-54,69319000
5,05447388;-51,54375000
5,10215759;-48,21382000
5,14984131;-50,36818000
5,19752502;-56,24435000
5,24520874;-69,67597000
5,29289246;-52,35704000
5,34057617;-46,60563000
5,38825989;-50,92188000
5,43594360;-53,93129000
5,48362732;-52,21947000
5,53131104;-50,12634000
5,57899475;-56,16759000
5,62667847;-54,83974000
5,67436218;-47,97897000
5,72204590;-48,11890000
5,76972961;-49,29442000
5,81741333;-50,96763000
5,86509705;-54,91705000
5,91278076;-51,92320000
5,96046448;-50,47170000
6,00814819;-51,85093000
6,05583191;-55,06861000
6,10351563;-55,70949000
6,15119934;-55,31711000
6,19888306;-66,71126000
6,24656677;-63,07681000
6,29425049;-55,96077000
