Frequency;Channel A
(kHz);(dBu)

0,00000000;-24,31728000
0,04768372;-31,07671000
0,09536743;-45,02005000
0,14305115;-59,63905000
0,19073486;-52,06071000
0,23841858;-51,99281000
0,28610229;-50,65643000
0,33378601;-51,30764000
0,38146973;-49,03138000
0,42915344;-50,56309000
0,47683716;-53,63491000
0,52452087;-53,87610000
0,57220459;-59,42499000
0,61988831;-57,25008000
0,66757202;-55,42463000
0,71525574;-55,12841000
0,76293945;-54,23082000
0,81062317;-57,85565000
0,85830688;-59,44622000
0,90599060;-51,67364000
0,95367432;-52,93743000
1,00135803;-50,22825000
1,04904175;-48,38900000
1,09672546;-52,78522000
1,14440918;-54,24935000
1,19209290;-53,15228000
1,23977661;-58,95601000
1,28746033;-64,93072000
1,33514404;-58,38678000
1,38282776;-60,15262000
1,43051147;-54,42721000
1,47819519;-56,16737000
1,52587891;-53,89809000
1,57356262;-51,71968000
1,62124634;-48,79828000
1,66893005;-48,56674000
1,71661377;-50,17089000
1,76429749;-57,85026000
1,81198120;-53,65856000
1,85966492;-49,18020000
1,90734863;-49,64906000
1,95503235;-62,24805000
2,00271606;-53,62204000
2,05039978;-46,65481000
2,09808350;-47,10258000
2,14576721;-49,43955000
2,19345093;-66,58060000
2,24113464;-52,65820000
2,28881836;-46,97615000
2,33650208;-48,62230000
2,38418579;-46,32988000
2,43186951;-52,30630000
2,47955322;-45,50574000
2,52723694;-26,93127000
2,57492065;-10,08049000
2,62260437;-2,29026200
2,67028809;-2,28052100
2,71797180;-10,04965000
2,76565552;-27,07865000
2,81333923;-45,31372000
2,86102295;-47,41518000
2,90870667;-44,39374000
2,95639038;-36,01405000
3,00407410;-17,64707000
3,05175781;-8,50671700
3,09944153;-6,52051900
3,14712524;-11,38108000
3,19480896;-23,47230000
3,24249268;-44,68504000
3,29017639;-44,36276000
3,33786011;-64,91026000
3,38554382;-44,10155000
3,43322754;-48,75927000
3,48091125;-49,81733000
3,52859497;-56,11630000
3,57627869;-71,17877000
3,62396240;-53,30127000
3,67164612;-45,98096000
3,71932983;-46,80256000
3,76701355;-49,06673000
3,81469727;-50,33259000
3,86238098;-49,32026000
3,91006470;-54,44414000
3,95774841;-62,36995000
4,00543213;-51,08998000
4,05311584;-50,90011000
4,10079956;-58,10502000
4,14848328;-66,09359000
4,19616699;-61,03243000
4,24385071;-52,63245000
4,29153442;-61,95731000
4,33921814;-52,29190000
4,38690186;-48,16902000
4,43458557;-52,20736000
4,48226929;-63,87769000
4,52995300;-56,01513000
4,57763672;-53,41890000
4,62532043;-52,81826000
4,67300415;-49,76205000
4,72068787;-50,54172000
4,76837158;-51,39174000
4,81605530;-56,34358000
4,86373901;-67,66214000
4,91142273;-57,10554000
4,95910645;-52,24421000
5,00679016;-74,68352000
5,05447388;-59,07110000
5,10215759;-62,70937000
5,14984131;-59,08601000
5,19752502;-56,89521000
5,24520874;-60,08352000
5,29289246;-56,84572000
5,34057617;-60,37231000
5,38825989;-60,15244000
5,43594360;-55,68970000
5,48362732;-50,25715000
5,53131104;-47,42809000
5,57899475;-46,09808000
5,62667847;-47,34783000
5,67436218;-48,66603000
5,72204590;-55,43559000
5,76972961;-60,33320000
5,81741333;-52,22725000
5,86509705;-54,58882000
5,91278076;-59,76778000
5,96046448;-61,32137000
6,00814819;-62,48653000
6,05583191;-58,82967000
6,10351563;-57,52874000
6,15119934;-59,38375000
6,19888306;-60,97977000
6,24656677;-56,77092000
6,29425049;-58,50390000
