"Time[ms]","Channel A[V]"

-0.00671200,0.33692430
-0.00415200,0.33692430
-0.00159200,0.16052740
0.00096800,-0.01525925
0.00352800,-0.19104590
0.00608800,-0.36744280
0.00864800,-0.72023680
0.01120800,-0.72023680
0.01376800,-0.89602350
0.01632800,-0.89602350
0.01888800,-0.89602350
0.02144800,-1.07242000
0.02400800,-1.07242000
0.02656800,-1.24881700
0.02912800,-1.60100100
0.03168800,-1.77739800
0.03424800,-1.77739800
0.03680800,-1.95379500
0.03936800,-2.13019200
0.04192800,-2.13019200
0.04448800,-2.13019200
0.04704800,-2.30597900
0.04960800,-2.30597900
0.05216800,-2.48237600
0.05472800,-2.65877200
0.05728800,-2.65877200
0.05984800,-3.01095600
0.06240800,-3.01095600
0.06496800,-3.01095600
0.06752800,-3.18735300
0.07008800,-3.01095600
0.07264800,-3.18735300
0.07520800,-3.18735300
0.07776800,-3.36375000
0.08032800,-3.54014700
0.08288800,-3.54014700
0.08544800,-3.71593400
0.08800800,-3.71593400
0.09056800,-3.71593400
0.09312800,-3.71593400
0.09568800,-3.89233100
0.09824800,-3.89233100
0.10080800,-3.89233100
0.10336800,-4.06872700
0.10592800,-4.06872700
0.10848800,-4.06872700
0.11104800,-4.06872700
0.11360800,-4.24512500
0.11616800,-4.24512500
0.11872800,-4.24512500
0.12128800,-4.24512500
0.12384800,-4.06872700
0.12640800,-4.06872700
0.12896800,-4.24512500
0.13152800,-4.24512500
0.13408800,-4.24512500
0.13664800,-4.42091100
0.13920800,-4.24512500
0.14176800,-4.42091100
0.14432800,-4.24512500
0.14688800,-4.24512500
0.14944800,-4.24512500
0.15200800,-4.06872700
0.15456800,-4.06872700
0.15712800,-4.06872700
0.15968800,-4.06872700
0.16224800,-4.06872700
0.16480800,-4.06872700
0.16736800,-3.89233100
0.16992800,-3.89233100
0.17248800,-3.89233100
0.17504800,-3.71593400
0.17760800,-3.71593400
0.18016800,-3.71593400
0.18272800,-3.71593400
0.18528800,-3.54014700
0.18784800,-3.54014700
0.19040800,-3.54014700
0.19296800,-3.36375000
0.19552800,-3.18735300
0.19808800,-3.18735300
0.20064800,-3.18735300
0.20320800,-3.01095600
0.20576800,-3.01095600
0.20832800,-2.83517000
0.21088800,-2.83517000
0.21344800,-2.65877200
0.21600800,-2.65877200
0.21856800,-2.48237600
0.22112800,-2.48237600
0.22368800,-2.30597900
0.22624800,-2.13019200
0.22880800,-2.13019200
0.23136800,-1.95379500
0.23392800,-1.77739800
0.23648800,-1.77739800
0.23904800,-1.60100100
0.24160800,-1.60100100
0.24416800,-1.42521400
0.24672800,-1.24881700
0.24928800,-1.07242000
0.25184800,-0.89602350
0.25440800,-0.89602350
0.25696800,-0.72023680
0.25952800,-0.72023680
0.26208800,-0.54383980
0.26464800,-0.36744280
0.26720800,-0.36744280
0.26976800,-0.19104590
0.27232800,-0.19104590
0.27488800,-0.01525925
0.27744800,0.16052740
0.28000800,0.33692430
0.28256800,0.51332130
0.28512800,0.51332130
0.28768800,0.68971830
0.29024800,0.86550490
0.29280800,0.86550490
0.29536800,1.04190200
0.29792800,1.04190200
0.30048800,1.21829900
0.30304800,1.39469600
0.30560800,1.57048200
0.30816800,1.57048200
0.31072800,1.74687900
0.31328800,1.74687900
0.31584800,1.92327600
0.31840800,1.92327600
0.32096800,2.09967400
0.32352800,2.27546000
0.32608800,2.27546000
0.32864800,2.45185700
0.33120800,2.45185700
0.33376800,2.62825400
0.33632800,2.62825400
0.33888800,2.80465100
0.34144800,2.80465100
0.34400800,2.98043800
0.34656800,3.15683500
0.34912800,3.15683500
0.35168800,3.15683500
0.35424800,3.15683500
0.35680800,3.33323200
0.35936800,3.50962900
0.36192800,3.33323200
