Frequency;Channel A
(kHz);(dBu)

0,00000000;-24,02463000
0,04768372;-30,49485000
0,09536743;-42,51837000
0,14305115;-42,82183000
0,19073486;-43,68738000
0,23841858;-48,21871000
0,28610229;-54,95595000
0,33378601;-48,89879000
0,38146973;-46,81984000
0,42915344;-48,94144000
0,47683716;-51,30875000
0,52452087;-48,30926000
0,57220459;-50,39101000
0,61988831;-55,91902000
0,66757202;-47,62566000
0,71525574;-47,69174000
0,76293945;-49,93717000
0,81062317;-49,49875000
0,85830688;-53,76314000
0,90599060;-60,67577000
0,95367432;-50,13914000
1,00135803;-51,29365000
1,04904175;-54,92393000
1,09672546;-54,25892000
1,14440918;-57,82860000
1,19209290;-62,94479000
1,23977661;-56,72174000
1,28746033;-52,66718000
1,33514404;-54,17769000
1,38282776;-61,80344000
1,43051147;-66,77348000
1,47819519;-61,17218000
1,52587891;-63,12508000
1,57356262;-53,20082000
1,62124634;-47,72339000
1,66893005;-45,27480000
1,71661377;-34,23231000
1,76429749;-25,42099000
1,81198120;-23,11894000
1,85966492;-26,46336000
1,90734863;-35,21582000
1,95503235;-51,15109000
2,00271606;-45,25605000
2,05039978;-50,45609000
2,09808350;-45,69624000
2,14576721;-51,46105000
2,19345093;-49,10891000
2,24113464;-51,43667000
2,28881836;-55,30764000
2,33650208;-49,10021000
2,38418579;-48,79116000
2,43186951;-54,56482000
2,47955322;-48,60586000
2,52723694;-49,33898000
2,57492065;-52,78646000
2,62260437;-57,96849000
2,67028809;-53,85895000
2,71797180;-53,21970000
2,76565552;-48,03732000
2,81333923;-38,00182000
2,86102295;-29,29609000
2,90870667;-27,60650000
2,95639038;-30,33379000
3,00407410;-38,21526000
3,05175781;-46,02625000
3,09944153;-56,66147000
3,14712524;-47,82221000
3,19480896;-53,42983000
3,24249268;-55,48078000
3,29017639;-59,77625000
3,33786011;-60,61019000
3,38554382;-58,11694000
3,43322754;-49,78141000
3,48091125;-47,05425000
3,52859497;-48,24541000
3,57627869;-50,14866000
3,62396240;-57,38903000
3,67164612;-67,54416000
3,71932983;-59,83529000
3,76701355;-58,38274000
3,81469727;-59,65270000
3,86238098;-56,27867000
3,91006470;-57,88688000
3,95774841;-59,83967000
4,00543213;-56,81970000
4,05311584;-58,46102000
4,10079956;-52,98868000
4,14848328;-56,06972000
4,19616699;-58,34829000
4,24385071;-53,16950000
4,29153442;-56,49313000
4,33921814;-58,99431000
4,38690186;-59,32074000
4,43458557;-60,46897000
4,48226929;-53,43720000
4,52995300;-63,74107000
4,57763672;-49,10572000
4,62532043;-48,83443000
4,67300415;-55,26780000
4,72068787;-60,71292000
4,76837158;-59,73808000
4,81605530;-59,40089000
4,86373901;-57,89680000
4,91142273;-55,56290000
4,95910645;-54,23441000
5,00679016;-56,45573000
5,05447388;-51,20852000
5,10215759;-46,63823000
5,14984131;-46,31781000
5,19752502;-53,88646000
5,24520874;-63,51441000
5,29289246;-58,73965000
5,34057617;-63,62310000
5,38825989;-60,67770000
5,43594360;-62,28491000
5,48362732;-60,68524000
5,53131104;-53,59069000
5,57899475;-51,72290000
5,62667847;-51,98536000
5,67436218;-53,15079000
5,72204590;-54,90825000
5,76972961;-73,00744000
5,81741333;-59,78701000
5,86509705;-55,53466000
5,91278076;-54,58664000
5,96046448;-55,37634000
6,00814819;-56,37452000
6,05583191;-58,90051000
6,10351563;-63,44774000
6,15119934;-55,68589000
6,19888306;-61,42626000
6,24656677;-62,82658000
6,29425049;-61,14023000
