Frequency;Channel A
(kHz);(dBu)

0,00000000;-23,34921000
0,04768372;-29,74659000
0,09536743;-44,86983000
0,14305115;-47,76881000
0,19073486;-46,14510000
0,23841858;-43,76965000
0,28610229;-42,11078000
0,33378601;-42,68850000
0,38146973;-45,14130000
0,42915344;-49,54127000
0,47683716;-54,30353000
0,52452087;-53,15590000
0,57220459;-52,44696000
0,61988831;-51,66611000
0,66757202;-54,25335000
0,71525574;-64,41749000
0,76293945;-50,24535000
0,81062317;-47,64372000
0,85830688;-50,23308000
0,90599060;-58,86238000
0,95367432;-55,60986000
1,00135803;-54,06794000
1,04904175;-62,56595000
1,09672546;-65,39436000
1,14440918;-62,08132000
1,19209290;-68,51929000
1,23977661;-69,30757000
1,28746033;-57,39804000
1,33514404;-51,18381000
1,38282776;-64,83417000
1,43051147;-64,64583000
1,47819519;-52,80624000
1,52587891;-58,19257000
1,57356262;-58,83287000
1,62124634;-43,75555000
1,66893005;-36,57753000
1,71661377;-24,05507000
1,76429749;-12,57333000
1,81198120;-9,18298100
1,85966492;-13,06613000
1,90734863;-25,51045000
1,95503235;-37,03732000
2,00271606;-45,93372000
2,05039978;-60,04507000
2,09808350;-50,85051000
2,14576721;-50,84748000
2,19345093;-53,25958000
2,24113464;-61,17735000
2,28881836;-51,84099000
2,33650208;-49,61711000
2,38418579;-48,39890000
2,43186951;-50,81084000
2,47955322;-54,31499000
2,52723694;-71,00175000
2,57492065;-72,76836000
2,62260437;-57,53371000
2,67028809;-54,61306000
2,71797180;-56,86049000
2,76565552;-58,91227000
2,81333923;-64,61924000
2,86102295;-54,68834000
2,90870667;-54,53476000
2,95639038;-52,45686000
3,00407410;-50,19625000
3,05175781;-55,25982000
3,09944153;-50,45170000
3,14712524;-48,03299000
3,19480896;-47,94907000
3,24249268;-47,43255000
3,29017639;-47,86760000
3,33786011;-52,39518000
3,38554382;-46,07218000
3,43322754;-45,32519000
3,48091125;-50,77541000
3,52859497;-48,53902000
3,57627869;-50,82598000
3,62396240;-55,98769000
3,67164612;-50,44576000
3,71932983;-45,02420000
3,76701355;-44,54667000
3,81469727;-46,65376000
3,86238098;-46,98307000
3,91006470;-47,24306000
3,95774841;-46,45978000
4,00543213;-46,46878000
4,05311584;-48,59030000
4,10079956;-49,42831000
4,14848328;-50,47569000
4,19616699;-50,88966000
4,24385071;-49,00492000
4,29153442;-51,13453000
4,33921814;-68,57803000
4,38690186;-60,41359000
4,43458557;-53,04447000
4,48226929;-54,77431000
4,52995300;-68,13760000
4,57763672;-75,56577000
4,62532043;-60,85962000
4,67300415;-58,18974000
4,72068787;-55,03487000
4,76837158;-54,16856000
4,81605530;-63,23093000
4,86373901;-53,59412000
4,91142273;-49,74041000
4,95910645;-49,02967000
5,00679016;-48,98607000
5,05447388;-49,91424000
5,10215759;-50,79000000
5,14984131;-50,89019000
5,19752502;-53,16832000
5,24520874;-53,54401000
5,29289246;-53,05765000
5,34057617;-46,82265000
5,38825989;-45,61456000
5,43594360;-47,07300000
5,48362732;-49,30523000
5,53131104;-53,97905000
5,57899475;-53,72739000
5,62667847;-51,05434000
5,67436218;-48,51278000
5,72204590;-48,90306000
5,76972961;-50,97711000
5,81741333;-49,81805000
5,86509705;-52,49536000
5,91278076;-63,01277000
5,96046448;-54,91381000
6,00814819;-54,02790000
6,05583191;-62,10914000
6,10351563;-77,53607000
6,15119934;-58,09303000
6,19888306;-54,31291000
6,24656677;-59,08968000
6,29425049;-53,79736000
