Frequency;Channel A
(kHz);(dBu)

0,00000000;-25,91833000
0,04768372;-32,58115000
0,09536743;-47,56013000
0,14305115;-52,31814000
0,19073486;-53,09966000
0,23841858;-51,85287000
0,28610229;-50,36854000
0,33378601;-49,76886000
0,38146973;-61,77877000
0,42915344;-59,04198000
0,47683716;-56,71310000
0,52452087;-58,21102000
0,57220459;-62,77186000
0,61988831;-57,68693000
0,66757202;-61,60328000
0,71525574;-52,24066000
0,76293945;-54,96376000
0,81062317;-55,88352000
0,85830688;-56,29521000
0,90599060;-70,05833000
0,95367432;-60,44607000
1,00135803;-61,27072000
1,04904175;-60,42064000
1,09672546;-55,72984000
1,14440918;-53,77037000
1,19209290;-55,87959000
1,23977661;-50,96901000
1,28746033;-50,39128000
1,33514404;-57,57954000
1,38282776;-64,36590000
1,43051147;-67,10580000
1,47819519;-58,09764000
1,52587891;-51,42808000
1,57356262;-51,04376000
1,62124634;-50,30857000
1,66893005;-55,07004000
1,71661377;-64,10783000
1,76429749;-56,09090000
1,81198120;-50,20781000
1,85966492;-48,23074000
1,90734863;-47,48611000
1,95503235;-51,55890000
2,00271606;-54,27612000
2,05039978;-56,24389000
2,09808350;-52,74799000
2,14576721;-48,09336000
2,19345093;-46,03994000
2,24113464;-49,28809000
2,28881836;-51,43405000
2,33650208;-58,31715000
2,38418579;-57,75708000
2,43186951;-44,96683000
2,47955322;-57,19410000
2,52723694;-51,04212000
2,57492065;-40,21530000
2,62260437;-26,06400000
2,67028809;-10,01214000
2,71797180;-2,85931400
2,76565552;-3,24536100
2,81333923;-11,52077000
2,86102295;-23,93016000
2,90870667;-8,93731000
2,95639038;-5,14267300
3,00407410;-8,28992900
3,05175781;-18,71157000
3,09944153;-39,53076000
3,14712524;-42,56210000
3,19480896;-58,95271000
3,24249268;-47,77523000
3,29017639;-55,48908000
3,33786011;-52,09404000
3,38554382;-52,85029000
3,43322754;-47,39368000
3,48091125;-50,04820000
3,52859497;-54,85168000
3,57627869;-62,57172000
3,62396240;-55,71064000
3,67164612;-50,20977000
3,71932983;-56,91913000
3,76701355;-60,32716000
3,81469727;-54,33142000
3,86238098;-53,23290000
3,91006470;-53,14357000
3,95774841;-52,02460000
4,00543213;-59,47691000
4,05311584;-56,90088000
4,10079956;-50,62912000
4,14848328;-50,68918000
4,19616699;-51,11885000
4,24385071;-50,22318000
4,29153442;-49,67297000
4,33921814;-50,47854000
4,38690186;-56,81023000
4,43458557;-61,54430000
4,48226929;-49,85340000
4,52995300;-48,78873000
4,57763672;-58,30993000
4,62532043;-61,57741000
4,67300415;-62,89133000
4,72068787;-57,60241000
4,76837158;-56,87696000
4,81605530;-54,75102000
4,86373901;-55,86557000
4,91142273;-58,71056000
4,95910645;-57,39632000
5,00679016;-61,79346000
5,05447388;-49,60090000
5,10215759;-46,68870000
5,14984131;-48,86135000
5,19752502;-55,03806000
5,24520874;-53,00178000
5,29289246;-52,94857000
5,34057617;-62,49354000
5,38825989;-56,40133000
5,43594360;-58,87388000
5,48362732;-63,06867000
5,53131104;-56,03818000
5,57899475;-52,76427000
5,62667847;-54,36705000
5,67436218;-54,21765000
5,72204590;-56,01999000
5,76972961;-65,68335000
5,81741333;-62,68707000
5,86509705;-62,56766000
5,91278076;-65,53033000
5,96046448;-55,84573000
6,00814819;-58,08674000
6,05583191;-57,66825000
6,10351563;-57,56722000
6,15119934;-51,88107000
6,19888306;-55,17117000
6,24656677;-48,02919000
6,29425049;-44,42982000
