Frequency;Channel A
(kHz);(dBu)

0,00000000;-23,30082000
0,04768372;-29,87463000
0,09536743;-42,53624000
0,14305115;-53,94516000
0,19073486;-56,45366000
0,23841858;-53,72117000
0,28610229;-53,70671000
0,33378601;-50,94995000
0,38146973;-54,10410000
0,42915344;-52,88857000
0,47683716;-53,77687000
0,52452087;-66,61956000
0,57220459;-55,22047000
0,61988831;-52,09484000
0,66757202;-49,96391000
0,71525574;-54,91429000
0,76293945;-58,65170000
0,81062317;-55,73397000
0,85830688;-54,32673000
0,90599060;-51,04794000
0,95367432;-50,80124000
1,00135803;-53,88348000
1,04904175;-63,86417000
1,09672546;-53,56278000
1,14440918;-56,16845000
1,19209290;-72,03886000
1,23977661;-71,32310000
1,28746033;-57,08495000
1,33514404;-52,36402000
1,38282776;-51,41684000
1,43051147;-51,59382000
1,47819519;-53,40283000
1,52587891;-54,72934000
1,57356262;-53,20902000
1,62124634;-51,07405000
1,66893005;-61,67249000
1,71661377;-59,22139000
1,76429749;-55,17628000
1,81198120;-57,42004000
1,85966492;-54,23706000
1,90734863;-54,35922000
1,95503235;-62,20016000
2,00271606;-65,29822000
2,05039978;-49,89347000
2,09808350;-52,47036000
2,14576721;-49,24284000
2,19345093;-62,89787000
2,24113464;-48,05199000
2,28881836;-51,76140000
2,33650208;-44,43050000
2,38418579;-17,52961000
2,43186951;-4,40648800
2,47955322;0,10101790
2,52723694;-3,01376200
2,57492065;-14,51379000
2,62260437;-37,62482000
2,67028809;-45,33192000
2,71797180;-51,77653000
2,76565552;-51,80329000
2,81333923;-59,11425000
2,86102295;-57,43377000
2,90870667;-59,11475000
2,95639038;-55,35682000
3,00407410;-54,71310000
3,05175781;-49,97179000
3,09944153;-49,50159000
3,14712524;-56,23125000
3,19480896;-44,08192000
3,24249268;-50,84396000
3,29017639;-33,97535000
3,33786011;-20,34012000
3,38554382;-12,02852000
3,43322754;-10,44727000
3,48091125;-15,31785000
3,52859497;-26,54251000
3,57627869;-40,96400000
3,62396240;-47,04361000
3,67164612;-54,31925000
3,71932983;-51,96999000
3,76701355;-71,71368000
3,81469727;-50,82821000
3,86238098;-50,72453000
3,91006470;-51,96623000
3,95774841;-64,34467000
4,00543213;-58,43811000
4,05311584;-59,16202000
4,10079956;-51,81168000
4,14848328;-52,62384000
4,19616699;-54,21513000
4,24385071;-51,55216000
4,29153442;-48,38147000
4,33921814;-52,25471000
4,38690186;-55,60049000
4,43458557;-49,05535000
4,48226929;-51,63778000
4,52995300;-64,37911000
4,57763672;-66,46589000
4,62532043;-56,89454000
4,67300415;-55,68592000
4,72068787;-56,42692000
4,76837158;-59,85815000
4,81605530;-52,21763000
4,86373901;-51,69894000
4,91142273;-63,73924000
4,95910645;-64,86484000
5,00679016;-65,24553000
5,05447388;-60,59725000
5,10215759;-51,19984000
5,14984131;-49,40617000
5,19752502;-51,85227000
5,24520874;-50,79017000
5,29289246;-54,44234000
5,34057617;-56,94160000
5,38825989;-51,61730000
5,43594360;-50,15768000
5,48362732;-55,51453000
5,53131104;-58,85183000
5,57899475;-56,33717000
5,62667847;-58,94155000
5,67436218;-52,85935000
5,72204590;-54,46483000
5,76972961;-59,33126000
5,81741333;-59,16544000
5,86509705;-62,54873000
5,91278076;-63,09070000
5,96046448;-57,48971000
6,00814819;-62,57311000
6,05583191;-53,96429000
6,10351563;-48,41749000
6,15119934;-53,56629000
6,19888306;-59,84960000
6,24656677;-56,72322000
6,29425049;-55,62582000
