"Pos_Sys [mm]","Pos_Kamera [mm]","Skalierung"
460,613,0.246
455,611,0.242
450,610,0.238
445,607,0.262
440,607,0.266
435,606,0.266
430,605,0.283
425,604,0.275
420,603,0.279
415,603,0.299
410,604,0.303
405,603,0.311
400,604,0.307
395,605,0.332
390,605,0.336
385,607,0.336
380,610,0.352
375,611,0.373
370,613,0.389
365,617,0.389
360,620,0.406
355,624,0.418
350,629,0.43
345,636,0.451
340,643,0.467
335,649,0.475
330,657,0.496
325,665,0.516
320,676,0.537
315,687,0.566
310,701,0.594
305,719,0.631
300,738,0.668
295,757,0.713
290,781,0.746
285,810,0.799
280,843,0.853
275,887,0.926
270,929,0.988
265,987,1.057
